meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1268,9912,81,1,1,309.0,324.0
1268,9912,4,2,2,275.0,293.0
1268,9912,1,3,3,205.0,230.0
1268,9912,63,4,4,184.0,194.0
1268,9912,16,5,5,151.0,163.0
1268,9912,44,6,6,109.0,117.0
1268,9912,23,8,7,64.0,70.0
1268,9912,12,7,8,64.0,66.0
1268,9912,6,10,9,37.0,38.0
1268,9912,27,9,10,37.0,37.0
1268,9912,18,11,11,32.0,32.0
1268,9912,14,12,12,30.0,30.0
1268,9912,31,13,13,28.0,28.0
1268,9912,10,14,14,20.0,20.0
1268,9912,30,15,15,20.0,20.0
1268,9912,5,18,16,14.0,18.0
1268,9912,87,16,17,16.0,16.0
1268,9912,55,17,18,16.0,16.0
1268,9912,22,19,19,12.0,12.0
1268,9912,43,20,20,0.0,0.0
1268,9912,7,21,21,0.0,0.0
