date,session_key,lap_number,meeting_key,driver_number,lane_duration,pit_duration,stop_duration
2025-09-07T13:16:53.530000+00:00,9912,9,1268,30,24.156,24.156,2.2
2025-09-07T13:29:32.907000+00:00,9912,18,1268,87,25.372,25.372,3.3
2025-09-07T13:30:55.654000+00:00,9912,19,1268,22,24.372,24.372,2.3
2025-09-07T13:32:17.708000+00:00,9912,20,1268,14,25.16,25.16,3.2
2025-09-07T13:32:18.150000+00:00,9912,20,1268,5,26.143,26.143,4.0
2025-09-07T13:41:53.352000+00:00,9912,27,1268,63,25.021,25.021,2.9
2025-09-07T13:43:27.992000+00:00,9912,28,1268,12,24.916,24.916,2.9
2025-09-07T13:46:20.012000+00:00,9912,30,1268,55,24.605,24.605,3.0
2025-09-07T13:49:09.846000+00:00,9912,32,1268,6,24.326,24.326,2.2
2025-09-07T13:50:04.888000+00:00,9912,33,1268,16,24.235,24.235,2.0
2025-09-07T13:50:45.890000+00:00,9912,33,1268,43,24.971,24.971,2.8
2025-09-07T13:55:17.647000+00:00,9912,37,1268,1,24.545,24.545,2.3
2025-09-07T13:57:08.320000+00:00,9912,38,1268,44,23.971,23.971,2.1
2025-09-07T14:01:27.096000+00:00,9912,41,1268,23,24.717,24.717,3.1
2025-09-07T14:06:26.957000+00:00,9912,45,1268,81,23.602,23.602,1.9
2025-09-07T14:07:50.629000+00:00,9912,46,1268,4,27.498,27.498,5.9
2025-09-07T14:12:58.481000+00:00,9912,49,1268,10,25.012,25.012,2.9
2025-09-07T14:13:01.946000+00:00,9912,49,1268,18,38.418,38.418,16.2
2025-09-07T14:15:37.886000+00:00,9912,51,1268,31,30.754,30.754,8.6
