date,session_key,position,driver_number,meeting_key
2025-09-07T12:05:48.631000+00:00,9912,1,1,1268
2025-09-07T12:05:48.631000+00:00,9912,2,4,1268
2025-09-07T12:05:48.631000+00:00,9912,3,81,1268
2025-09-07T12:05:48.631000+00:00,9912,4,16,1268
2025-09-07T12:05:48.631000+00:00,9912,5,63,1268
2025-09-07T12:05:48.631000+00:00,9912,6,12,1268
2025-09-07T12:05:48.631000+00:00,9912,7,5,1268
2025-09-07T12:05:48.631000+00:00,9912,8,14,1268
2025-09-07T12:05:48.631000+00:00,9912,9,22,1268
2025-09-07T12:05:48.631000+00:00,9912,10,44,1268
2025-09-07T12:05:48.631000+00:00,9912,11,87,1268
2025-09-07T12:05:48.631000+00:00,9912,12,27,1268
2025-09-07T12:05:48.631000+00:00,9912,13,55,1268
2025-09-07T12:05:48.631000+00:00,9912,14,23,1268
2025-09-07T12:05:48.631000+00:00,9912,15,31,1268
2025-09-07T12:05:48.631000+00:00,9912,16,18,1268
2025-09-07T12:05:48.631000+00:00,9912,17,43,1268
2025-09-07T12:05:48.631000+00:00,9912,18,30,1268
2025-09-07T12:05:48.631000+00:00,9912,19,6,1268
2025-09-07T12:05:48.631000+00:00,9912,20,10,1268
2025-09-07T13:03:44.711000+00:00,9912,7,12,1268
2025-09-07T13:03:44.711000+00:00,9912,8,5,1268
2025-09-07T13:03:44.711000+00:00,9912,6,14,1268
2025-09-07T13:03:44.742000+00:00,9912,8,12,1268
2025-09-07T13:03:44.742000+00:00,9912,7,5,1268
2025-09-07T13:03:44.805000+00:00,9912,9,12,1268
2025-09-07T13:03:44.805000+00:00,9912,8,22,1268
2025-09-07T13:03:44.992000+00:00,9912,10,12,1268
2025-09-07T13:03:44.992000+00:00,9912,11,44,1268
2025-09-07T13:03:44.992000+00:00,9912,9,87,1268
2025-09-07T13:03:45.008000+00:00,9912,11,12,1268
2025-09-07T13:03:45.008000+00:00,9912,10,44,1268
2025-09-07T13:03:45.305000+00:00,9912,13,27,1268
2025-09-07T13:03:45.305000+00:00,9912,12,55,1268
2025-09-07T13:03:45.321000+00:00,9912,14,27,1268
2025-09-07T13:03:45.321000+00:00,9912,13,23,1268
2025-09-07T13:03:45.352000+00:00,9912,15,27,1268
2025-09-07T13:03:45.352000+00:00,9912,14,31,1268
2025-09-07T13:03:45.446000+00:00,9912,16,27,1268
2025-09-07T13:03:45.446000+00:00,9912,15,18,1268
2025-09-07T13:03:45.571000+00:00,9912,17,27,1268
2025-09-07T13:03:45.571000+00:00,9912,16,43,1268
2025-09-07T13:03:45.633000+00:00,9912,18,27,1268
2025-09-07T13:03:45.633000+00:00,9912,17,30,1268
2025-09-07T13:03:48.701000+00:00,9912,6,63,1268
2025-09-07T13:03:48.701000+00:00,9912,5,5,1268
2025-09-07T13:03:48.701000+00:00,9912,7,14,1268
2025-09-07T13:03:49.405000+00:00,9912,9,22,1268
2025-09-07T13:03:49.405000+00:00,9912,8,44,1268
2025-09-07T13:03:49.405000+00:00,9912,10,87,1268
2025-09-07T13:03:51.153000+00:00,9912,16,18,1268
2025-09-07T13:03:51.153000+00:00,9912,15,43,1268
2025-09-07T13:03:51.234000+00:00,9912,15,18,1268
2025-09-07T13:03:51.234000+00:00,9912,16,43,1268
2025-09-07T13:03:51.348000+00:00,9912,19,27,1268
2025-09-07T13:03:51.348000+00:00,9912,18,6,1268
2025-09-07T13:03:51.653000+00:00,9912,20,27,1268
2025-09-07T13:03:51.653000+00:00,9912,19,10,1268
2025-09-07T13:03:55.758000+00:00,9912,4,81,1268
2025-09-07T13:03:55.758000+00:00,9912,3,16,1268
2025-09-07T13:03:56.125000+00:00,9912,5,63,1268
2025-09-07T13:03:56.125000+00:00,9912,6,5,1268
2025-09-07T13:03:56.889000+00:00,9912,8,22,1268
2025-09-07T13:03:56.889000+00:00,9912,9,44,1268
2025-09-07T13:03:57.207000+00:00,9912,10,12,1268
2025-09-07T13:03:57.207000+00:00,9912,11,87,1268
2025-09-07T13:03:58.739000+00:00,9912,17,43,1268
2025-09-07T13:03:58.739000+00:00,9912,16,30,1268
2025-09-07T13:04:07.078000+00:00,9912,14,23,1268
2025-09-07T13:04:07.078000+00:00,9912,13,31,1268
2025-09-07T13:04:08.765000+00:00,9912,7,5,1268
2025-09-07T13:04:08.765000+00:00,9912,6,14,1268
2025-09-07T13:04:09.216000+00:00,9912,9,22,1268
2025-09-07T13:04:09.216000+00:00,9912,8,44,1268
2025-09-07T13:04:10.759000+00:00,9912,13,23,1268
2025-09-07T13:04:10.759000+00:00,9912,14,31,1268
2025-09-07T13:04:20.179000+00:00,9912,16,18,1268
2025-09-07T13:04:20.179000+00:00,9912,15,30,1268
2025-09-07T13:04:22.379000+00:00,9912,3,81,1268
2025-09-07T13:04:22.379000+00:00,9912,4,16,1268
2025-09-07T13:05:10.226000+00:00,9912,2,1,1268
2025-09-07T13:05:10.226000+00:00,9912,1,4,1268
2025-09-07T13:05:21.704000+00:00,9912,4,81,1268
2025-09-07T13:05:21.704000+00:00,9912,3,16,1268
2025-09-07T13:05:27.710000+00:00,9912,15,18,1268
2025-09-07T13:05:27.710000+00:00,9912,16,30,1268
2025-09-07T13:05:32.319000+00:00,9912,6,5,1268
2025-09-07T13:05:32.319000+00:00,9912,7,14,1268
2025-09-07T13:05:44.975000+00:00,9912,16,18,1268
2025-09-07T13:05:44.975000+00:00,9912,15,30,1268
2025-09-07T13:05:45.413000+00:00,9912,17,18,1268
2025-09-07T13:05:45.413000+00:00,9912,16,43,1268
2025-09-07T13:05:46.069000+00:00,9912,18,18,1268
2025-09-07T13:05:46.069000+00:00,9912,17,6,1268
2025-09-07T13:05:46.882000+00:00,9912,19,18,1268
2025-09-07T13:05:46.882000+00:00,9912,18,10,1268
2025-09-07T13:05:48.866000+00:00,9912,16,18,1268
2025-09-07T13:05:48.866000+00:00,9912,17,43,1268
2025-09-07T13:05:48.866000+00:00,9912,18,6,1268
2025-09-07T13:05:48.866000+00:00,9912,19,10,1268
2025-09-07T13:07:00.475000+00:00,9912,6,63,1268
2025-09-07T13:07:00.475000+00:00,9912,5,5,1268
2025-09-07T13:07:05.881000+00:00,9912,5,63,1268
2025-09-07T13:07:05.881000+00:00,9912,6,5,1268
