meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1268,9912,2025-09-07T12:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1268,9912,2025-09-07T12:27:55+00:00,,1,Other,,,,PIT EXIT INCIDENT INVOLVING CAR 14 (ALO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1268,9912,2025-09-07T12:28:15+00:00,,1,Other,,,,PIT EXIT INCIDENT INVOLVING CAR 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1268,9912,2025-09-07T12:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1268,9912,2025-09-07T12:30:44+00:00,,1,Flag,YELLOW,Sector,7.0,YELLOW IN TRACK SECTOR 7
1268,9912,2025-09-07T12:31:59+00:00,,1,Other,,,,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 14 (ALO) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1268,9912,2025-09-07T12:32:06+00:00,,1,Other,,,,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT
1268,9912,2025-09-07T12:32:19+00:00,,1,Flag,YELLOW,Sector,8.0,YELLOW IN TRACK SECTOR 8
1268,9912,2025-09-07T12:32:19+00:00,,1,Flag,YELLOW,Sector,9.0,YELLOW IN TRACK SECTOR 9
1268,9912,2025-09-07T12:32:20+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1268,9912,2025-09-07T12:32:24+00:00,,1,Flag,YELLOW,Sector,11.0,YELLOW IN TRACK SECTOR 11
