position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,53,25.0,False,False,False,4404.325,0,1268,9912
2.0,4,53,18.0,False,False,False,4423.532,19.207,1268,9912
3.0,81,53,15.0,False,False,False,4425.676,21.351,1268,9912
4.0,16,53,12.0,False,False,False,4429.949,25.624,1268,9912
5.0,63,53,10.0,False,False,False,4437.206,32.881,1268,9912
6.0,44,53,8.0,False,False,False,4441.774,37.449,1268,9912
7.0,23,53,6.0,False,False,False,4454.862,50.537,1268,9912
8.0,5,53,4.0,False,False,False,4462.809,58.484,1268,9912
9.0,12,53,2.0,False,False,False,4464.087,59.762,1268,9912
10.0,6,53,1.0,False,False,False,4468.216,63.891,1268,9912
11.0,55,53,0.0,False,False,False,4468.794,64.469,1268,9912
12.0,87,53,0.0,False,False,False,4483.613,79.288,1268,9912
13.0,22,53,0.0,False,False,False,4485.026,80.701,1268,9912
14.0,30,53,0.0,False,False,False,4486.676,82.351,1268,9912
15.0,31,52,0.0,False,False,False,,+1 LAP,1268,9912
16.0,10,52,0.0,False,False,False,,+1 LAP,1268,9912
17.0,43,52,0.0,False,False,False,,+1 LAP,1268,9912
18.0,18,52,0.0,False,False,False,,+1 LAP,1268,9912
,14,24,0.0,True,False,False,,,1268,9912
,27,0,0.0,False,True,False,,,1268,9912
