meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1268,9912,1,27,1,1,MEDIUM,0
1268,9912,1,30,1,9,SOFT,0
1268,9912,1,87,1,18,MEDIUM,0
1268,9912,1,22,1,19,MEDIUM,0
1268,9912,1,5,1,20,MEDIUM,0
1268,9912,1,14,1,20,MEDIUM,1
1268,9912,2,14,21,24,HARD,1
1268,9912,1,63,1,27,MEDIUM,0
1268,9912,1,12,1,28,MEDIUM,0
1268,9912,1,55,1,30,MEDIUM,0
1268,9912,1,6,1,32,HARD,1
1268,9912,1,16,1,33,MEDIUM,0
1268,9912,1,43,1,33,MEDIUM,0
1268,9912,1,1,1,37,MEDIUM,0
1268,9912,1,44,1,38,MEDIUM,0
1268,9912,1,23,1,41,HARD,0
1268,9912,1,81,1,45,MEDIUM,0
1268,9912,1,4,1,46,MEDIUM,0
1268,9912,1,18,1,49,HARD,1
1268,9912,1,10,1,49,HARD,0
1268,9912,1,31,1,51,HARD,0
1268,9912,2,1,38,53,HARD,0
1268,9912,2,31,52,52,SOFT,0
1268,9912,2,10,50,52,SOFT,0
1268,9912,2,43,34,52,HARD,0
1268,9912,2,18,50,52,SOFT,0
1268,9912,2,4,47,53,SOFT,2
1268,9912,2,81,46,53,SOFT,3
1268,9912,2,16,34,53,HARD,0
1268,9912,2,63,28,53,HARD,0
1268,9912,2,44,39,53,HARD,0
1268,9912,2,23,42,53,MEDIUM,0
1268,9912,2,12,29,53,HARD,0
1268,9912,2,5,21,53,HARD,0
1268,9912,2,6,33,53,MEDIUM,0
1268,9912,2,55,31,53,HARD,0
1268,9912,2,87,19,53,HARD,0
1268,9912,2,22,20,53,HARD,0
1268,9912,2,30,10,53,HARD,0
