date,session_key,meeting_key,air_temperature,pressure,track_temperature,wind_direction,wind_speed,humidity,rainfall
2025-09-07T12:06:03.272000+00:00,9912,1268,26.0,997.5,43.5,263,2.5,44.0,0
2025-09-07T12:07:03.241000+00:00,9912,1268,26.1,997.4,43.6,246,1.6,44.0,0
2025-09-07T12:08:03.257000+00:00,9912,1268,26.1,997.3,43.7,210,1.5,45.0,0
2025-09-07T12:09:03.257000+00:00,9912,1268,26.1,997.4,43.7,202,1.5,45.0,0
2025-09-07T12:10:03.267000+00:00,9912,1268,26.0,997.4,43.7,182,1.7,43.0,0
2025-09-07T12:11:03.258000+00:00,9912,1268,26.0,997.4,43.9,239,1.2,44.0,0
2025-09-07T12:12:03.263000+00:00,9912,1268,25.9,997.5,43.9,302,1.6,45.0,0
2025-09-07T12:13:03.263000+00:00,9912,1268,26.0,997.4,43.9,97,0.9,44.0,0
2025-09-07T12:14:03.276000+00:00,9912,1268,26.1,997.3,43.6,196,0.5,43.0,0
2025-09-07T12:15:03.291000+00:00,9912,1268,26.1,997.3,43.3,255,0.8,44.0,0
2025-09-07T12:16:03.320000+00:00,9912,1268,26.1,997.2,43.6,0,0.4,43.0,0
2025-09-07T12:17:03.314000+00:00,9912,1268,26.1,997.2,43.7,101,0.0,43.0,0
2025-09-07T12:18:03.311000+00:00,9912,1268,26.0,997.3,44.4,151,0.9,44.0,0
2025-09-07T12:19:03.323000+00:00,9912,1268,26.1,997.2,44.9,108,2.0,43.0,0
2025-09-07T12:20:03.312000+00:00,9912,1268,26.1,997.3,44.9,177,1.0,44.0,0
2025-09-07T12:21:03.308000+00:00,9912,1268,26.1,997.2,44.8,211,1.5,44.0,0
2025-09-07T12:22:03.307000+00:00,9912,1268,26.3,997.1,44.8,244,1.1,44.0,0
2025-09-07T12:23:03.321000+00:00,9912,1268,26.3,997.2,44.3,0,0.9,44.0,0
2025-09-07T12:24:03.368000+00:00,9912,1268,26.3,997.2,44.0,205,1.3,43.0,0
2025-09-07T12:25:03.368000+00:00,9912,1268,26.4,997.2,44.1,199,1.9,44.0,0
2025-09-07T12:26:03.374000+00:00,9912,1268,26.4,997.2,44.1,190,2.3,43.0,0
2025-09-07T12:27:03.381000+00:00,9912,1268,26.5,997.1,44.3,239,1.5,43.0,0
2025-09-07T12:28:03.381000+00:00,9912,1268,26.5,997.1,44.4,258,0.8,43.0,0
2025-09-07T12:29:03.374000+00:00,9912,1268,26.5,997.1,44.4,161,1.7,43.0,0
2025-09-07T12:30:03.394000+00:00,9912,1268,26.6,997.0,44.7,219,0.6,43.0,0
2025-09-07T12:31:03.397000+00:00,9912,1268,26.5,997.1,45.0,189,0.8,43.0,0
