meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1256,10006,4,1,1,44.0,62.0
1256,10006,1,2,2,36.0,61.0
1256,10006,81,4,3,34.0,49.0
1256,10006,63,3,4,35.0,45.0
1256,10006,12,5,5,22.0,30.0
1256,10006,16,10,6,8.0,20.0
1256,10006,23,6,7,16.0,18.0
1256,10006,44,9,8,9.0,15.0
1256,10006,31,7,9,10.0,10.0
1256,10006,18,8,10,10.0,10.0
1256,10006,27,11,11,6.0,6.0
1256,10006,87,12,12,4.0,5.0
1256,10006,6,15,13,0.0,4.0
1256,10006,22,13,14,3.0,3.0
1256,10006,55,14,15,1.0,1.0
1256,10006,10,16,16,0.0,0.0
1256,10006,14,20,17,0.0,0.0
1256,10006,30,17,18,0.0,0.0
1256,10006,7,18,19,0.0,0.0
1256,10006,5,19,20,0.0,0.0
