meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1256,10006,87,23,2025-04-06T05:03:55.877000+00:00,9
1256,10006,22,30,2025-04-06T05:03:56.298000+00:00,13
1256,10006,30,22,2025-04-06T05:03:56.314000+00:00,13
1256,10006,31,5,2025-04-06T05:03:56.830000+00:00,17
1256,10006,7,5,2025-04-06T05:03:57.017000+00:00,18
1256,10006,23,87,2025-04-06T05:03:59.502000+00:00,9
1256,10006,10,87,2025-04-06T05:03:59.752000+00:00,10
1256,10006,87,10,2025-04-06T05:03:59.798000+00:00,10
1256,10006,18,5,2025-04-06T05:04:01.189000+00:00,19
1256,10006,14,10,2025-04-06T05:04:04.298000+00:00,11
1256,10006,27,55,2025-04-06T05:04:09.189000+00:00,15
1256,10006,10,14,2025-04-06T05:04:12.074000+00:00,11
1256,10006,7,18,2025-04-06T05:04:13.664000+00:00,18
1256,10006,14,10,2025-04-06T05:04:18.774000+00:00,11
1256,10006,10,14,2025-04-06T05:04:58.524000+00:00,11
1256,10006,22,30,2025-04-06T05:04:59.368000+00:00,13
1256,10006,14,10,2025-04-06T05:05:04.133000+00:00,11
1256,10006,55,27,2025-04-06T05:06:24.353000+00:00,15
1256,10006,44,6,2025-04-06T05:11:54.573000+00:00,7
1256,10006,5,18,2025-04-06T05:18:18.386000+00:00,19
1256,10006,5,7,2025-04-06T05:27:46.878000+00:00,18
1256,10006,12,63,2025-04-06T05:33:42.307000+00:00,5
1256,10006,44,63,2025-04-06T05:33:44.667000+00:00,6
1256,10006,6,63,2025-04-06T05:33:47.213000+00:00,7
1256,10006,23,63,2025-04-06T05:33:49.682000+00:00,8
1256,10006,87,63,2025-04-06T05:33:53.104000+00:00,9
1256,10006,14,63,2025-04-06T05:33:55.667000+00:00,10
1256,10006,10,63,2025-04-06T05:33:58.260000+00:00,11
1256,10006,22,63,2025-04-06T05:33:58.823000+00:00,12
1256,10006,16,81,2025-04-06T05:35:11.041000+00:00,3
1256,10006,12,81,2025-04-06T05:35:15.928000+00:00,4
1256,10006,44,81,2025-04-06T05:35:18.459000+00:00,5
1256,10006,6,81,2025-04-06T05:35:21.100000+00:00,6
1256,10006,23,81,2025-04-06T05:35:23.678000+00:00,7
1256,10006,87,81,2025-04-06T05:35:29.428000+00:00,8
1256,10006,12,16,2025-04-06T05:36:49.097000+00:00,3
1256,10006,12,4,2025-04-06T05:36:49.097000+00:00,2
1256,10006,12,1,2025-04-06T05:36:49.097000+00:00,1
1256,10006,44,16,2025-04-06T05:36:52.191000+00:00,4
1256,10006,44,4,2025-04-06T05:36:52.191000+00:00,3
1256,10006,44,1,2025-04-06T05:36:52.191000+00:00,2
1256,10006,63,22,2025-04-06T05:36:52.926000+00:00,12
1256,10006,6,16,2025-04-06T05:36:54.785000+00:00,5
1256,10006,6,4,2025-04-06T05:36:54.785000+00:00,4
