date,session_key,meeting_key,driver_number,position
2025-04-06T04:07:42.788000+00:00,10006,1256,1,1
2025-04-06T04:07:42.788000+00:00,10006,1256,4,2
2025-04-06T04:07:42.788000+00:00,10006,1256,81,3
2025-04-06T04:07:42.788000+00:00,10006,1256,16,4
2025-04-06T04:07:42.788000+00:00,10006,1256,63,5
2025-04-06T04:07:42.788000+00:00,10006,1256,12,6
2025-04-06T04:07:42.788000+00:00,10006,1256,6,7
2025-04-06T04:07:42.788000+00:00,10006,1256,44,8
2025-04-06T04:07:42.788000+00:00,10006,1256,23,9
2025-04-06T04:07:42.788000+00:00,10006,1256,87,10
2025-04-06T04:07:42.788000+00:00,10006,1256,10,11
2025-04-06T04:07:42.788000+00:00,10006,1256,14,12
2025-04-06T04:07:42.788000+00:00,10006,1256,30,13
2025-04-06T04:07:42.788000+00:00,10006,1256,22,14
2025-04-06T04:07:42.788000+00:00,10006,1256,55,15
2025-04-06T04:07:42.788000+00:00,10006,1256,27,16
2025-04-06T04:07:42.788000+00:00,10006,1256,5,17
2025-04-06T04:07:42.788000+00:00,10006,1256,31,18
2025-04-06T04:07:42.788000+00:00,10006,1256,7,19
2025-04-06T04:07:42.788000+00:00,10006,1256,18,20
2025-04-06T05:03:55.877000+00:00,10006,1256,23,10
2025-04-06T05:03:55.877000+00:00,10006,1256,87,9
2025-04-06T05:03:56.298000+00:00,10006,1256,30,14
2025-04-06T05:03:56.298000+00:00,10006,1256,22,13
2025-04-06T05:03:56.314000+00:00,10006,1256,30,13
2025-04-06T05:03:56.314000+00:00,10006,1256,22,14
2025-04-06T05:03:56.830000+00:00,10006,1256,5,18
2025-04-06T05:03:56.830000+00:00,10006,1256,31,17
2025-04-06T05:03:57.017000+00:00,10006,1256,5,19
2025-04-06T05:03:57.017000+00:00,10006,1256,7,18
2025-04-06T05:03:59.502000+00:00,10006,1256,23,9
2025-04-06T05:03:59.502000+00:00,10006,1256,87,10
2025-04-06T05:03:59.752000+00:00,10006,1256,87,11
2025-04-06T05:03:59.752000+00:00,10006,1256,10,10
2025-04-06T05:03:59.798000+00:00,10006,1256,87,10
2025-04-06T05:03:59.798000+00:00,10006,1256,10,11
