meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1256,10006,2025-04-06T04:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1256,10006,2025-04-06T04:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1256,10006,2025-04-06T04:45:14+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 20%
1256,10006,2025-04-06T04:57:06+00:00,,1,Drs,,,,DRS DISABLED
1256,10006,2025-04-06T05:03:47+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1256,10006,2025-04-06T05:05:35+00:00,,2,Drs,,,,DRS ENABLED
1256,10006,2025-04-06T05:08:16+00:00,,3,Other,,,,CAR 12 (ANT) TIME 1:34.531 DELETED - TRACK LIMITS AT TURN 17 LAP 2 14:06:57
1256,10006,2025-04-06T05:29:55+00:00,,17,Other,,,,CAR 55 (SAI) TIME 1:34.451 DELETED - TRACK LIMITS AT TURN 17 LAP 15 14:27:34
1256,10006,2025-04-06T05:31:49+00:00,,18,Other,,,,TURN 17 INCIDENT INVOLVING CARS 55 (SAI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1256,10006,2025-04-06T05:35:26+00:00,,21,Other,,,,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CAR 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1256,10006,2025-04-06T05:42:02+00:00,,25,Other,,,,PIT EXIT INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) NOTED
1256,10006,2025-04-06T05:43:05+00:00,,26,Other,,,,FIA STEWARDS: PIT EXIT INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) REVIEWED NO FURTHER INVESTIGATION
1256,10006,2025-04-06T05:45:15+00:00,,27,Other,,,,CAR 55 (SAI) TIME 1:33.932 DELETED - TRACK LIMITS AT TURN 17 LAP 25 14:43:19
1256,10006,2025-04-06T05:45:28+00:00,,27,Other,,,,TURN 17 INCIDENT INVOLVING CAR 55 (SAI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1256,10006,2025-04-06T05:47:54+00:00,,29,Other,,,,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CAR 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1256,10006,2025-04-06T05:48:23+00:00,,29,Other,,,,CAR 22 (TSU) TIME 1:33.745 DELETED - TRACK LIMITS AT TURN 17 LAP 26 14:45:10
1256,10006,2025-04-06T05:57:07+00:00,,35,Other,,,,CAR 63 (RUS) TIME 1:32.080 DELETED - TRACK LIMITS AT TURN 17 LAP 33 14:55:29
1256,10006,2025-04-06T06:13:43+00:00,18.0,45,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:13:43
1256,10006,2025-04-06T06:13:51+00:00,18.0,46,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:13:50
1256,10006,2025-04-06T06:18:15+00:00,,48,Other,,,,CAR 12 (ANT) TIME 1:31.238 DELETED - TRACK LIMITS AT TURN 17 LAP 47 15:16:58
1256,10006,2025-04-06T06:25:53+00:00,,53,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1256,10006,2025-04-06T06:26:13+00:00,,53,Other,,,,CAR 4 (NOR) TIME 1:31.423 DELETED - TRACK LIMITS AT TURN 17 LAP 53 15:25:48
1256,10006,2025-04-06T06:29:16+00:00,,53,Other,,,,CAR 10 (GAS) TIME 1:33.169 DELETED - TRACK LIMITS AT TURN 17 LAP 53 15:26:48
