meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1258,10022,81,2,1,74.0,99.0
1258,10022,4,1,2,77.0,89.0
1258,10022,1,3,3,69.0,87.0
1258,10022,63,4,4,63.0,73.0
1258,10022,16,5,5,32.0,47.0
1258,10022,12,6,6,30.0,38.0
1258,10022,44,7,7,25.0,31.0
1258,10022,23,8,8,18.0,20.0
1258,10022,31,9,9,14.0,14.0
1258,10022,18,10,10,10.0,10.0
1258,10022,10,11,11,6.0,6.0
1258,10022,27,12,12,6.0,6.0
1258,10022,87,13,13,6.0,6.0
1258,10022,6,15,14,4.0,5.0
1258,10022,55,16,15,1.0,5.0
1258,10022,22,14,16,5.0,5.0
1258,10022,14,17,17,0.0,0.0
1258,10022,30,18,18,0.0,0.0
1258,10022,7,19,19,0.0,0.0
1258,10022,5,20,20,0.0,0.0
