Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 00:59:02.420000,PIA,81,0 days 00:02:04.986000,1.0,1.0,,,,0 days 00:00:29.518000,0 days 00:00:58.921000,,0 days 00:58:03.499000,0 days 00:59:02.497000,287.0,304.0,163.0,145.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:57.036000,2025-04-20 17:03:55.450,124,2.0,False,,False,False,124.986,,29.518,58.921,Saudi Arabian Grand Prix
0 days 01:01:46.365000,PIA,81,,2.0,1.0,,,0 days 00:01:08.447000,0 days 00:00:49.209000,0 days 00:00:46.412000,0 days 01:00:10.825000,0 days 01:00:59.953000,0 days 01:01:46.419000,143.0,175.0,269.0,226.0,False,MEDIUM,2.0,True,McLaren,0 days 00:59:02.420000,2025-04-20 17:06:00.834,4,2.0,False,,False,False,,68.447,49.209,46.412,Saudi Arabian Grand Prix
0 days 01:04:41.597000,PIA,81,,3.0,1.0,,,0 days 00:00:56.071000,0 days 00:00:46.270000,0 days 00:01:12.862000,0 days 01:02:42.523000,0 days 01:03:28.735000,0 days 01:04:41.814000,238.0,145.0,295.0,82.0,False,MEDIUM,3.0,True,McLaren,0 days 01:01:46.365000,2025-04-20 17:08:44.779,41,3.0,False,,False,False,,56.071,46.27,72.862,Saudi Arabian Grand Prix
0 days 01:06:15.844000,PIA,81,0 days 00:01:34.247000,4.0,1.0,,,0 days 00:00:34.829000,0 days 00:00:29.607000,0 days 00:00:29.811000,0 days 01:05:16.426000,0 days 01:05:46.033000,0 days 01:06:15.844000,287.0,300.0,294.0,307.0,True,MEDIUM,4.0,True,McLaren,0 days 01:04:41.597000,2025-04-20 17:11:40.011,1,2.0,False,,False,True,94.247,34.829,29.607,29.811,Saudi Arabian Grand Prix
0 days 01:07:49.262000,PIA,81,0 days 00:01:33.418000,5.0,1.0,,,0 days 00:00:34.522000,0 days 00:00:29.411000,0 days 00:00:29.485000,0 days 01:06:50.366000,0 days 01:07:19.777000,0 days 01:07:49.262000,289.0,303.0,304.0,325.0,True,MEDIUM,5.0,True,McLaren,0 days 01:06:15.844000,2025-04-20 17:13:14.258,1,2.0,False,,False,True,93.418,34.522,29.411,29.485,Saudi Arabian Grand Prix
0 days 01:09:23.179000,PIA,81,0 days 00:01:33.917000,6.0,1.0,,,0 days 00:00:34.783000,0 days 00:00:29.453000,0 days 00:00:29.681000,0 days 01:08:24.045000,0 days 01:08:53.498000,0 days 01:09:23.179000,,301.0,296.0,308.0,False,MEDIUM,6.0,True,McLaren,0 days 01:07:49.262000,2025-04-20 17:14:47.676,1,2.0,False,,False,True,93.917,34.783,29.453,29.681,Saudi Arabian Grand Prix
0 days 01:10:56.702000,PIA,81,0 days 00:01:33.523000,7.0,1.0,,,0 days 00:00:34.373000,0 days 00:00:29.422000,0 days 00:00:29.728000,0 days 01:09:57.552000,0 days 01:10:26.974000,0 days 01:10:56.702000,290.0,300.0,296.0,306.0,False,MEDIUM,7.0,True,McLaren,0 days 01:09:23.179000,2025-04-20 17:16:21.593,1,2.0,False,,False,True,93.523,34.373,29.422,29.728,Saudi Arabian Grand Prix
0 days 01:12:30.595000,PIA,81,0 days 00:01:33.893000,8.0,1.0,,,0 days 00:00:34.442000,0 days 00:00:29.510000,0 days 00:00:29.941000,0 days 01:11:31.144000,0 days 01:12:00.654000,0 days 01:12:30.595000,289.0,300.0,296.0,307.0,False,MEDIUM,8.0,True,McLaren,0 days 01:10:56.702000,2025-04-20 17:17:55.116,1,2.0,False,,False,True,93.893,34.442,29.51,29.941,Saudi Arabian Grand Prix
0 days 01:14:04.095000,PIA,81,0 days 00:01:33.500000,9.0,1.0,,,0 days 00:00:34.313000,0 days 00:00:29.439000,0 days 00:00:29.748000,0 days 01:13:04.908000,0 days 01:13:34.347000,0 days 01:14:04.095000,290.0,300.0,305.0,308.0,False,MEDIUM,9.0,True,McLaren,0 days 01:12:30.595000,2025-04-20 17:19:29.009,1,2.0,False,,False,True,93.5,34.313,29.439,29.748,Saudi Arabian Grand Prix
0 days 01:15:38.140000,PIA,81,0 days 00:01:34.045000,10.0,1.0,,,0 days 00:00:34.605000,0 days 00:00:29.507000,0 days 00:00:29.933000,0 days 01:14:38.700000,0 days 01:15:08.207000,0 days 01:15:38.140000,289.0,300.0,296.0,308.0,False,MEDIUM,10.0,True,McLaren,0 days 01:14:04.095000,2025-04-20 17:21:02.509,1,2.0,False,,False,True,94.045,34.605,29.507,29.933,Saudi Arabian Grand Prix
0 days 01:17:11.948000,PIA,81,0 days 00:01:33.808000,11.0,1.0,,,0 days 00:00:34.580000,0 days 00:00:29.489000,0 days 00:00:29.739000,0 days 01:16:12.720000,0 days 01:16:42.209000,0 days 01:17:11.948000,,304.0,305.0,311.0,False,MEDIUM,11.0,True,McLaren,0 days 01:15:38.140000,2025-04-20 17:22:36.554,1,2.0,False,,False,True,93.808,34.58,29.489,29.739,Saudi Arabian Grand Prix
0 days 01:18:45.718000,PIA,81,0 days 00:01:33.770000,12.0,1.0,,,0 days 00:00:34.622000,0 days 00:00:29.451000,0 days 00:00:29.697000,0 days 01:17:46.570000,0 days 01:18:16.021000,0 days 01:18:45.718000,,304.0,305.0,325.0,False,MEDIUM,12.0,True,McLaren,0 days 01:17:11.948000,2025-04-20 17:24:10.362,1,2.0,False,,False,True,93.77,34.622,29.451,29.697,Saudi Arabian Grand Prix
0 days 01:20:19.998000,PIA,81,0 days 00:01:34.280000,13.0,1.0,,,0 days 00:00:34.793000,0 days 00:00:29.535000,0 days 00:00:29.952000,0 days 01:19:20.511000,0 days 01:19:50.046000,0 days 01:20:19.998000,288.0,303.0,295.0,310.0,False,MEDIUM,13.0,True,McLaren,0 days 01:18:45.718000,2025-04-20 17:25:44.132,1,2.0,False,,False,True,94.28,34.793,29.535,29.951999999999998,Saudi Arabian Grand Prix
0 days 01:21:54.070000,PIA,81,0 days 00:01:34.072000,14.0,1.0,,,0 days 00:00:34.687000,0 days 00:00:29.512000,0 days 00:00:29.873000,0 days 01:20:54.685000,0 days 01:21:24.197000,0 days 01:21:54.070000,,304.0,295.0,311.0,False,MEDIUM,14.0,True,McLaren,0 days 01:20:19.998000,2025-04-20 17:27:18.412,1,2.0,False,,False,True,94.072,34.687,29.512,29.873,Saudi Arabian Grand Prix
0 days 01:23:28.219000,PIA,81,0 days 00:01:34.149000,15.0,1.0,,,0 days 00:00:34.695000,0 days 00:00:29.550000,0 days 00:00:29.904000,0 days 01:22:28.765000,0 days 01:22:58.315000,0 days 01:23:28.219000,,304.0,296.0,310.0,False,MEDIUM,15.0,True,McLaren,0 days 01:21:54.070000,2025-04-20 17:28:52.484,1,2.0,False,,False,True,94.149,34.695,29.55,29.904,Saudi Arabian Grand Prix
0 days 01:25:02.343000,PIA,81,0 days 00:01:34.124000,16.0,1.0,,,0 days 00:00:34.602000,0 days 00:00:29.559000,0 days 00:00:29.963000,0 days 01:24:02.821000,0 days 01:24:32.380000,0 days 01:25:02.343000,,306.0,296.0,311.0,False,MEDIUM,16.0,True,McLaren,0 days 01:23:28.219000,2025-04-20 17:30:26.633,1,2.0,False,,False,True,94.124,34.602,29.559,29.963,Saudi Arabian Grand Prix
0 days 01:26:36.622000,PIA,81,0 days 00:01:34.279000,17.0,1.0,,,0 days 00:00:34.660000,0 days 00:00:29.568000,0 days 00:00:30.051000,0 days 01:25:37.003000,0 days 01:26:06.571000,0 days 01:26:36.622000,,302.0,296.0,307.0,False,MEDIUM,17.0,True,McLaren,0 days 01:25:02.343000,2025-04-20 17:32:00.757,1,2.0,False,,False,True,94.279,34.66,29.568,30.051,Saudi Arabian Grand Prix
0 days 01:28:10.782000,PIA,81,0 days 00:01:34.160000,18.0,1.0,,,0 days 00:00:34.630000,0 days 00:00:29.580000,0 days 00:00:29.950000,0 days 01:27:11.252000,0 days 01:27:40.832000,0 days 01:28:10.782000,289.0,304.0,296.0,309.0,False,MEDIUM,18.0,True,McLaren,0 days 01:26:36.622000,2025-04-20 17:33:35.036,1,2.0,False,,False,True,94.16,34.63,29.58,29.95,Saudi Arabian Grand Prix
0 days 01:29:47.232000,PIA,81,0 days 00:01:36.450000,19.0,1.0,,0 days 01:29:46.222000,0 days 00:00:34.626000,0 days 00:00:29.498000,0 days 00:00:32.326000,0 days 01:28:45.408000,0 days 01:29:14.906000,0 days 01:29:47.232000,288.0,301.0,,309.0,False,MEDIUM,19.0,True,McLaren,0 days 01:28:10.782000,2025-04-20 17:35:09.196,1,2.0,False,,False,False,96.45,34.626,29.498,32.326,Saudi Arabian Grand Prix
