meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1258,10022,2025-04-20T16:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1258,10022,2025-04-20T16:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1258,10022,2025-04-20T16:45:48+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0 %
1258,10022,2025-04-20T16:57:02+00:00,,1,Drs,,,,DRS DISABLED
1258,10022,2025-04-20T17:03:55+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1258,10022,2025-04-20T17:04:25+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1258,10022,2025-04-20T17:04:27+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1258,10022,2025-04-20T17:04:28+00:00,,1,Flag,YELLOW,Sector,2.0,YELLOW IN TRACK SECTOR 2
1258,10022,2025-04-20T17:04:28+00:00,,1,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1258,10022,2025-04-20T17:04:30+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1258,10022,2025-04-20T17:04:31+00:00,,1,Flag,YELLOW,Sector,2.0,YELLOW IN TRACK SECTOR 2
1258,10022,2025-04-20T17:04:43+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1258,10022,2025-04-20T17:05:02+00:00,,1,SafetyCar,,,,SAFETY CAR DEPLOYED
1258,10022,2025-04-20T17:05:24+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1258,10022,2025-04-20T17:05:34+00:00,,1,Other,,,,RECOVERY VEHICLE ON TRACK AT TURN 5
1258,10022,2025-04-20T17:06:05+00:00,,2,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1258,10022,2025-04-20T17:06:09+00:00,,2,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1258,10022,2025-04-20T17:06:14+00:00,,2,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1258,10022,2025-04-20T17:06:17+00:00,,2,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1258,10022,2025-04-20T17:07:30+00:00,,2,Other,,,,TURN 1 INCIDENT INVOLVING CARS 1 (VER) AND 81 (PIA) NOTED
1258,10022,2025-04-20T17:09:12+00:00,,3,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 1 (VER) AND 81 (PIA) UNDER INVESTIGATION
1258,10022,2025-04-20T17:09:28+00:00,,3,SafetyCar,,,,SAFETY CAR IN THIS LAP
1258,10022,2025-04-20T17:09:39+00:00,,3,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1258,10022,2025-04-20T17:11:06+00:00,,3,Flag,CLEAR,Track,,TRACK CLEAR
1258,10022,2025-04-20T17:11:26+00:00,,3,Other,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 1 (VER) - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1258,10022,2025-04-20T17:12:13+00:00,,4,Other,,,,TURN 5 INCIDENT INVOLVING CARS 22 (TSU) AND 10 (GAS) NOTED - CAUSING A COLLISION
1258,10022,2025-04-20T17:13:13+00:00,,5,Drs,,,,DRS ENABLED
1258,10022,2025-04-20T17:16:33+00:00,,7,Other,,,,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 22 (TSU) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION
1258,10022,2025-04-20T17:18:03+00:00,,8,Other,,,,CAR 1 (VER) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 1 20:04:05
1258,10022,2025-04-20T17:18:23+00:00,,8,Other,,,,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 1 20:04:06
1258,10022,2025-04-20T17:23:23+00:00,,11,Other,,,,CAR 5 (BOR) TIME 1:36.994 DELETED - TRACK LIMITS AT TURN 17 LAP 8 20:19:07
1258,10022,2025-04-20T17:26:27+00:00,,13,Other,,,,CAR 18 (STR) TIME 1:36.148 DELETED - TRACK LIMITS AT TURN 22 LAP 12 20:25:41
1258,10022,2025-04-20T17:36:30+00:00,,19,Other,,,,CAR 30 (LAW) TIME 1:35.162 DELETED - TRACK LIMITS AT TURN 11 LAP 18 20:34:35
1258,10022,2025-04-20T17:37:10+00:00,,20,Other,,,,CAR 23 (ALB) TIME 1:35.896 DELETED - TRACK LIMITS AT TURN 2 LAP 19 20:35:40
1258,10022,2025-04-20T17:40:43+00:00,,22,Other,,,,CAR 5 (BOR) TIME 1:36.354 DELETED - TRACK LIMITS AT TURN 2 LAP 21 20:39:10
1258,10022,2025-04-20T17:42:00+00:00,,23,Other,,,,CAR 6 (HAD) TIME 1:36.137 DELETED - TRACK LIMITS AT TURN 2 LAP 22 20:40:29
1258,10022,2025-04-20T17:42:04+00:00,,23,Other,,,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 1 (VER)
1258,10022,2025-04-20T17:47:33+00:00,,26,Other,,,,TURN 1 INCIDENT INVOLVING CARS 5 (BOR) AND 14 (ALO) NOTED
1258,10022,2025-04-20T17:47:59+00:00,,27,Other,,,,CAR 14 (ALO) TIME 1:37.031 DELETED - TRACK LIMITS AT TURN 2 LAP 25 20:45:38
1258,10022,2025-04-20T17:50:56+00:00,,29,Other,,,,CAR 4 (NOR) TIME 1:33.342 DELETED - TRACK LIMITS AT TURN 4 LAP 27 20:48:11
1258,10022,2025-04-20T17:52:31+00:00,,30,Other,,,,CAR 30 (LAW) TIME 1:35.190 DELETED - TRACK LIMITS AT TURN 2 LAP 28 20:50:21
1258,10022,2025-04-20T17:54:11+00:00,,31,Other,,,,CAR 12 (ANT) TIME 1:33.780 DELETED - TRACK LIMITS AT TURN 15 LAP 25 20:45:55
1258,10022,2025-04-20T17:54:53+00:00,,31,Other,,,,TURN 1 INCIDENT INVOLVING CARS 30 (LAW) AND 7 (DOO) NOTED
1258,10022,2025-04-20T17:56:14+00:00,,32,Other,,,,CAR 6 (HAD) TIME 1:35.421 DELETED - TRACK LIMITS AT TURN 22 LAP 31 20:55:40
1258,10022,2025-04-20T17:56:23+00:00,,32,Other,,,,CAR 44 (HAM) TIME 1:34.392 DELETED - TRACK LIMITS AT TURN 22 LAP 31 20:55:45
1258,10022,2025-04-20T18:00:29+00:00,,35,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 5 (BOR) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION
1258,10022,2025-04-20T18:01:50+00:00,5.0,35,Flag,BLACK AND WHITE,Driver,,BLACK AND WHITE FLAG FOR CAR 5 (BOR) - MOVING UNDER BRAKING
1258,10022,2025-04-20T18:04:41+00:00,,37,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 30 (LAW) AND 7 (DOO) UNDER INVESTIGATION
