meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1272,9877,4,2,1,332.0,357.0
1272,9877,81,1,2,346.0,356.0
1272,9877,1,3,3,306.0,321.0
1272,9877,63,4,4,252.0,258.0
1272,9877,16,5,5,192.0,210.0
1272,9877,44,6,6,142.0,146.0
1272,9877,12,7,7,89.0,97.0
1272,9877,23,8,8,73.0,73.0
1272,9877,27,9,9,41.0,41.0
1272,9877,6,10,10,39.0,39.0
1272,9877,55,11,11,38.0,38.0
1272,9877,14,12,12,37.0,37.0
1272,9877,87,18,13,20.0,32.0
1272,9877,18,13,14,32.0,32.0
1272,9877,30,14,15,30.0,30.0
1272,9877,31,15,16,28.0,30.0
1272,9877,22,16,17,28.0,28.0
1272,9877,10,17,18,20.0,20.0
1272,9877,5,19,19,18.0,19.0
1272,9877,43,20,20,0.0,0.0
1272,9877,7,21,21,0.0,0.0
