meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1272,9877,4,1,2025-10-26T20:03:15.881000+00:00,31.944,32.159,20.902,272.0,280.0,False,85.005,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051]",307.0
1272,9877,16,1,2025-10-26T20:03:15.881000+00:00,31.933,33.579,21.305,202.0,281.0,False,86.817,"[2048, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",309.0
1272,9877,63,1,2025-10-26T20:03:15.881000+00:00,32.964,34.416,21.496,249.0,282.0,False,88.876,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",308.0
1272,9877,44,1,2025-10-26T20:03:15.881000+00:00,32.588,33.524,21.434,289.0,281.0,False,87.546,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]",310.0
1272,9877,1,1,2025-10-26T20:03:15.881000+00:00,32.409,34.363,21.461,242.0,281.0,False,88.233,"[2048, 2049, 2049, 2051, 0, 0, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",319.0
1272,9877,12,1,2025-10-26T20:03:15.881000+00:00,33.198,34.991,21.732,257.0,279.0,False,89.921,"[2048, 2049, 2049, 2049, 0, 0, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",321.0
1272,9877,81,1,2025-10-26T20:03:15.881000+00:00,34.454,34.398,22.103,257.0,281.0,False,90.955,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",321.0
1272,9877,6,1,2025-10-26T20:03:15.881000+00:00,33.761,35.981,22.347,273.0,281.0,False,92.089,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",322.0
1272,9877,22,1,2025-10-26T20:03:15.881000+00:00,33.76,34.742,21.981,272.0,284.0,False,90.483,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",321.0
1272,9877,87,1,2025-10-26T20:03:15.881000+00:00,33.091,34.608,21.665,251.0,280.0,False,89.364,"[None, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",311.0
1272,9877,55,1,2025-10-26T20:03:15.881000+00:00,34.504,35.753,22.332,249.0,283.0,False,92.589,"[2048, 2049, 2049, 2049, 0, 0, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",308.0
