Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 00:58:35.193000,VER,1,0 days 00:01:27.817000,1.0,1.0,,,,0 days 00:00:34.363000,0 days 00:00:21.461000,,0 days 00:58:13.818000,0 days 00:58:35.339000,242.0,281.0,245.0,319.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:57:07.107000,2025-10-26 20:03:15.882,1,4.0,False,,False,False,87.817,,34.363,21.461,Mexico City Grand Prix
0 days 00:59:58.605000,VER,1,0 days 00:01:23.412000,2.0,1.0,,,0 days 00:00:29.364000,0 days 00:00:32.600000,0 days 00:00:21.448000,0 days 00:59:04.573000,0 days 00:59:37.173000,0 days 00:59:58.621000,268.0,286.0,244.0,323.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:58:35.193000,2025-10-26 20:04:43.968,1,4.0,False,,False,True,83.412,29.364,32.6,21.448,Mexico City Grand Prix
0 days 01:01:21.307000,VER,1,0 days 00:01:22.702000,3.0,1.0,,,0 days 00:00:28.912000,0 days 00:00:32.319000,0 days 00:00:21.471000,0 days 01:00:27.533000,0 days 01:00:59.852000,0 days 01:01:21.323000,277.0,286.0,243.0,336.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:59:58.605000,2025-10-26 20:06:07.380,12,4.0,False,,False,True,82.702,28.912,32.319,21.471,Mexico City Grand Prix
0 days 01:02:44.094000,VER,1,0 days 00:01:22.787000,4.0,1.0,,,0 days 00:00:28.845000,0 days 00:00:32.551000,0 days 00:00:21.391000,0 days 01:01:50.168000,0 days 01:02:22.719000,0 days 01:02:44.110000,275.0,285.0,243.0,343.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:01:21.307000,2025-10-26 20:07:30.082,1,4.0,False,,False,True,82.787,28.845,32.551,21.391,Mexico City Grand Prix
0 days 01:04:06.632000,VER,1,0 days 00:01:22.538000,5.0,1.0,,,0 days 00:00:28.826000,0 days 00:00:32.294000,0 days 00:00:21.418000,0 days 01:03:12.936000,0 days 01:03:45.230000,0 days 01:04:06.648000,284.0,287.0,243.0,,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:02:44.094000,2025-10-26 20:08:52.869,1,4.0,False,,False,True,82.538,28.826,32.294,21.418,Mexico City Grand Prix
0 days 01:05:34.961000,VER,1,0 days 00:01:28.329000,6.0,1.0,,,0 days 00:00:30.301000,0 days 00:00:36.281000,0 days 00:00:21.747000,0 days 01:04:36.949000,0 days 01:05:13.230000,0 days 01:05:34.977000,266.0,283.0,244.0,352.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:04:06.632000,2025-10-26 20:10:15.407,12,5.0,True,TRACK LIMITS AT TURN 5 LAP 6 ,False,True,88.329,30.301,36.281,21.747,Mexico City Grand Prix
0 days 01:06:57.942000,VER,1,0 days 00:01:22.981000,7.0,1.0,,,0 days 00:00:28.977000,0 days 00:00:32.542000,0 days 00:00:21.462000,0 days 01:06:03.954000,0 days 01:06:36.496000,0 days 01:06:57.958000,292.0,287.0,244.0,346.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:05:34.961000,2025-10-26 20:11:43.736,1,5.0,False,,False,True,82.981,28.977,32.542,21.462,Mexico City Grand Prix
0 days 01:08:20.952000,VER,1,0 days 00:01:23.010000,8.0,1.0,,,0 days 00:00:28.925000,0 days 00:00:32.704000,0 days 00:00:21.381000,0 days 01:07:26.883000,0 days 01:07:59.587000,0 days 01:08:20.968000,290.0,287.0,243.0,350.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:06:57.942000,2025-10-26 20:13:06.717,1,5.0,False,,False,True,83.01,28.925,32.704,21.381,Mexico City Grand Prix
0 days 01:09:44.248000,VER,1,0 days 00:01:23.296000,9.0,1.0,,,0 days 00:00:29.071000,0 days 00:00:32.531000,0 days 00:00:21.694000,0 days 01:08:50.039000,0 days 01:09:22.570000,0 days 01:09:44.264000,285.0,286.0,242.0,327.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:08:20.952000,2025-10-26 20:14:29.727,1,5.0,False,,False,True,83.296,29.071,32.531,21.694,Mexico City Grand Prix
0 days 01:11:07.482000,VER,1,0 days 00:01:23.234000,10.0,1.0,,,0 days 00:00:29.207000,0 days 00:00:32.441000,0 days 00:00:21.586000,0 days 01:10:13.471000,0 days 01:10:45.912000,0 days 01:11:07.498000,290.0,279.0,243.0,326.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:09:44.248000,2025-10-26 20:15:53.023,1,5.0,False,,False,True,83.234,29.207,32.441,21.586,Mexico City Grand Prix
