meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1272,9877,1,63,2025-10-26T20:03:24.885000+00:00,4
1272,9877,87,6,2025-10-26T20:03:25.419000+00:00,8
1272,9877,14,27,2025-10-26T20:03:26.211000+00:00,13
1272,9877,30,27,2025-10-26T20:03:26.310000+00:00,14
1272,9877,10,23,2025-10-26T20:03:26.497000+00:00,17
1272,9877,44,16,2025-10-26T20:03:29.273000+00:00,2
1272,9877,5,27,2025-10-26T20:03:30.610000+00:00,15
1272,9877,16,44,2025-10-26T20:03:31.425000+00:00,2
1272,9877,6,81,2025-10-26T20:03:32.109000+00:00,8
1272,9877,23,10,2025-10-26T20:03:33.487000+00:00,17
1272,9877,16,4,2025-10-26T20:03:37.126000+00:00,1
1272,9877,63,1,2025-10-26T20:03:38.704000+00:00,4
1272,9877,87,12,2025-10-26T20:03:39.095000+00:00,6
1272,9877,87,1,2025-10-26T20:03:39.095000+00:00,5
1272,9877,6,12,2025-10-26T20:03:39.470000+00:00,7
1272,9877,6,1,2025-10-26T20:03:39.470000+00:00,6
1272,9877,22,81,2025-10-26T20:03:39.704000+00:00,9
1272,9877,22,12,2025-10-26T20:03:39.704000+00:00,8
1272,9877,22,1,2025-10-26T20:03:39.704000+00:00,7
1272,9877,81,12,2025-10-26T20:03:40.126000+00:00,9
1272,9877,81,1,2025-10-26T20:03:40.126000+00:00,8
1272,9877,31,12,2025-10-26T20:03:40.439000+00:00,10
1272,9877,31,1,2025-10-26T20:03:40.439000+00:00,9
1272,9877,14,55,2025-10-26T20:03:40.782000+00:00,12
1272,9877,14,12,2025-10-26T20:03:40.782000+00:00,11
1272,9877,14,1,2025-10-26T20:03:40.782000+00:00,10
1272,9877,5,30,2025-10-26T20:03:41.173000+00:00,14
1272,9877,5,55,2025-10-26T20:03:41.173000+00:00,13
1272,9877,5,12,2025-10-26T20:03:41.173000+00:00,12
1272,9877,5,1,2025-10-26T20:03:41.173000+00:00,11
1272,9877,10,23,2025-10-26T20:03:41.470000+00:00,17
1272,9877,10,27,2025-10-26T20:03:41.470000+00:00,16
1272,9877,10,30,2025-10-26T20:03:41.470000+00:00,15
1272,9877,10,55,2025-10-26T20:03:41.470000+00:00,14
1272,9877,10,12,2025-10-26T20:03:41.470000+00:00,13
1272,9877,10,1,2025-10-26T20:03:41.470000+00:00,12
1272,9877,27,30,2025-10-26T20:03:41.603000+00:00,16
1272,9877,27,55,2025-10-26T20:03:41.603000+00:00,15
1272,9877,27,12,2025-10-26T20:03:41.603000+00:00,14
1272,9877,27,1,2025-10-26T20:03:41.603000+00:00,13
1272,9877,1,27,2025-10-26T20:03:41.672000+00:00,13
1272,9877,1,10,2025-10-26T20:03:41.672000+00:00,12
1272,9877,1,5,2025-10-26T20:03:41.672000+00:00,11
1272,9877,1,14,2025-10-26T20:03:41.672000+00:00,10
1272,9877,1,31,2025-10-26T20:03:41.672000+00:00,9
1272,9877,1,81,2025-10-26T20:03:41.672000+00:00,8
1272,9877,1,22,2025-10-26T20:03:41.672000+00:00,7
1272,9877,1,6,2025-10-26T20:03:41.672000+00:00,6
1272,9877,1,87,2025-10-26T20:03:41.672000+00:00,5
1272,9877,1,63,2025-10-26T20:03:41.672000+00:00,4
1272,9877,1,44,2025-10-26T20:03:41.672000+00:00,3
1272,9877,18,23,2025-10-26T20:03:41.960000+00:00,18
1272,9877,18,30,2025-10-26T20:03:41.960000+00:00,17
1272,9877,18,55,2025-10-26T20:03:41.960000+00:00,16
1272,9877,18,12,2025-10-26T20:03:41.960000+00:00,15
1272,9877,23,30,2025-10-26T20:03:42.010000+00:00,18
1272,9877,23,55,2025-10-26T20:03:42.010000+00:00,17
1272,9877,23,12,2025-10-26T20:03:42.010000+00:00,16
1272,9877,12,23,2025-10-26T20:03:42.521000+00:00,16
1272,9877,12,18,2025-10-26T20:03:42.521000+00:00,15
1272,9877,12,27,2025-10-26T20:03:42.521000+00:00,14
1272,9877,12,10,2025-10-26T20:03:42.521000+00:00,13
1272,9877,12,5,2025-10-26T20:03:42.521000+00:00,12
1272,9877,12,14,2025-10-26T20:03:42.521000+00:00,11
1272,9877,12,31,2025-10-26T20:03:42.521000+00:00,10
1272,9877,12,81,2025-10-26T20:03:42.521000+00:00,9
1272,9877,12,22,2025-10-26T20:03:42.521000+00:00,8
1272,9877,12,6,2025-10-26T20:03:42.521000+00:00,7
1272,9877,12,87,2025-10-26T20:03:42.521000+00:00,6
1272,9877,30,55,2025-10-26T20:03:43.710000+00:00,18
1272,9877,30,23,2025-10-26T20:03:43.710000+00:00,17
1272,9877,30,18,2025-10-26T20:03:43.710000+00:00,16
1272,9877,30,27,2025-10-26T20:03:43.710000+00:00,15
1272,9877,30,10,2025-10-26T20:03:43.710000+00:00,14
1272,9877,30,5,2025-10-26T20:03:43.710000+00:00,13
1272,9877,30,14,2025-10-26T20:03:43.710000+00:00,12
1272,9877,30,31,2025-10-26T20:03:43.710000+00:00,11
1272,9877,30,81,2025-10-26T20:03:43.710000+00:00,10
1272,9877,55,23,2025-10-26T20:03:43.853000+00:00,18
1272,9877,55,18,2025-10-26T20:03:43.853000+00:00,17
1272,9877,55,27,2025-10-26T20:03:43.853000+00:00,16
1272,9877,55,10,2025-10-26T20:03:43.853000+00:00,15
1272,9877,55,5,2025-10-26T20:03:43.853000+00:00,14
1272,9877,55,14,2025-10-26T20:03:43.853000+00:00,13
1272,9877,55,31,2025-10-26T20:03:43.853000+00:00,12
1272,9877,55,81,2025-10-26T20:03:43.853000+00:00,11
1272,9877,87,12,2025-10-26T20:03:45.664000+00:00,6
1272,9877,4,16,2025-10-26T20:03:49.510000+00:00,1
1272,9877,81,30,2025-10-26T20:03:49.873000+00:00,11
1272,9877,12,87,2025-10-26T20:03:50.933000+00:00,6
1272,9877,31,30,2025-10-26T20:03:52.619000+00:00,12
1272,9877,5,14,2025-10-26T20:03:52.932000+00:00,14
1272,9877,18,27,2025-10-26T20:03:53.833000+00:00,17
1272,9877,44,1,2025-10-26T20:03:58.011000+00:00,3
1272,9877,87,12,2025-10-26T20:03:58.701000+00:00,6
1272,9877,81,55,2025-10-26T20:04:00.174000+00:00,10
1272,9877,22,6,2025-10-26T20:04:05.369000+00:00,8
1272,9877,81,6,2025-10-26T20:04:05.972000+00:00,9
1272,9877,31,55,2025-10-26T20:04:06.369000+00:00,11
1272,9877,5,30,2025-10-26T20:04:06.887000+00:00,13
1272,9877,27,18,2025-10-26T20:04:08.591000+00:00,17
1272,9877,23,18,2025-10-26T20:04:08.798000+00:00,18
1272,9877,10,14,2025-10-26T20:04:34.470000+00:00,15
1272,9877,14,10,2025-10-26T20:05:53.826000+00:00,15
1272,9877,10,30,2025-10-26T20:06:18.077000+00:00,15
1272,9877,27,30,2025-10-26T20:06:18.350000+00:00,16
1272,9877,23,30,2025-10-26T20:06:18.681000+00:00,17
1272,9877,18,30,2025-10-26T20:06:19.540000+00:00,18
1272,9877,43,30,2025-10-26T20:06:25.778000+00:00,19
1272,9877,27,10,2025-10-26T20:06:31.187000+00:00,15
1272,9877,10,27,2025-10-26T20:06:38.336000+00:00,15
1272,9877,23,27,2025-10-26T20:06:47.912000+00:00,16
1272,9877,18,27,2025-10-26T20:07:07.739000+00:00,17
1272,9877,23,10,2025-10-26T20:09:26.560000+00:00,15
1272,9877,63,1,2025-10-26T20:10:36.424000+00:00,4
1272,9877,87,1,2025-10-26T20:10:36.956000+00:00,5
1272,9877,12,1,2025-10-26T20:10:37.784000+00:00,6
1272,9877,22,1,2025-10-26T20:10:38.721000+00:00,7
1272,9877,81,1,2025-10-26T20:10:39.081000+00:00,8
1272,9877,1,81,2025-10-26T20:10:39.112000+00:00,8
1272,9877,1,22,2025-10-26T20:10:39.112000+00:00,7
1272,9877,1,12,2025-10-26T20:10:39.112000+00:00,6
1272,9877,1,87,2025-10-26T20:10:39.112000+00:00,5
1272,9877,1,63,2025-10-26T20:10:39.112000+00:00,4
1272,9877,1,44,2025-10-26T20:10:39.112000+00:00,3
1272,9877,18,10,2025-10-26T20:10:42.912000+00:00,16
1272,9877,87,63,2025-10-26T20:10:55.982000+00:00,5
1272,9877,87,44,2025-10-26T20:10:55.982000+00:00,4
1272,9877,87,1,2025-10-26T20:10:55.982000+00:00,3
