date,session_key,stop_duration,driver_number,meeting_key,lap_number,pit_duration,lane_duration
2025-10-26T20:06:52.641000+00:00,9877,13.9,30,1272,2,34.212,34.212
2025-10-26T20:27:37.255000+00:00,9877,5.1,55,1272,17,22.502,22.502
2025-10-26T20:31:56.534000+00:00,9877,7.1,14,1272,20,26.816,26.816
2025-10-26T20:34:19.665000+00:00,9877,2.5,12,1272,22,22.476,22.476
2025-10-26T20:35:48.975000+00:00,9877,13.5,44,1272,23,33.308,33.308
2025-10-26T20:37:02.592000+00:00,9877,2.7,87,1272,24,22.647,22.647
2025-10-26T20:37:09.936000+00:00,9877,3.6,81,1272,24,23.211,23.211
2025-10-26T20:38:30.984000+00:00,9877,2.7,63,1272,25,22.347,22.347
2025-10-26T20:40:14.300000+00:00,9877,2.6,18,1272,26,22.071,22.071
2025-10-26T20:41:30.822000+00:00,9877,3.0,31,1272,27,23.203,23.203
2025-10-26T20:46:37.358000+00:00,9877,2.2,16,1272,31,22.215,22.215
2025-10-26T20:50:26.031000+00:00,9877,2.8,10,1272,33,22.834,22.834
2025-10-26T20:50:29.025000+00:00,9877,2.6,4,1272,34,22.567,22.567
2025-10-26T20:51:23.005000+00:00,9877,2.4,6,1272,34,22.196,22.196
2025-10-26T20:54:14.394000+00:00,9877,12.0,22,1272,36,31.63,31.63
2025-10-26T20:55:10.670000+00:00,9877,2.9,1,1272,37,22.762,22.762
2025-10-26T20:55:36.348000+00:00,9877,2.3,5,1272,37,22.41,22.41
2025-10-26T21:01:19.045000+00:00,9877,2.3,23,1272,41,22.04,22.04
2025-10-26T21:04:01.158000+00:00,9877,4.2,18,1272,43,23.713,23.713
2025-10-26T21:08:05.554000+00:00,9877,,55,1272,46,30.5,30.5
2025-10-26T21:09:49.689000+00:00,9877,2.1,81,1272,47,22.159,22.159
2025-10-26T21:09:06.973000+00:00,9877,4.6,12,1272,47,24.523,24.523
2025-10-26T21:09:09.701000+00:00,9877,3.5,44,1272,47,23.342,23.342
2025-10-26T21:10:22.169000+00:00,9877,2.3,87,1272,48,22.174,22.174
2025-10-26T21:10:24.920000+00:00,9877,3.2,63,1272,48,22.47,22.47
2025-10-26T21:11:28.773000+00:00,9877,2.8,43,1272,48,22.789,22.789
2025-10-26T21:21:53.849000+00:00,9877,,55,1272,56,17.9,17.9
