date,session_key,position,driver_number,meeting_key
2025-10-26T19:06:12.629000+00:00,9877,1,4,1272
2025-10-26T19:06:12.629000+00:00,9877,2,16,1272
2025-10-26T19:06:12.629000+00:00,9877,3,44,1272
2025-10-26T19:06:12.629000+00:00,9877,4,63,1272
2025-10-26T19:06:12.629000+00:00,9877,5,1,1272
2025-10-26T19:06:12.629000+00:00,9877,6,12,1272
2025-10-26T19:06:12.629000+00:00,9877,7,81,1272
2025-10-26T19:06:12.629000+00:00,9877,8,6,1272
2025-10-26T19:06:12.629000+00:00,9877,9,87,1272
2025-10-26T19:06:12.629000+00:00,9877,10,22,1272
2025-10-26T19:06:12.629000+00:00,9877,11,31,1272
2025-10-26T19:06:12.629000+00:00,9877,12,55,1272
2025-10-26T19:06:12.629000+00:00,9877,13,27,1272
2025-10-26T19:06:12.629000+00:00,9877,14,14,1272
2025-10-26T19:06:12.629000+00:00,9877,15,30,1272
2025-10-26T19:06:12.629000+00:00,9877,16,5,1272
2025-10-26T19:06:12.629000+00:00,9877,17,23,1272
2025-10-26T19:06:12.629000+00:00,9877,18,10,1272
2025-10-26T19:06:12.629000+00:00,9877,19,18,1272
2025-10-26T19:06:12.629000+00:00,9877,20,43,1272
2025-10-26T20:03:24.885000+00:00,9877,5,63,1272
2025-10-26T20:03:24.885000+00:00,9877,4,1,1272
2025-10-26T20:03:25.419000+00:00,9877,9,6,1272
2025-10-26T20:03:25.419000+00:00,9877,8,87,1272
2025-10-26T20:03:26.211000+00:00,9877,14,27,1272
2025-10-26T20:03:26.211000+00:00,9877,13,14,1272
2025-10-26T20:03:26.310000+00:00,9877,15,27,1272
2025-10-26T20:03:26.310000+00:00,9877,14,30,1272
2025-10-26T20:03:26.497000+00:00,9877,18,23,1272
2025-10-26T20:03:26.497000+00:00,9877,17,10,1272
2025-10-26T20:03:29.273000+00:00,9877,3,16,1272
2025-10-26T20:03:29.273000+00:00,9877,2,44,1272
2025-10-26T20:03:29.554000+00:00,9877,8,81,1272
2025-10-26T20:03:29.554000+00:00,9877,7,87,1272
2025-10-26T20:03:30.610000+00:00,9877,16,27,1272
2025-10-26T20:03:30.610000+00:00,9877,15,5,1272
2025-10-26T20:03:31.425000+00:00,9877,2,16,1272
2025-10-26T20:03:31.425000+00:00,9877,3,44,1272
2025-10-26T20:03:32.109000+00:00,9877,9,81,1272
2025-10-26T20:03:32.109000+00:00,9877,8,6,1272
2025-10-26T20:03:33.487000+00:00,9877,17,23,1272
2025-10-26T20:03:33.487000+00:00,9877,18,10,1272
2025-10-26T20:03:37.126000+00:00,9877,2,4,1272
2025-10-26T20:03:37.126000+00:00,9877,1,16,1272
2025-10-26T20:03:38.704000+00:00,9877,4,63,1272
2025-10-26T20:03:38.704000+00:00,9877,5,1,1272
2025-10-26T20:03:39.095000+00:00,9877,6,1,1272
2025-10-26T20:03:39.095000+00:00,9877,7,12,1272
2025-10-26T20:03:39.095000+00:00,9877,5,87,1272
2025-10-26T20:03:39.470000+00:00,9877,7,1,1272
2025-10-26T20:03:39.470000+00:00,9877,8,12,1272
2025-10-26T20:03:39.470000+00:00,9877,6,6,1272
2025-10-26T20:03:39.704000+00:00,9877,8,1,1272
2025-10-26T20:03:39.704000+00:00,9877,9,12,1272
2025-10-26T20:03:39.704000+00:00,9877,10,81,1272
2025-10-26T20:03:39.704000+00:00,9877,7,22,1272
2025-10-26T20:03:40.126000+00:00,9877,9,1,1272
2025-10-26T20:03:40.126000+00:00,9877,10,12,1272
2025-10-26T20:03:40.126000+00:00,9877,8,81,1272
2025-10-26T20:03:40.439000+00:00,9877,10,1,1272
2025-10-26T20:03:40.439000+00:00,9877,11,12,1272
2025-10-26T20:03:40.439000+00:00,9877,9,31,1272
2025-10-26T20:03:40.782000+00:00,9877,11,1,1272
2025-10-26T20:03:40.782000+00:00,9877,12,12,1272
2025-10-26T20:03:40.782000+00:00,9877,13,55,1272
2025-10-26T20:03:40.782000+00:00,9877,10,14,1272
2025-10-26T20:03:41.173000+00:00,9877,12,1,1272
2025-10-26T20:03:41.173000+00:00,9877,13,12,1272
2025-10-26T20:03:41.173000+00:00,9877,14,55,1272
2025-10-26T20:03:41.173000+00:00,9877,15,30,1272
2025-10-26T20:03:41.173000+00:00,9877,11,5,1272
2025-10-26T20:03:41.470000+00:00,9877,13,1,1272
2025-10-26T20:03:41.470000+00:00,9877,14,12,1272
2025-10-26T20:03:41.470000+00:00,9877,15,55,1272
2025-10-26T20:03:41.470000+00:00,9877,17,27,1272
2025-10-26T20:03:41.470000+00:00,9877,16,30,1272
2025-10-26T20:03:41.470000+00:00,9877,18,23,1272
2025-10-26T20:03:41.470000+00:00,9877,12,10,1272
2025-10-26T20:03:41.603000+00:00,9877,14,1,1272
2025-10-26T20:03:41.603000+00:00,9877,15,12,1272
2025-10-26T20:03:41.603000+00:00,9877,16,55,1272
2025-10-26T20:03:41.603000+00:00,9877,13,27,1272
2025-10-26T20:03:41.603000+00:00,9877,17,30,1272
2025-10-26T20:03:41.672000+00:00,9877,4,44,1272
2025-10-26T20:03:41.672000+00:00,9877,5,63,1272
2025-10-26T20:03:41.672000+00:00,9877,3,1,1272
2025-10-26T20:03:41.672000+00:00,9877,9,81,1272
2025-10-26T20:03:41.672000+00:00,9877,7,6,1272
2025-10-26T20:03:41.672000+00:00,9877,6,87,1272
2025-10-26T20:03:41.672000+00:00,9877,8,22,1272
2025-10-26T20:03:41.672000+00:00,9877,10,31,1272
2025-10-26T20:03:41.672000+00:00,9877,14,27,1272
2025-10-26T20:03:41.672000+00:00,9877,11,14,1272
2025-10-26T20:03:41.672000+00:00,9877,12,5,1272
2025-10-26T20:03:41.672000+00:00,9877,13,10,1272
2025-10-26T20:03:41.960000+00:00,9877,16,12,1272
2025-10-26T20:03:41.960000+00:00,9877,17,55,1272
2025-10-26T20:03:41.960000+00:00,9877,18,30,1272
2025-10-26T20:03:41.960000+00:00,9877,19,23,1272
2025-10-26T20:03:41.960000+00:00,9877,15,18,1272
2025-10-26T20:03:42.010000+00:00,9877,17,12,1272
2025-10-26T20:03:42.010000+00:00,9877,18,55,1272
2025-10-26T20:03:42.010000+00:00,9877,19,30,1272
2025-10-26T20:03:42.010000+00:00,9877,16,23,1272
2025-10-26T20:03:42.521000+00:00,9877,6,12,1272
2025-10-26T20:03:42.521000+00:00,9877,10,81,1272
2025-10-26T20:03:42.521000+00:00,9877,8,6,1272
2025-10-26T20:03:42.521000+00:00,9877,7,87,1272
2025-10-26T20:03:42.521000+00:00,9877,9,22,1272
2025-10-26T20:03:42.521000+00:00,9877,11,31,1272
2025-10-26T20:03:42.521000+00:00,9877,15,27,1272
