meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1272,9877,2025-10-26T19:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1272,9877,2025-10-26T19:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1272,9877,2025-10-26T19:45:02+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%
1272,9877,2025-10-26T19:57:04+00:00,,1,Drs,,,,DRS DISABLED
1272,9877,2025-10-26T20:03:16+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1272,9877,2025-10-26T20:05:11+00:00,,2,Drs,,,,DRS ENABLED
1272,9877,2025-10-26T20:05:45+00:00,,2,Other,,,,LAP 1 TURN 1 INCIDENT NOTED
1272,9877,2025-10-26T20:06:11+00:00,,3,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3
1272,9877,2025-10-26T20:06:48+00:00,,3,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1272,9877,2025-10-26T20:06:49+00:00,,3,Other,,,,DRS DISABLED IN ZONE 2
1272,9877,2025-10-26T20:06:54+00:00,,3,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1272,9877,2025-10-26T20:07:20+00:00,,3,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3
1272,9877,2025-10-26T20:09:47+00:00,,5,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1272,9877,2025-10-26T20:10:50+00:00,,6,Flag,YELLOW,Sector,6.0,YELLOW IN TRACK SECTOR 6
1272,9877,2025-10-26T20:10:51+00:00,,6,Other,,,,DRS DISABLED IN ZONE 3
1272,9877,2025-10-26T20:10:53+00:00,,6,Other,,,,DRS ENABLED IN ZONE 3
1272,9877,2025-10-26T20:10:53+00:00,,6,Flag,CLEAR,Sector,6.0,CLEAR IN TRACK SECTOR 6
1272,9877,2025-10-26T20:13:20+00:00,,8,Other,,,,LAP 1 TURN 2 INCIDENT INVOLVING CARS 55 (SAI) AND 14 (ALO) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
