meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1272,9877,1,30,1,2,SOFT,0
1272,9877,2,30,3,5,HARD,0
1272,9877,1,55,1,17,MEDIUM,0
1272,9877,1,14,1,20,SOFT,0
1272,9877,1,12,1,22,SOFT,3
1272,9877,1,44,1,23,SOFT,3
1272,9877,1,87,1,24,SOFT,3
1272,9877,1,81,1,24,SOFT,3
1272,9877,1,63,1,25,SOFT,3
1272,9877,1,27,1,25,SOFT,0
1272,9877,1,18,1,26,SOFT,0
1272,9877,1,31,1,27,SOFT,0
1272,9877,1,16,1,31,SOFT,0
1272,9877,1,10,1,33,MEDIUM,0
1272,9877,1,4,1,34,SOFT,0
1272,9877,1,6,1,34,MEDIUM,0
1272,9877,2,14,21,34,MEDIUM,1
1272,9877,1,22,1,36,MEDIUM,0
1272,9877,1,1,1,37,MEDIUM,0
1272,9877,1,5,1,37,MEDIUM,0
1272,9877,1,23,1,41,HARD,0
1272,9877,2,18,27,43,MEDIUM,1
1272,9877,2,55,18,46,SOFT,0
1272,9877,2,12,23,47,MEDIUM,0
1272,9877,2,81,25,47,MEDIUM,0
1272,9877,2,44,24,47,MEDIUM,0
1272,9877,2,87,25,48,MEDIUM,0
1272,9877,2,63,26,48,MEDIUM,0
1272,9877,1,43,1,48,HARD,0
1272,9877,3,55,47,56,SOFT,3
1272,9877,4,55,57,67,SOFT,13
1272,9877,2,4,35,71,MEDIUM,0
1272,9877,2,23,42,70,SOFT,0
1272,9877,2,6,35,70,SOFT,3
1272,9877,3,18,44,70,SOFT,1
1272,9877,2,16,32,71,MEDIUM,0
1272,9877,2,1,38,71,SOFT,3
1272,9877,3,87,49,71,SOFT,3
1272,9877,3,81,48,71,SOFT,3
1272,9877,2,10,34,70,SOFT,0
1272,9877,2,43,49,70,SOFT,0
1272,9877,3,12,48,71,SOFT,3
1272,9877,3,63,49,71,SOFT,3
1272,9877,3,44,48,71,SOFT,3
1272,9877,2,31,28,71,MEDIUM,0
1272,9877,2,5,38,71,SOFT,0
1272,9877,2,22,37,71,SOFT,0
