meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1261,9979,81,1,1,146.0,161.0
1261,9979,4,2,2,133.0,158.0
1261,9979,1,3,3,124.0,136.0
1261,9979,63,4,4,99.0,99.0
1261,9979,16,5,5,61.0,79.0
1261,9979,44,6,6,53.0,63.0
1261,9979,12,7,7,48.0,48.0
1261,9979,23,8,8,40.0,42.0
1261,9979,31,9,9,14.0,20.0
1261,9979,6,14,10,7.0,15.0
1261,9979,18,10,11,14.0,14.0
1261,9979,55,11,12,11.0,12.0
1261,9979,22,12,13,10.0,10.0
1261,9979,10,13,14,7.0,7.0
1261,9979,27,15,15,6.0,6.0
1261,9979,87,16,16,6.0,6.0
1261,9979,30,18,17,0.0,4.0
1261,9979,14,17,18,0.0,0.0
1261,9979,7,19,19,0.0,0.0
1261,9979,43,21,20,0.0,0.0
1261,9979,5,20,21,0.0,0.0
