meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1261,9979,4,1,2025-05-25T13:03:09.194000+00:00,25.25,37.264,21.219,189.0,176,False,83.733,"[2049, 2049, 2049, 2051, 2051, 2051]","[2049, 2051, 2051, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051]",267
1261,9979,16,1,2025-05-25T13:03:09.194000+00:00,25.957,37.212,21.765,187.0,181,False,84.934,"[2049, 2051, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]",269
1261,9979,81,1,2025-05-25T13:03:09.194000+00:00,26.657,38.34,21.619,176.0,177,False,86.616,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051]",270
1261,9979,1,1,2025-05-25T13:03:09.194000+00:00,27.252,38.394,21.759,170.0,178,False,87.405,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049]",258
1261,9979,6,1,2025-05-25T13:03:09.194000+00:00,27.776,38.756,21.437,173.0,175,False,87.969,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]",244
1261,9979,44,1,2025-05-25T13:03:09.194000+00:00,28.577,39.263,21.925,163.0,176,False,89.765,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",266
1261,9979,14,1,2025-05-25T13:03:09.194000+00:00,28.271,38.958,21.505,172.0,178,False,88.734,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",273
1261,9979,31,1,2025-05-25T13:03:09.194000+00:00,29.061,39.394,21.91,152.0,181,False,90.365,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]",267
1261,9979,30,1,2025-05-25T13:03:09.194000+00:00,29.572,39.544,21.909,161.0,175,False,91.025,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2051]",274
1261,9979,23,1,2025-05-25T13:03:09.194000+00:00,29.783,40.146,22.03,165.0,168,False,91.959,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",276
1261,9979,55,1,2025-05-25T13:03:09.194000+00:00,30.5,40.273,22.102,171.0,173,False,92.875,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",275
1261,9979,22,1,2025-05-25T13:03:09.194000+00:00,31.216,40.335,39.397,164.0,180,False,110.948,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",274
