meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1261,9979,27,22,2025-05-25T13:03:25.350000+00:00,12
1261,9979,5,12,2025-05-25T13:03:53.538000+00:00,15
1261,9979,12,5,2025-05-25T13:04:00.304000+00:00,15
1261,9979,10,5,2025-05-25T13:04:01.054000+00:00,16
1261,9979,43,5,2025-05-25T13:04:01.710000+00:00,17
1261,9979,18,5,2025-05-25T13:04:02.241000+00:00,18
1261,9979,87,5,2025-05-25T13:04:02.960000+00:00,19
1261,9979,63,22,2025-05-25T13:04:39.745000+00:00,13
1261,9979,12,22,2025-05-25T13:04:40.361000+00:00,14
1261,9979,43,10,2025-05-25T13:04:41.774000+00:00,16
1261,9979,43,22,2025-05-25T13:04:41.774000+00:00,15
1261,9979,18,10,2025-05-25T13:04:42.573000+00:00,17
1261,9979,18,22,2025-05-25T13:04:42.573000+00:00,16
1261,9979,10,22,2025-05-25T13:14:55.049000+00:00,17
1261,9979,18,10,2025-05-25T13:15:04.455000+00:00,16
1261,9979,22,10,2025-05-25T13:15:06.861000+00:00,17
1261,9979,87,10,2025-05-25T13:15:23.221000+00:00,18
1261,9979,5,10,2025-05-25T13:15:35.783000+00:00,19
1261,9979,63,27,2025-05-25T13:20:48.196000+00:00,12
1261,9979,12,27,2025-05-25T13:20:48.780000+00:00,13
1261,9979,22,27,2025-05-25T13:20:49.539000+00:00,19
1261,9979,27,10,2025-05-25T13:20:49.574000+00:00,19
1261,9979,27,5,2025-05-25T13:20:49.574000+00:00,18
1261,9979,27,87,2025-05-25T13:20:49.574000+00:00,17
1261,9979,27,22,2025-05-25T13:20:49.574000+00:00,16
1261,9979,27,18,2025-05-25T13:20:49.574000+00:00,15
1261,9979,18,27,2025-05-25T13:20:50.175000+00:00,15
1261,9979,22,27,2025-05-25T13:20:51.156000+00:00,16
1261,9979,87,27,2025-05-25T13:20:51.751000+00:00,17
1261,9979,5,27,2025-05-25T13:20:53.205000+00:00,18
1261,9979,18,43,2025-05-25T13:22:09.567000+00:00,14
1261,9979,22,43,2025-05-25T13:22:10.379000+00:00,15
1261,9979,87,43,2025-05-25T13:22:11.457000+00:00,16
1261,9979,5,43,2025-05-25T13:22:12.348000+00:00,17
1261,9979,27,43,2025-05-25T13:22:22.457000+00:00,18
1261,9979,14,6,2025-05-25T13:23:04.317000+00:00,5
1261,9979,44,6,2025-05-25T13:23:05.661000+00:00,6
1261,9979,31,6,2025-05-25T13:23:07.692000+00:00,7
1261,9979,44,14,2025-05-25T13:25:37.580000+00:00,5
1261,9979,6,31,2025-05-25T13:25:54.783000+00:00,7
1261,9979,6,14,2025-05-25T13:26:00.033000+00:00,6
1261,9979,22,18,2025-05-25T13:27:29.760000+00:00,14
1261,9979,5,87,2025-05-25T13:27:30.708000+00:00,16
1261,9979,5,18,2025-05-25T13:27:30.708000+00:00,15
1261,9979,27,87,2025-05-25T13:27:33.399000+00:00,17
1261,9979,27,18,2025-05-25T13:27:33.399000+00:00,16
1261,9979,43,87,2025-05-25T13:27:34.027000+00:00,18
1261,9979,43,18,2025-05-25T13:27:34.027000+00:00,17
1261,9979,16,4,2025-05-25T13:29:11.138000+00:00,1
1261,9979,81,4,2025-05-25T13:29:13.981000+00:00,2
1261,9979,1,4,2025-05-25T13:29:16.684000+00:00,3
1261,9979,14,6,2025-05-25T13:29:48.372000+00:00,6
1261,9979,31,6,2025-05-25T13:29:50.528000+00:00,7
1261,9979,1,81,2025-05-25T13:30:32.325000+00:00,2
1261,9979,4,81,2025-05-25T13:30:42.887000+00:00,3
1261,9979,1,16,2025-05-25T13:33:02.464000+00:00,1
1261,9979,4,16,2025-05-25T13:33:13.043000+00:00,2
1261,9979,27,5,2025-05-25T13:39:16.528000+00:00,15
1261,9979,18,43,2025-05-25T13:39:21.746000+00:00,17
1261,9979,18,5,2025-05-25T13:39:21.746000+00:00,16
1261,9979,87,43,2025-05-25T13:39:22.559000+00:00,18
1261,9979,87,5,2025-05-25T13:39:22.559000+00:00,17
1261,9979,4,1,2025-05-25T13:40:41.887000+00:00,1
1261,9979,16,1,2025-05-25T13:40:49.294000+00:00,2
1261,9979,81,1,2025-05-25T13:40:53.122000+00:00,3
1261,9979,6,31,2025-05-25T13:41:37.119000+00:00,7
1261,9979,30,31,2025-05-25T13:41:39.478000+00:00,8
1261,9979,23,31,2025-05-25T13:41:40.619000+00:00,9
1261,9979,23,30,2025-05-25T13:45:31.340000+00:00,8
1261,9979,31,30,2025-05-25T13:45:34.809000+00:00,9
1261,9979,31,23,2025-05-25T13:46:50.271000+00:00,8
1261,9979,30,23,2025-05-25T13:47:10.598000+00:00,9
1261,9979,43,5,2025-05-25T13:51:15.538000+00:00,18
1261,9979,6,14,2025-05-25T13:52:55.696000+00:00,6
1261,9979,31,14,2025-05-25T13:53:01.540000+00:00,7
1261,9979,30,14,2025-05-25T13:53:24.228000+00:00,8
1261,9979,23,14,2025-05-25T13:53:27.884000+00:00,9
1261,9979,55,14,2025-05-25T13:53:39.618000+00:00,10
1261,9979,63,14,2025-05-25T13:53:40.181000+00:00,11
1261,9979,12,14,2025-05-25T13:53:40.853000+00:00,12
1261,9979,22,14,2025-05-25T13:53:41.619000+00:00,13
1261,9979,27,14,2025-05-25T13:53:42.103000+00:00,14
1261,9979,18,14,2025-05-25T13:53:42.915000+00:00,15
1261,9979,87,14,2025-05-25T13:53:43.369000+00:00,16
1261,9979,43,14,2025-05-25T13:53:43.962000+00:00,17
1261,9979,5,14,2025-05-25T13:53:56.837000+00:00,18
1261,9979,55,23,2025-05-25T13:59:54.352000+00:00,9
1261,9979,18,27,2025-05-25T14:02:59.399000+00:00,14
1261,9979,87,27,2025-05-25T14:03:01.352000+00:00,15
1261,9979,43,27,2025-05-25T14:03:03.149000+00:00,16
1261,9979,5,27,2025-05-25T14:03:03.181000+00:00,17
1261,9979,1,81,2025-05-25T14:05:55.071000+00:00,3
1261,9979,1,16,2025-05-25T14:07:09.279000+00:00,2
1261,9979,63,23,2025-05-25T14:07:46.388000+00:00,10
1261,9979,1,4,2025-05-25T14:08:23.764000+00:00,1
1261,9979,12,23,2025-05-25T14:11:40.150000+00:00,11
1261,9979,23,12,2025-05-25T14:11:57.946000+00:00,11
1261,9979,23,63,2025-05-25T14:26:20.490000+00:00,10
1261,9979,23,55,2025-05-25T14:28:28.405000+00:00,9
1261,9979,87,18,2025-05-25T14:29:21.359000+00:00,14
1261,9979,43,18,2025-05-25T14:29:22.125000+00:00,15
1261,9979,5,18,2025-05-25T14:29:26.593000+00:00,16
1261,9979,27,18,2025-05-25T14:29:28.562000+00:00,17
1261,9979,22,12,2025-05-25T14:35:46.012000+00:00,12
1261,9979,87,12,2025-05-25T14:35:46.445000+00:00,13
1261,9979,43,12,2025-05-25T14:35:48.748000+00:00,14
1261,9979,5,12,2025-05-25T14:35:54.341000+00:00,15
1261,9979,27,12,2025-05-25T14:35:55.250000+00:00,16
1261,9979,18,12,2025-05-25T14:35:57.864000+00:00,17
1261,9979,87,22,2025-05-25T14:40:49.630000+00:00,12
1261,9979,43,22,2025-05-25T14:40:53.518000+00:00,13
1261,9979,5,22,2025-05-25T14:41:01.375000+00:00,14
1261,9979,27,22,2025-05-25T14:41:02.026000+00:00,15
1261,9979,18,22,2025-05-25T14:41:02.724000+00:00,16
1261,9979,18,27,2025-05-25T14:41:49.410000+00:00,15
1261,9979,27,18,2025-05-25T14:41:53.316000+00:00,15
1261,9979,4,1,2025-05-25T14:42:30.144000+00:00,1
1261,9979,16,1,2025-05-25T14:42:31.222000+00:00,2
1261,9979,81,1,2025-05-25T14:42:32.129000+00:00,3
1261,9979,12,22,2025-05-25T14:43:52.535000+00:00,17
1261,9979,12,18,2025-05-25T14:43:52.535000+00:00,16
1261,9979,12,27,2025-05-25T14:43:52.535000+00:00,15
1261,9979,12,5,2025-05-25T14:43:52.535000+00:00,14
1261,9979,12,43,2025-05-25T14:43:52.535000+00:00,13
1261,9979,12,87,2025-05-25T14:43:52.535000+00:00,12
1261,9979,12,63,2025-05-25T14:43:52.535000+00:00,11
1261,9979,12,55,2025-05-25T14:43:52.535000+00:00,10
1261,9979,12,23,2025-05-25T14:43:52.535000+00:00,9
1261,9979,12,30,2025-05-25T14:43:52.535000+00:00,8
1261,9979,12,31,2025-05-25T14:43:52.535000+00:00,7
1261,9979,12,6,2025-05-25T14:43:52.535000+00:00,6
1261,9979,12,44,2025-05-25T14:43:52.535000+00:00,5
1261,9979,12,1,2025-05-25T14:43:52.535000+00:00,4
1261,9979,23,30,2025-05-25T14:43:55.191000+00:00,9
1261,9979,23,31,2025-05-25T14:43:55.191000+00:00,8
1261,9979,23,6,2025-05-25T14:43:55.191000+00:00,7
1261,9979,23,44,2025-05-25T14:43:55.191000+00:00,6
1261,9979,23,1,2025-05-25T14:43:55.191000+00:00,5
