date,session_key,driver_number,lane_duration,stop_duration,pit_duration,lap_number,meeting_key
2025-05-25T13:05:00.714000+00:00,9979,22,24.525,2.6,24.525,1,1261
2025-05-25T13:05:02.483000+00:00,9979,10,24.376,2.4,24.376,1,1261
2025-05-25T13:05:30.195000+00:00,9979,87,50.191,28.5,50.191,1,1261
2025-05-25T13:05:35.820000+00:00,9979,5,37.243,14.6,37.243,1,1261
2025-05-25T13:21:04.879000+00:00,9979,27,24.065,2.4,24.065,12,1261
2025-05-25T13:22:26.270000+00:00,9979,43,24.355,2.5,24.355,13,1261
2025-05-25T13:23:19.864000+00:00,9979,6,24.311,2.7,24.311,14,1261
2025-05-25T13:25:54.877000+00:00,9979,14,25.375,2.6,25.375,16,1261
2025-05-25T13:26:00.002000+00:00,9979,31,25.575,3.1,25.575,16,1261
2025-05-25T13:27:46.469000+00:00,9979,18,23.978,2.5,23.978,17,1261
2025-05-25T13:27:48.411000+00:00,9979,87,24.58,3.2,24.58,17,1261
2025-05-25T13:28:25.231000+00:00,9979,44,23.565,2.1,23.565,18,1261
2025-05-25T13:29:25.731000+00:00,9979,4,24.545,2.7,24.545,19,1261
2025-05-25T13:30:02.482000+00:00,9979,6,24.031,2.5,24.031,19,1261
2025-05-25T13:30:48.575000+00:00,9979,81,25.756,3.8,25.756,20,1261
2025-05-25T13:33:15.011000+00:00,9979,16,23.576,2.0,23.576,22,1261
2025-05-25T13:39:33.903000+00:00,9979,5,24.483,2.7,24.483,26,1261
2025-05-25T13:39:35.090000+00:00,9979,43,24.497,2.7,24.497,26,1261
2025-05-25T13:40:54.216000+00:00,9979,1,24.114,2.3,24.114,28,1261
2025-05-25T13:41:44.900000+00:00,9979,31,24.773,2.8,24.773,28,1261
2025-05-25T13:45:47.184000+00:00,9979,30,24.206,2.6,24.206,31,1261
2025-05-25T13:47:05.165000+00:00,9979,23,23.927,2.4,23.927,32,1261
2025-05-25T13:51:32.327000+00:00,9979,5,24.246,2.4,24.246,35,1261
2025-05-25T13:57:37.401000+00:00,9979,30,24.32,2.5,24.32,40,1261
2025-05-25T13:57:39.323000+00:00,9979,23,24.19,2.3,24.19,40,1261
2025-05-25T14:03:16.358000+00:00,9979,27,24.397,3.0,24.397,44,1261
2025-05-25T14:06:10.466000+00:00,9979,81,23.908,2.3,23.908,48,1261
2025-05-25T14:07:17.044000+00:00,9979,16,23.678,2.2,23.678,49,1261
2025-05-25T14:08:10.982000+00:00,9979,55,24.498,3.1,24.498,48,1261
2025-05-25T14:08:27.170000+00:00,9979,4,23.704,2.2,23.704,50,1261
2025-05-25T14:14:45.772000+00:00,9979,55,24.049,2.7,24.049,53,1261
2025-05-25T14:14:47.147000+00:00,9979,63,19.4,,19.4,53,1261
2025-05-25T14:16:41.123000+00:00,9979,44,24.256,2.5,24.256,56,1261
2025-05-25T14:26:38.027000+00:00,9979,63,25.063,3.7,25.063,62,1261
2025-05-25T14:29:40.406000+00:00,9979,18,25.916,4.2,25.916,64,1261
2025-05-25T14:34:22.421000+00:00,9979,63,24.025,2.5,24.025,68,1261
2025-05-25T14:36:00.507000+00:00,9979,12,24.457,2.4,24.457,69,1261
2025-05-25T14:38:51.533000+00:00,9979,12,24.837,2.3,24.837,71,1261
2025-05-25T14:41:05.576000+00:00,9979,22,24.086,2.4,24.086,73,1261
2025-05-25T14:42:47.010000+00:00,9979,1,23.95,2.2,23.95,77,1261
