meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1261,9979,2025-05-25T12:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1261,9979,2025-05-25T12:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1261,9979,2025-05-25T12:31:26+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1261,9979,2025-05-25T12:31:36+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1261,9979,2025-05-25T12:37:42+00:00,,1,Other,,,,INCIDENT INVOLVING CAR 87 (BEA) NOTED - UNSAFE CONDITION
1261,9979,2025-05-25T12:39:28+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 87 (BEA) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE CONDITION
1261,9979,2025-05-25T12:45:08+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%
1261,9979,2025-05-25T12:57:02+00:00,,1,Drs,,,,DRS DISABLED
1261,9979,2025-05-25T13:03:09+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1261,9979,2025-05-25T13:04:01+00:00,,1,Flag,YELLOW,Sector,10.0,YELLOW IN TRACK SECTOR 10
1261,9979,2025-05-25T13:04:18+00:00,,1,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1261,9979,2025-05-25T13:04:43+00:00,,2,SafetyCar,,,,VIRTUAL SAFETY CAR DEPLOYED
1261,9979,2025-05-25T13:04:57+00:00,,2,Flag,DOUBLE YELLOW,Sector,10.0,DOUBLE YELLOW IN TRACK SECTOR 10
1261,9979,2025-05-25T13:09:07+00:00,,4,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1261,9979,2025-05-25T13:09:15+00:00,,4,SafetyCar,,,,VIRTUAL SAFETY CAR ENDING
1261,9979,2025-05-25T13:09:28+00:00,,4,Flag,CLEAR,Track,,TRACK CLEAR
1261,9979,2025-05-25T13:09:31+00:00,,4,Drs,,,,DRS ENABLED
1261,9979,2025-05-25T13:10:35+00:00,,5,Other,,,,TURN 8 INCIDENT INVOLVING CARS 12 (ANT) AND 5 (BOR) NOTED
1261,9979,2025-05-25T13:11:07+00:00,,6,Other,,,,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 12 (ANT) AND 5 (BOR) REVIEWED NO FURTHER INVESTIGATION
1261,9979,2025-05-25T13:14:56+00:00,,8,Flag,DOUBLE YELLOW,Sector,13.0,DOUBLE YELLOW IN TRACK SECTOR 13
1261,9979,2025-05-25T13:16:39+00:00,,10,Flag,DOUBLE YELLOW,Sector,16.0,DOUBLE YELLOW IN TRACK SECTOR 16
1261,9979,2025-05-25T13:16:52+00:00,,10,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1261,9979,2025-05-25T13:16:58+00:00,,10,Other,,,,PIT LANE ENTRY CLOSED
1261,9979,2025-05-25T13:18:39+00:00,,11,Flag,CLEAR,Sector,13.0,CLEAR IN TRACK SECTOR 13
1261,9979,2025-05-25T13:18:48+00:00,,11,Other,,,,PIT LANE ENTRY OPEN
1261,9979,2025-05-25T13:19:30+00:00,,12,Other,,,,CAR 22 (TSU) TIME 1:23.351 DELETED - TRACK LIMITS AT TURN 10 LAP 8 15:14:56
1261,9979,2025-05-25T13:19:33+00:00,,12,Other,,,,CAR 30 (LAW) TIME 1:24.550 DELETED - TRACK LIMITS AT TURN 10 LAP 9 15:16:11
1261,9979,2025-05-25T13:20:17+00:00,,12,Other,,,,TURN 10 INCIDENT INVOLVING CARS 22 (TSU) AND 10 (GAS) NOTED - CAUSING A COLLISION
1261,9979,2025-05-25T13:21:20+00:00,,13,Other,,,,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 22 (TSU) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION
1261,9979,2025-05-25T13:33:12+00:00,,23,Other,,,,CAR 16 (LEC) TIME 1:15.782 DELETED - TRACK LIMITS AT TURN 10 LAP 21 15:31:13
1261,9979,2025-05-25T13:37:56+00:00,87.0,26,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 15:37:55
