meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1261,9979,1,22,1,0,SOFT,0
1261,9979,1,10,1,0,MEDIUM,6
1261,9979,1,87,1,0,MEDIUM,0
1261,9979,1,5,1,0,MEDIUM,0
1261,9979,2,10,1,7,MEDIUM,0
1261,9979,1,27,1,11,MEDIUM,0
1261,9979,1,43,1,12,HARD,0
1261,9979,1,6,1,13,MEDIUM,0
1261,9979,1,14,1,15,HARD,1
1261,9979,1,31,1,15,MEDIUM,0
1261,9979,1,18,1,16,HARD,1
1261,9979,2,87,1,16,HARD,0
1261,9979,1,44,1,17,HARD,0
1261,9979,1,4,1,18,MEDIUM,0
1261,9979,2,6,14,18,SOFT,3
1261,9979,1,81,1,19,MEDIUM,0
1261,9979,1,16,1,21,MEDIUM,0
1261,9979,2,43,13,25,MEDIUM,7
1261,9979,2,5,1,25,HARD,0
1261,9979,1,1,1,27,HARD,0
1261,9979,2,31,16,27,MEDIUM,4
1261,9979,1,30,1,30,MEDIUM,6
1261,9979,1,23,1,31,MEDIUM,4
1261,9979,2,14,16,36,HARD,1
1261,9979,3,5,26,34,SOFT,0
1261,9979,2,23,32,39,MEDIUM,8
1261,9979,2,30,31,39,SOFT,3
1261,9979,2,27,12,43,HARD,0
1261,9979,2,81,20,47,HARD,0
1261,9979,2,16,22,48,HARD,0
1261,9979,1,55,1,47,HARD,0
1261,9979,2,4,19,49,HARD,0
1261,9979,2,55,48,52,MEDIUM,0
1261,9979,1,63,1,52,HARD,0
1261,9979,2,44,18,55,HARD,1
1261,9979,2,18,17,63,HARD,1
1261,9979,2,63,53,67,MEDIUM,53
1261,9979,1,12,1,68,HARD,0
1261,9979,2,12,69,70,MEDIUM,0
1261,9979,2,22,1,72,HARD,0
1261,9979,2,1,28,76,MEDIUM,0
1261,9979,3,4,50,78,HARD,0
1261,9979,3,16,49,78,MEDIUM,0
1261,9979,3,81,48,78,HARD,0
1261,9979,3,12,71,75,HARD,0
1261,9979,3,23,40,76,HARD,0
1261,9979,3,55,53,76,MEDIUM,8
1261,9979,3,1,77,78,SOFT,3
1261,9979,3,63,68,76,HARD,0
1261,9979,3,44,56,78,MEDIUM,0
1261,9979,3,87,17,76,MEDIUM,0
1261,9979,3,43,26,76,MEDIUM,0
1261,9979,3,6,19,77,HARD,1
1261,9979,3,31,28,77,HARD,0
1261,9979,3,30,40,77,HARD,1
1261,9979,4,5,35,76,MEDIUM,0
1261,9979,3,18,64,76,MEDIUM,1
1261,9979,3,27,44,76,SOFT,0
1261,9979,3,22,73,76,MEDIUM,0
