meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1267,9920,81,1,1,284.0,309.0
1267,9920,4,2,2,275.0,275.0
1267,9920,1,3,3,187.0,205.0
1267,9920,63,4,4,172.0,184.0
1267,9920,16,5,5,151.0,151.0
1267,9920,44,6,6,109.0,109.0
1267,9920,12,7,7,64.0,64.0
1267,9920,23,8,8,54.0,64.0
1267,9920,27,9,9,37.0,37.0
1267,9920,6,13,10,22.0,37.0
1267,9920,18,12,11,26.0,32.0
1267,9920,14,11,12,26.0,30.0
1267,9920,31,10,13,27.0,28.0
1267,9920,10,14,14,20.0,20.0
1267,9920,30,15,15,20.0,20.0
1267,9920,87,19,16,8.0,16.0
1267,9920,55,16,17,16.0,16.0
1267,9920,5,17,18,14.0,14.0
1267,9920,22,18,19,10.0,12.0
1267,9920,43,20,20,0.0,0.0
1267,9920,7,21,21,0.0,0.0
