meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1267,9920,81,1,2025-08-31T13:03:21.064000+00:00,29.948,26.267,22.725,278.0,262.0,False,78.94,"[None, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2049]","[2049, 2051, 2051, 2051, 2049, 2049, 2051, 2051]",208.0
1267,9920,4,1,2025-08-31T13:03:21.064000+00:00,30.884,27.292,22.985,283.0,265.0,False,81.161,"[None, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",211.0
1267,9920,55,1,2025-08-31T13:03:21.064000+00:00,32.927,28.324,23.268,275.0,269.0,False,84.519,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",226.0
1267,9920,1,1,2025-08-31T13:03:21.064000+00:00,30.637,26.612,22.797,283.0,266.0,False,80.046,"[None, 2051, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",215.0
1267,9920,6,1,2025-08-31T13:03:21.064000+00:00,31.545,27.213,23.147,284.0,267.0,False,81.905,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",218.0
1267,9920,14,1,2025-08-31T13:03:21.064000+00:00,33.819,28.863,23.637,286.0,266.0,False,86.319,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",211.0
1267,9920,12,1,2025-08-31T13:03:21.064000+00:00,33.27,29.202,23.412,281.0,265.0,False,85.884,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",237.0
1267,9920,63,1,2025-08-31T13:03:21.064000+00:00,31.881,27.771,23.128,287.0,267.0,False,82.78,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",218.0
1267,9920,16,1,2025-08-31T13:03:21.064000+00:00,31.764,27.606,22.764,289.0,264.0,False,82.134,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",227.0
1267,9920,22,1,2025-08-31T13:03:21.064000+00:00,33.36,28.52,23.321,287.0,267.0,False,85.201,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",202.0
1267,9920,30,1,2025-08-31T13:03:21.064000+00:00,32.675,27.865,23.421,291.0,266.0,False,83.961,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",230.0
1267,9920,5,1,2025-08-31T13:03:21.064000+00:00,35.027,29.237,23.827,273.0,273.0,False,88.091,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",231.0
1267,9920,44,1,2025-08-31T13:03:21.064000+00:00,32.389,27.712,23.269,281.0,265.0,False,83.37,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",227.0
1267,9920,43,1,2025-08-31T13:03:21.064000+00:00,34.352,28.947,23.92,278.0,264.0,False,87.219,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",226.0
1267,9920,10,1,2025-08-31T13:03:21.064000+00:00,34.139,28.73,23.981,277.0,271.0,False,86.85,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",233.0
