meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1267,9920,1,4,2025-08-31T13:03:28.992000+00:00,2
1267,9920,22,12,2025-08-31T13:03:31.026000+00:00,11
1267,9920,12,22,2025-08-31T13:03:31.274000+00:00,11
1267,9920,18,31,2025-08-31T13:03:31.603000+00:00,18
1267,9920,18,27,2025-08-31T13:03:31.603000+00:00,17
1267,9920,18,43,2025-08-31T13:03:31.603000+00:00,16
1267,9920,18,23,2025-08-31T13:03:31.603000+00:00,15
1267,9920,18,10,2025-08-31T13:03:31.603000+00:00,14
1267,9920,18,5,2025-08-31T13:03:31.603000+00:00,13
1267,9920,23,10,2025-08-31T13:03:31.632000+00:00,15
1267,9920,23,5,2025-08-31T13:03:31.632000+00:00,14
1267,9920,23,18,2025-08-31T13:03:31.632000+00:00,13
1267,9920,23,22,2025-08-31T13:03:31.632000+00:00,12
1267,9920,31,27,2025-08-31T13:03:31.692000+00:00,18
1267,9920,31,43,2025-08-31T13:03:31.692000+00:00,17
1267,9920,31,10,2025-08-31T13:03:31.692000+00:00,16
1267,9920,31,5,2025-08-31T13:03:31.692000+00:00,15
1267,9920,10,5,2025-08-31T13:03:31.839000+00:00,16
1267,9920,10,31,2025-08-31T13:03:31.839000+00:00,15
1267,9920,10,18,2025-08-31T13:03:31.839000+00:00,14
1267,9920,43,5,2025-08-31T13:03:31.942000+00:00,17
1267,9920,43,31,2025-08-31T13:03:31.942000+00:00,16
1267,9920,43,18,2025-08-31T13:03:31.942000+00:00,15
1267,9920,27,5,2025-08-31T13:03:32.030000+00:00,18
1267,9920,27,31,2025-08-31T13:03:32.030000+00:00,17
1267,9920,27,18,2025-08-31T13:03:32.030000+00:00,16
1267,9920,4,1,2025-08-31T13:03:34.337000+00:00,2
1267,9920,1,4,2025-08-31T13:03:36.779000+00:00,2
1267,9920,31,18,2025-08-31T13:03:37.103000+00:00,17
1267,9920,23,12,2025-08-31T13:03:41.881000+00:00,11
1267,9920,23,14,2025-08-31T13:03:41.881000+00:00,10
1267,9920,12,14,2025-08-31T13:03:41.915000+00:00,11
1267,9920,16,63,2025-08-31T13:03:45.226000+00:00,5
1267,9920,22,14,2025-08-31T13:03:46.914000+00:00,12
1267,9920,23,12,2025-08-31T13:03:50.272000+00:00,10
1267,9920,31,27,2025-08-31T13:03:51.654000+00:00,16
1267,9920,22,12,2025-08-31T13:04:11.225000+00:00,11
1267,9920,14,12,2025-08-31T13:04:11.525000+00:00,12
1267,9920,12,14,2025-08-31T13:04:11.538000+00:00,12
1267,9920,14,12,2025-08-31T13:04:14.293000+00:00,12
1267,9920,12,14,2025-08-31T13:04:17.492000+00:00,12
1267,9920,5,18,2025-08-31T13:04:27.921000+00:00,18
1267,9920,27,31,2025-08-31T13:06:15.280000+00:00,16
1267,9920,18,5,2025-08-31T13:07:04.802000+00:00,18
1267,9920,43,10,2025-08-31T13:08:48.616000+00:00,14
1267,9920,4,1,2025-08-31T13:13:41.328000+00:00,2
1267,9920,5,18,2025-08-31T13:13:50.083000+00:00,18
1267,9920,87,18,2025-08-31T13:13:51.612000+00:00,19
1267,9920,10,43,2025-08-31T13:22:48.233000+00:00,14
1267,9920,10,14,2025-08-31T13:26:37.390000+00:00,13
1267,9920,43,14,2025-08-31T13:26:46.431000+00:00,14
1267,9920,27,14,2025-08-31T13:26:46.619000+00:00,15
1267,9920,31,14,2025-08-31T13:26:46.746000+00:00,16
1267,9920,5,14,2025-08-31T13:26:46.775000+00:00,17
1267,9920,87,14,2025-08-31T13:26:46.776000+00:00,18
1267,9920,18,14,2025-08-31T13:26:48.731000+00:00,19
1267,9920,12,22,2025-08-31T13:27:51.898000+00:00,11
1267,9920,10,22,2025-08-31T13:27:57.157000+00:00,12
1267,9920,31,27,2025-08-31T13:27:59.044000+00:00,15
1267,9920,5,27,2025-08-31T13:28:02.607000+00:00,16
1267,9920,5,43,2025-08-31T13:28:02.607000+00:00,15
1267,9920,5,22,2025-08-31T13:28:02.607000+00:00,14
1267,9920,87,27,2025-08-31T13:28:03.341000+00:00,17
1267,9920,87,43,2025-08-31T13:28:03.341000+00:00,16
1267,9920,87,22,2025-08-31T13:28:03.341000+00:00,15
1267,9920,18,27,2025-08-31T13:28:05.169000+00:00,18
1267,9920,18,43,2025-08-31T13:28:05.169000+00:00,17
1267,9920,18,22,2025-08-31T13:28:05.169000+00:00,16
1267,9920,14,27,2025-08-31T13:28:10.500000+00:00,19
1267,9920,14,43,2025-08-31T13:28:10.500000+00:00,18
1267,9920,14,22,2025-08-31T13:28:10.500000+00:00,17
1267,9920,63,16,2025-08-31T13:31:25.667000+00:00,5
1267,9920,44,16,2025-08-31T13:31:29.005000+00:00,6
1267,9920,30,16,2025-08-31T13:31:35.739000+00:00,7
1267,9920,55,16,2025-08-31T13:31:37.895000+00:00,8
1267,9920,23,16,2025-08-31T13:31:38.708000+00:00,9
1267,9920,30,44,2025-08-31T13:31:52.031000+00:00,6
1267,9920,55,44,2025-08-31T13:31:53.389000+00:00,7
1267,9920,87,5,2025-08-31T13:31:53.577000+00:00,14
1267,9920,18,5,2025-08-31T13:31:53.831000+00:00,15
1267,9920,14,5,2025-08-31T13:31:54.667000+00:00,16
1267,9920,23,44,2025-08-31T13:31:55.536000+00:00,8
1267,9920,22,5,2025-08-31T13:32:00.459000+00:00,17
1267,9920,16,44,2025-08-31T13:32:00.564000+00:00,9
1267,9920,12,44,2025-08-31T13:32:01.189000+00:00,10
1267,9920,18,87,2025-08-31T13:32:02.713000+00:00,14
1267,9920,43,5,2025-08-31T13:32:04.273000+00:00,18
1267,9920,10,44,2025-08-31T13:32:08.889000+00:00,11
1267,9920,31,44,2025-08-31T13:32:14.463000+00:00,12
1267,9920,18,44,2025-08-31T13:32:19.937000+00:00,13
1267,9920,87,44,2025-08-31T13:32:20.796000+00:00,14
1267,9920,14,44,2025-08-31T13:32:21.812000+00:00,15
1267,9920,22,44,2025-08-31T13:32:26.271000+00:00,16
1267,9920,43,44,2025-08-31T13:32:29.247000+00:00,17
1267,9920,5,44,2025-08-31T13:32:35.907000+00:00,18
1267,9920,27,44,2025-08-31T13:32:36.849000+00:00,19
1267,9920,16,23,2025-08-31T13:33:22.264000+00:00,8
1267,9920,16,55,2025-08-31T13:33:22.264000+00:00,7
1267,9920,16,30,2025-08-31T13:33:22.264000+00:00,6
1267,9920,31,10,2025-08-31T13:33:34.395000+00:00,11
