meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1267,9920,2025-08-31T12:17:58+00:00,,1,Flag,YELLOW,Sector,16.0,YELLOW IN TRACK SECTOR 16
1267,9920,2025-08-31T12:17:59+00:00,,1,Flag,YELLOW,Sector,17.0,YELLOW IN TRACK SECTOR 17
1267,9920,2025-08-31T12:18:28+00:00,,1,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1267,9920,2025-08-31T12:18:28+00:00,,1,Flag,CLEAR,Sector,17.0,CLEAR IN TRACK SECTOR 17
1267,9920,2025-08-31T12:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1267,9920,2025-08-31T12:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1267,9920,2025-08-31T12:30:20+00:00,,1,Other,,,,PIT ENTRY INCIDENT INVOLVING CAR 44 (HAM) NOTED - YELLOW FLAG INFRINGEMENT
1267,9920,2025-08-31T12:30:36+00:00,,1,Flag,DOUBLE YELLOW,Sector,8.0,DOUBLE YELLOW IN TRACK SECTOR 8
1267,9920,2025-08-31T12:30:47+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1267,9920,2025-08-31T12:30:51+00:00,,1,Flag,YELLOW,Sector,13.0,YELLOW IN TRACK SECTOR 13
1267,9920,2025-08-31T12:30:53+00:00,,1,Flag,DOUBLE YELLOW,Sector,16.0,DOUBLE YELLOW IN TRACK SECTOR 16
1267,9920,2025-08-31T12:30:53+00:00,,1,Flag,DOUBLE YELLOW,Sector,17.0,DOUBLE YELLOW IN TRACK SECTOR 17
1267,9920,2025-08-31T12:30:55+00:00,,1,Flag,DOUBLE YELLOW,Sector,6.0,DOUBLE YELLOW IN TRACK SECTOR 6
1267,9920,2025-08-31T12:34:42+00:00,,1,Other,,,,"FIA STEWARDS: INCIDENT INVOLVING CARS 27 (HUL), 55 (SAI), 1 (VER) AND 4 (NOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1267,9920,2025-08-31T12:35:28+00:00,,1,Other,,,,FIA STEWARDS: PIT ENTRY INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE RACE - YELLOW FLAG INFRINGEMENT
1267,9920,2025-08-31T12:35:35+00:00,,1,Other,,,,"FIA STEWARDS: INCIDENT INVOLVING CARS 27 (HUL), 55 (SAI), 1 (VER) AND 4 (NOR) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1267,9920,2025-08-31T12:45:06+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 60%
1267,9920,2025-08-31T12:51:16+00:00,,1,Flag,CLEAR,Sector,18.0,CLEAR IN TRACK SECTOR 18
1267,9920,2025-08-31T12:57:03+00:00,,1,Drs,,,,DRS DISABLED
1267,9920,2025-08-31T13:03:21+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1267,9920,2025-08-31T13:04:40+00:00,,2,Drs,,,,DRS ENABLED
1267,9920,2025-08-31T13:06:10+00:00,,3,Other,,,,CAR 16 (LEC) TIME 1:17.076 DELETED - TRACK LIMITS AT TURN 3 LAP 2 15:04:59
1267,9920,2025-08-31T13:10:44+00:00,,6,Other,,,,TURN 11 INCIDENT INVOLVING CARS 18 (STR) AND 5 (BOR) NOTED - CAUSING A COLLISION
1267,9920,2025-08-31T13:15:44+00:00,,10,Other,,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 18 (STR) AND 5 (BOR) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION
1267,9920,2025-08-31T13:19:09+00:00,,13,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15
1267,9920,2025-08-31T13:20:37+00:00,,14,Flag,CLEAR,Sector,15.0,CLEAR IN TRACK SECTOR 15
1267,9920,2025-08-31T13:22:26+00:00,,16,Other,,,,INCIDENT INVOLVING CAR 5 (BOR) NOTED - UNSAFE CONDITION
1267,9920,2025-08-31T13:23:12+00:00,,16,Other,,,,CAR 63 (RUS) TIME 1:16.228 DELETED - TRACK LIMITS AT TURN 3 LAP 13 15:18:58
1267,9920,2025-08-31T13:23:40+00:00,,17,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) UNDER INVESTIGATION - UNSAFE CONDITION
1267,9920,2025-08-31T13:28:13+00:00,,20,Other,,,,CAR 14 (ALO) TIME 1:30.437 DELETED - TRACK LIMITS AT TURN 3 LAP 19 15:27:09
1267,9920,2025-08-31T13:30:50+00:00,,22,Other,,,,CAR 43 (COL) TIME 1:16.107 DELETED - TRACK LIMITS AT TURN 3 LAP 21 15:29:46
1267,9920,2025-08-31T13:31:47+00:00,,23,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T13:31:48+00:00,,23,Flag,YELLOW,Sector,4.0,YELLOW IN TRACK SECTOR 4
1267,9920,2025-08-31T13:31:48+00:00,,23,Flag,YELLOW,Sector,5.0,YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T13:32:02+00:00,,23,SafetyCar,,,,SAFETY CAR DEPLOYED
1267,9920,2025-08-31T13:32:02+00:00,,23,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1267,9920,2025-08-31T13:33:31+00:00,,24,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T13:33:36+00:00,,24,Other,,,,RECOVERY VEHICLE ON TRACK AT TURN 3
1267,9920,2025-08-31T13:34:15+00:00,,24,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T13:35:51+00:00,,25,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1267,9920,2025-08-31T13:37:09+00:00,,26,SafetyCar,,,,SAFETY CAR IN THIS LAP
1267,9920,2025-08-31T13:38:27+00:00,,26,Flag,CLEAR,Track,,TRACK CLEAR
1267,9920,2025-08-31T13:39:51+00:00,,28,Drs,,,,DRS ENABLED
1267,9920,2025-08-31T13:41:16+00:00,30.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:41:15
1267,9920,2025-08-31T13:41:19+00:00,55.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:41:19
1267,9920,2025-08-31T13:41:24+00:00,30.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:41:24
1267,9920,2025-08-31T13:41:26+00:00,55.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:41:25
1267,9920,2025-08-31T13:41:29+00:00,,29,Other,,,,TURN 1 INCIDENT INVOLVING CARS 55 (SAI) AND 30 (LAW) NOTED
1267,9920,2025-08-31T13:41:37+00:00,30.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:41:37
1267,9920,2025-08-31T13:41:47+00:00,,29,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE CONDITION
1267,9920,2025-08-31T13:41:56+00:00,30.0,29,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:41:55
1267,9920,2025-08-31T13:44:12+00:00,,31,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 55 (SAI) AND 30 (LAW) UNDER INVESTIGATION
1267,9920,2025-08-31T13:44:35+00:00,,31,SafetyCar,,,,VIRTUAL SAFETY CAR DEPLOYED
1267,9920,2025-08-31T13:45:45+00:00,,32,SafetyCar,,,,VIRTUAL SAFETY CAR ENDING
1267,9920,2025-08-31T13:45:57+00:00,,32,Flag,CLEAR,Track,,TRACK CLEAR
1267,9920,2025-08-31T13:45:58+00:00,,32,Drs,,,,DRS ENABLED
1267,9920,2025-08-31T13:46:45+00:00,,33,Other,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 55 (SAI) - CAUSING A COLLISION
1267,9920,2025-08-31T13:47:57+00:00,,34,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16
1267,9920,2025-08-31T13:49:18+00:00,,35,Flag,DOUBLE YELLOW,Sector,16.0,DOUBLE YELLOW IN TRACK SECTOR 16
1267,9920,2025-08-31T13:49:27+00:00,,35,Other,,,,CAR 16 (LEC) TIME 1:26.822 DELETED - TRACK LIMITS AT TURN 12 LAP 32 15:46:15
1267,9920,2025-08-31T13:49:33+00:00,,35,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16
1267,9920,2025-08-31T13:49:36+00:00,,35,Flag,CLEAR,Sector,16.0,CLEAR IN TRACK SECTOR 16
1267,9920,2025-08-31T13:49:59+00:00,,35,Other,,,,TURN 12 INCIDENT INVOLVING CARS 16 (LEC) AND 63 (RUS) NOTED - CAUSING A COLLISION
1267,9920,2025-08-31T13:50:24+00:00,,36,Other,,,,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 16 (LEC) AND 63 (RUS) UNDER INVESTIGATION - CAUSING A COLLISION
1267,9920,2025-08-31T13:58:46+00:00,,42,Other,,,,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 16 (LEC) AND 63 (RUS) WILL BE INVESTIGATED AFTER THE RACE - CAUSING A COLLISION
1267,9920,2025-08-31T14:11:23+00:00,55.0,53,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:11:23
1267,9920,2025-08-31T14:12:11+00:00,,53,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T14:12:13+00:00,,53,Flag,YELLOW,Sector,4.0,YELLOW IN TRACK SECTOR 4
1267,9920,2025-08-31T14:12:19+00:00,,53,SafetyCar,,,,SAFETY CAR DEPLOYED
1267,9920,2025-08-31T14:12:34+00:00,,53,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T14:13:33+00:00,,54,Other,,,,RECOVERY VEHICLE ON TRACK AT TURN 3
1267,9920,2025-08-31T14:15:02+00:00,,55,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T14:15:07+00:00,,55,Flag,DOUBLE YELLOW,Sector,5.0,DOUBLE YELLOW IN TRACK SECTOR 5
1267,9920,2025-08-31T14:16:11+00:00,,55,Other,,,,TURN 3 INCIDENT INVOLVING CARS 63 (RUS) AND 16 (LEC) NOTED - CAUSING A COLLISION
1267,9920,2025-08-31T14:16:37+00:00,,55,Other,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 63 (RUS) AND 16 (LEC) UNDER INVESTIGATION - CAUSING A COLLISION
1267,9920,2025-08-31T14:17:34+00:00,,56,Other,,,,CORRECTION:: TURN 3 INCIDENT INVOLVING CARS 12 (ANT) AND 16 (LEC) UNDER INVESTIGATION - CAUSING A COLLISION
1267,9920,2025-08-31T14:17:56+00:00,,56,Other,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 12 (ANT) - CAUSING A COLLISION
1267,9920,2025-08-31T14:18:16+00:00,,56,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1267,9920,2025-08-31T14:18:18+00:00,,56,Other,,,,LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 30 AND 55
1267,9920,2025-08-31T14:18:54+00:00,,56,Other,,,,INCIDENT INVOLVING CAR 12 (ANT) NOTED - SPEEDING IN THE PIT LANE
1267,9920,2025-08-31T14:19:15+00:00,,57,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1267,9920,2025-08-31T14:19:34+00:00,,57,SafetyCar,,,,SAFETY CAR IN THIS LAP
