position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,81,72,25.0,False,False,False,5909.849,0.0,1267,9920
2.0,1,72,18.0,False,False,False,5911.12,1.271,1267,9920
3.0,6,72,15.0,False,False,False,5913.082,3.233,1267,9920
4.0,63,72,12.0,False,False,False,5915.503,5.654,1267,9920
5.0,23,72,10.0,False,False,False,5916.176,6.327,1267,9920
6.0,87,72,8.0,False,False,False,5918.893,9.044,1267,9920
7.0,18,72,6.0,False,False,False,5919.346,9.497,1267,9920
8.0,14,72,4.0,False,False,False,5921.558,11.709,1267,9920
9.0,22,72,2.0,False,False,False,5923.446,13.597,1267,9920
10.0,31,72,1.0,False,False,False,5923.912,14.063,1267,9920
11.0,43,72,0.0,False,False,False,5924.36,14.511,1267,9920
12.0,30,72,0.0,False,False,False,5926.912,17.063,1267,9920
13.0,55,72,0.0,False,False,False,5927.225,17.376,1267,9920
14.0,27,72,0.0,False,False,False,5929.574,19.725,1267,9920
15.0,5,72,0.0,False,False,False,5931.414,21.565,1267,9920
16.0,12,72,0.0,False,False,False,5931.878,22.029,1267,9920
17.0,10,72,0.0,False,False,False,5933.478,23.629,1267,9920
18.0,4,64,0.0,True,False,False,,,1267,9920
,16,52,0.0,True,False,False,,,1267,9920
,44,22,0.0,True,False,False,,,1267,9920
