date,session_key,pressure,meeting_key,wind_speed,track_temperature,wind_direction,air_temperature,rainfall,humidity
2025-08-31T12:07:45.075000+00:00,9920,1006.6,1267,3.5,28.5,227,20.3,0,67.0
2025-08-31T12:08:45.084000+00:00,9920,1006.5,1267,3.1,28.4,179,20.3,0,68.0
2025-08-31T12:09:45.081000+00:00,9920,1006.5,1267,2.4,28.4,212,20.3,0,68.0
2025-08-31T12:10:45.077000+00:00,9920,1006.5,1267,2.4,28.7,196,20.3,0,68.0
2025-08-31T12:11:45.079000+00:00,9920,1006.6,1267,2.1,28.3,251,20.3,0,69.0
2025-08-31T12:12:45.085000+00:00,9920,1006.5,1267,2.2,28.3,233,20.3,0,69.0
2025-08-31T12:13:45.094000+00:00,9920,1006.4,1267,2.5,27.9,225,20.3,0,68.0
2025-08-31T12:14:45.093000+00:00,9920,1006.4,1267,1.8,28.2,203,20.3,0,69.0
2025-08-31T12:15:45.121000+00:00,9920,1006.5,1267,2.8,28.4,221,20.3,0,69.0
2025-08-31T12:16:45.124000+00:00,9920,1006.4,1267,3.0,27.7,229,20.2,0,69.0
2025-08-31T12:17:45.140000+00:00,9920,1006.4,1267,3.3,27.7,233,20.2,0,70.0
2025-08-31T12:18:45.131000+00:00,9920,1006.4,1267,1.9,27.7,204,20.2,0,71.0
2025-08-31T12:19:45.136000+00:00,9920,1006.4,1267,1.1,28.5,208,20.2,0,71.0
2025-08-31T12:20:45.154000+00:00,9920,1006.4,1267,1.8,28.5,228,20.3,0,71.0
2025-08-31T12:21:45.151000+00:00,9920,1006.4,1267,1.7,28.4,198,20.3,0,71.0
2025-08-31T12:22:45.170000+00:00,9920,1006.6,1267,1.7,28.2,207,20.2,0,70.0
2025-08-31T12:23:45.179000+00:00,9920,1006.4,1267,1.8,28.2,176,20.2,0,72.0
2025-08-31T12:24:45.191000+00:00,9920,1006.5,1267,2.1,28.2,204,20.3,0,71.0
2025-08-31T12:25:45.211000+00:00,9920,1006.5,1267,2.7,28.1,205,20.3,0,69.0
2025-08-31T12:26:45.213000+00:00,9920,1006.5,1267,2.5,28.1,210,20.3,0,71.0
2025-08-31T12:27:45.262000+00:00,9920,1006.5,1267,1.9,28.3,222,20.4,0,71.0
2025-08-31T12:28:45.262000+00:00,9920,1006.5,1267,3.1,28.0,221,20.5,0,71.0
2025-08-31T12:29:45.271000+00:00,9920,1006.4,1267,2.7,28.0,219,20.5,0,72.0
2025-08-31T12:30:45.268000+00:00,9920,1006.4,1267,2.7,28.4,233,20.5,0,71.0
2025-08-31T12:31:45.281000+00:00,9920,1006.3,1267,1.6,28.6,182,20.4,0,72.0
2025-08-31T12:32:45.270000+00:00,9920,1006.3,1267,2.4,28.8,205,20.5,0,71.0
2025-08-31T12:33:45.267000+00:00,9920,1006.4,1267,1.4,28.8,203,20.4,0,71.0
2025-08-31T12:34:45.276000+00:00,9920,1006.3,1267,1.9,28.7,234,20.4,0,70.0
2025-08-31T12:35:45.303000+00:00,9920,1006.3,1267,1.3,28.2,193,20.4,0,71.0
2025-08-31T12:36:45.300000+00:00,9920,1006.3,1267,2.0,28.2,201,20.3,0,70.0
2025-08-31T12:37:45.303000+00:00,9920,1006.3,1267,2.0,28.2,210,20.3,0,70.0
2025-08-31T12:38:45.338000+00:00,9920,1006.3,1267,2.5,28.2,207,20.3,0,71.0
2025-08-31T12:39:45.330000+00:00,9920,1006.4,1267,2.2,28.2,189,20.3,0,70.0
2025-08-31T12:40:45.314000+00:00,9920,1006.3,1267,2.0,28.3,225,20.2,0,71.0
2025-08-31T12:41:45.361000+00:00,9920,1006.3,1267,2.0,28.3,225,20.2,0,71.0
2025-08-31T12:42:45.361000+00:00,9920,1006.3,1267,1.5,28.3,205,20.2,0,70.0
2025-08-31T12:43:45.357000+00:00,9920,1006.3,1267,1.7,28.6,174,20.2,0,69.0
2025-08-31T12:44:45.365000+00:00,9920,1006.3,1267,1.7,28.6,174,20.2,0,69.0
2025-08-31T12:45:45.362000+00:00,9920,1006.3,1267,1.1,28.7,27,20.2,0,69.0
2025-08-31T12:46:45.363000+00:00,9920,1006.3,1267,1.9,28.8,255,20.4,0,68.0
2025-08-31T12:47:45.397000+00:00,9920,1006.3,1267,1.9,28.8,255,20.4,0,68.0
2025-08-31T12:48:45.370000+00:00,9920,1006.3,1267,0.7,29.1,122,20.3,0,69.0
2025-08-31T12:49:45.361000+00:00,9920,1006.3,1267,2.0,29.1,219,20.3,0,68.0
2025-08-31T12:50:45.364000+00:00,9920,1006.4,1267,1.7,29.0,262,20.4,0,68.0
2025-08-31T12:51:45.364000+00:00,9920,1006.2,1267,1.1,28.9,192,20.4,0,69.0
2025-08-31T12:52:45.364000+00:00,9920,1006.4,1267,2.2,28.9,232,20.4,0,68.0
2025-08-31T12:53:45.360000+00:00,9920,1006.3,1267,1.7,28.9,201,20.5,0,68.0
2025-08-31T12:54:45.365000+00:00,9920,1006.4,1267,2.4,29.0,233,20.5,0,69.0
2025-08-31T12:55:45.373000+00:00,9920,1006.4,1267,1.0,29.1,244,20.6,0,68.0
2025-08-31T12:56:45.368000+00:00,9920,1006.3,1267,0.8,29.2,239,20.7,0,67.0
2025-08-31T12:57:45.354000+00:00,9920,1006.2,1267,1.7,28.8,298,20.7,0,67.0
2025-08-31T12:58:45.363000+00:00,9920,1006.3,1267,1.7,28.8,200,20.6,0,68.0
2025-08-31T12:59:45.379000+00:00,9920,1006.2,1267,1.5,28.8,187,20.6,0,68.0
2025-08-31T13:00:45.378000+00:00,9920,1006.2,1267,1.0,28.7,187,20.6,0,69.0
2025-08-31T13:01:45.401000+00:00,9920,1006.2,1267,1.0,28.7,112,20.6,0,69.0
2025-08-31T13:02:45.387000+00:00,9920,1006.2,1267,1.1,29.1,190,20.6,0,69.0
2025-08-31T13:03:45.432000+00:00,9920,1006.3,1267,1.7,29.3,194,20.6,0,68.0
2025-08-31T13:04:45.454000+00:00,9920,1006.4,1267,1.2,29.3,226,20.7,0,68.0
2025-08-31T13:05:45.450000+00:00,9920,1006.3,1267,2.2,28.9,176,20.7,0,68.0
2025-08-31T13:06:45.456000+00:00,9920,1006.3,1267,1.4,28.8,204,20.6,0,68.0
2025-08-31T13:07:45.461000+00:00,9920,1006.2,1267,3.0,28.8,208,20.7,0,68.0
2025-08-31T13:08:45.475000+00:00,9920,1006.2,1267,3.2,27.8,243,20.7,0,67.0
2025-08-31T13:09:45.476000+00:00,9920,1006.3,1267,2.0,27.5,210,20.7,0,68.0
2025-08-31T13:10:45.478000+00:00,9920,1006.3,1267,2.0,27.5,210,20.6,0,68.0
2025-08-31T13:11:45.477000+00:00,9920,1006.2,1267,2.5,27.7,186,20.6,0,68.0
2025-08-31T13:12:45.510000+00:00,9920,1006.3,1267,2.1,27.7,204,20.6,0,68.0
2025-08-31T13:13:45.505000+00:00,9920,1006.2,1267,2.4,27.5,193,20.5,0,69.0
2025-08-31T13:14:45.495000+00:00,9920,1006.3,1267,2.2,27.8,211,20.6,0,69.0
2025-08-31T13:15:45.506000+00:00,9920,1006.3,1267,2.3,27.7,177,20.6,0,69.0
2025-08-31T13:16:45.512000+00:00,9920,1006.2,1267,2.7,27.7,205,20.6,0,69.0
2025-08-31T13:17:45.497000+00:00,9920,1006.2,1267,2.7,27.7,205,20.6,0,69.0
2025-08-31T13:18:45.537000+00:00,9920,1006.3,1267,2.5,27.4,192,20.6,0,69.0
2025-08-31T13:19:45.487000+00:00,9920,1006.5,1267,1.8,27.3,190,20.6,0,69.0
2025-08-31T13:20:45.513000+00:00,9920,1006.4,1267,2.1,27.3,206,20.5,0,70.0
2025-08-31T13:21:45.544000+00:00,9920,1006.4,1267,1.9,27.3,166,20.5,0,70.0
2025-08-31T13:22:45.561000+00:00,9920,1006.5,1267,2.8,27.1,195,20.5,0,70.0
2025-08-31T13:23:45.560000+00:00,9920,1006.3,1267,2.2,27.1,215,20.6,0,70.0
2025-08-31T13:24:45.565000+00:00,9920,1006.3,1267,2.3,27.1,210,20.6,0,69.0
2025-08-31T13:25:45.563000+00:00,9920,1006.4,1267,2.3,27.2,208,20.7,0,70.0
2025-08-31T13:26:45.556000+00:00,9920,1006.4,1267,2.2,27.1,197,20.7,0,69.0
2025-08-31T13:27:45.588000+00:00,9920,1006.3,1267,2.3,26.7,193,20.6,0,70.0
