meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1275,9850,4,1,1,396.0,408.0
1275,9850,1,3,2,371.0,396.0
1275,9850,81,2,3,374.0,392.0
1275,9850,63,4,4,301.0,309.0
1275,9850,16,5,5,226.0,230.0
1275,9850,44,6,6,152.0,152.0
1275,9850,12,7,7,140.0,150.0
1275,9850,23,8,8,73.0,73.0
1275,9850,55,11,9,49.0,64.0
1275,9850,6,9,10,51.0,51.0
1275,9850,27,10,11,49.0,49.0
1275,9850,14,12,12,42.0,48.0
1275,9850,87,13,13,41.0,41.0
1275,9850,30,14,14,36.0,38.0
1275,9850,22,17,15,32.0,33.0
1275,9850,31,15,16,32.0,32.0
1275,9850,18,16,17,32.0,32.0
1275,9850,10,18,18,22.0,22.0
1275,9850,5,19,19,19.0,19.0
1275,9850,43,20,20,0.0,0.0
1275,9850,7,21,21,0.0,0.0
