meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1275,9850,81,1,2025-11-30T16:03:27.172000+00:00,33.541,28.924,25.599,235.0,284.0,False,88.064,"[None, 0, 2049, 2051, 2051, 2049, 2049, 2051, 2049]","[2051, 2051, 2051, 2051, 2051, 2051, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2051, 2051]",237.0
1275,9850,6,1,2025-11-30T16:03:27.172000+00:00,37.217,30.481,25.772,223.0,283.0,False,93.47,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",247.0
1275,9850,55,1,2025-11-30T16:03:27.172000+00:00,35.909,30.052,25.775,231.0,286.0,False,91.736,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",251.0
1275,9850,4,1,2025-11-30T16:03:27.172000+00:00,35.178,29.61,25.682,234.0,285.0,False,90.47,"[None, 0, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",238.0
1275,9850,1,1,2025-11-30T16:03:27.172000+00:00,34.504,29.257,25.647,242.0,284.0,False,89.408,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",243.0
1275,9850,63,1,2025-11-30T16:03:27.172000+00:00,36.984,30.286,25.653,230.0,286.0,False,92.923,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",247.0
1275,9850,14,1,2025-11-30T16:03:27.172000+00:00,36.709,29.984,25.73,224.0,284.0,False,92.423,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",246.0
1275,9850,10,1,2025-11-30T16:03:27.172000+00:00,37.517,30.762,25.848,227.0,283.0,False,94.127,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",255.0
1275,9850,12,1,2025-11-30T16:03:27.172000+00:00,35.596,29.876,25.717,233.0,286.0,False,91.189,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2051]",246.0
1275,9850,16,1,2025-11-30T16:03:27.172000+00:00,37.556,30.847,26.255,229.0,291.0,False,94.658,"[2048, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",255.0
1275,9850,27,1,2025-11-30T16:03:27.172000+00:00,37.853,31.008,26.062,222.0,286.0,False,94.923,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",258.0
1275,9850,30,1,2025-11-30T16:03:27.172000+00:00,38.221,31.509,26.131,225.0,285.0,False,95.861,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",263.0
1275,9850,87,1,2025-11-30T16:03:27.172000+00:00,38.006,31.363,26.086,224.0,284.0,False,95.455,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",264.0
1275,9850,23,1,2025-11-30T16:03:27.172000+00:00,39.334,31.465,26.718,223.0,282.0,False,97.517,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",264.0
1275,9850,22,1,2025-11-30T16:03:27.172000+00:00,38.908,31.863,26.668,223.0,284.0,False,97.439,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",262.0
1275,9850,31,1,2025-11-30T16:03:27.172000+00:00,38.856,31.09,26.665,226.0,286.0,False,96.611,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",273.0
1275,9850,44,1,2025-11-30T16:03:27.172000+00:00,38.605,31.236,26.411,217.0,289.0,False,96.252,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",280.0
1275,9850,18,1,2025-11-30T16:03:27.172000+00:00,39.659,31.489,27.447,219.0,279.0,False,98.595,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",269.0
1275,9850,5,1,2025-11-30T16:03:27.172000+00:00,39.827,31.75,27.018,216.0,286.0,False,98.595,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",277.0
1275,9850,43,1,2025-11-30T16:03:27.172000+00:00,41.79,30.844,26.571,230.0,283.0,False,99.205,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",162.0
1275,9850,81,2,2025-11-30T16:04:55.235000+00:00,32.074,29.317,25.759,237.0,285.0,False,87.15,"[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2048, 2048]","[2048, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049]",302.0
1275,9850,1,2,2025-11-30T16:04:56.579000+00:00,32.28,29.444,25.625,236.0,284.0,False,87.349,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]",303.0
