Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 01:00:10.717000,VER,1,0 days 00:01:28.940000,1.0,1.0,,,,0 days 00:00:29.257000,0 days 00:00:25.647000,,0 days 00:59:45.186000,0 days 01:00:10.905000,242.0,284.0,277.0,243.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:58:41.498000,2025-11-30 16:03:27.173,1,2.0,False,,False,False,88.94,,29.257,25.647,Qatar Grand Prix
0 days 01:01:38.066000,VER,1,0 days 00:01:27.349000,2.0,1.0,,,0 days 00:00:32.280000,0 days 00:00:29.444000,0 days 00:00:25.625000,0 days 01:00:43.023000,0 days 01:01:12.467000,0 days 01:01:38.092000,236.0,284.0,277.0,303.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:00:10.717000,2025-11-30 16:04:56.392,1,2.0,False,,False,True,87.349,32.28,29.444,25.625,Qatar Grand Prix
0 days 01:03:05.577000,VER,1,0 days 00:01:27.511000,3.0,1.0,,,0 days 00:00:32.250000,0 days 00:00:29.509000,0 days 00:00:25.752000,0 days 01:02:10.342000,0 days 01:02:39.851000,0 days 01:03:05.603000,237.0,284.0,276.0,306.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:01:38.066000,2025-11-30 16:06:23.741,1,2.0,False,,False,True,87.511,32.25,29.509,25.752,Qatar Grand Prix
0 days 01:04:32.901000,VER,1,0 days 00:01:27.324000,4.0,1.0,,,0 days 00:00:32.285000,0 days 00:00:29.460000,0 days 00:00:25.579000,0 days 01:03:37.888000,0 days 01:04:07.348000,0 days 01:04:32.927000,,284.0,277.0,,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:03:05.577000,2025-11-30 16:07:51.252,1,2.0,False,,False,True,87.324,32.285,29.46,25.579,Qatar Grand Prix
0 days 01:05:59.744000,VER,1,0 days 00:01:26.843000,5.0,1.0,,,0 days 00:00:32.064000,0 days 00:00:29.529000,0 days 00:00:25.250000,0 days 01:05:04.991000,0 days 01:05:34.520000,0 days 01:05:59.770000,238.0,285.0,278.0,307.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:04:32.901000,2025-11-30 16:09:18.576,1,2.0,False,,False,True,86.843,32.064,29.529,25.25,Qatar Grand Prix
0 days 01:07:26.867000,VER,1,0 days 00:01:27.123000,6.0,1.0,,,0 days 00:00:32.053000,0 days 00:00:29.565000,0 days 00:00:25.505000,0 days 01:06:31.823000,0 days 01:07:01.388000,0 days 01:07:26.893000,,284.0,277.0,,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:59.744000,2025-11-30 16:10:45.419,1,2.0,False,,False,True,87.123,32.053,29.565,25.505,Qatar Grand Prix
0 days 01:09:09.078000,VER,1,0 days 00:01:42.211000,7.0,1.0,,0 days 01:09:05.045000,0 days 00:00:32.127000,0 days 00:00:35.587000,0 days 00:00:34.497000,0 days 01:07:59.020000,0 days 01:08:34.607000,0 days 01:09:09.104000,,261.0,,308.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:26.867000,2025-11-30 16:12:12.542,124,3.0,False,,False,False,102.211,32.127,35.587,34.497,Qatar Grand Prix
0 days 01:11:34.838000,VER,1,0 days 00:02:25.760000,8.0,2.0,0 days 01:09:34.951000,,0 days 00:01:06.261000,0 days 00:00:36.680000,0 days 00:00:42.819000,0 days 01:10:15.365000,0 days 01:10:52.045000,0 days 01:11:34.864000,219.0,186.0,133.0,168.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:09:09.078000,2025-11-30 16:13:54.753,4,3.0,False,,False,False,145.76,66.261,36.68,42.819,Qatar Grand Prix
0 days 01:13:56.282000,VER,1,0 days 00:02:21.444000,9.0,2.0,,,0 days 00:00:52.743000,0 days 00:00:44.665000,0 days 00:00:44.036000,0 days 01:12:27.607000,0 days 01:13:12.272000,0 days 01:13:56.308000,188.0,210.0,205.0,249.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:11:34.838000,2025-11-30 16:16:20.513,4,3.0,False,,False,False,141.444,52.743,44.665,44.036,Qatar Grand Prix
0 days 01:16:14.912000,VER,1,0 days 00:02:18.630000,10.0,2.0,,,0 days 00:00:49.229000,0 days 00:00:43.932000,0 days 00:00:45.469000,0 days 01:14:45.537000,0 days 01:15:29.469000,0 days 01:16:14.938000,157.0,174.0,280.0,263.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:13:56.282000,2025-11-30 16:18:41.957,41,3.0,False,,False,False,138.63,49.229,43.932,45.469,Qatar Grand Prix
