meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1275,9850,12,63,2025-11-30T16:03:34.329000+00:00,4
1275,9850,12,1,2025-11-30T16:03:34.329000+00:00,3
1275,9850,12,4,2025-11-30T16:03:34.329000+00:00,2
1275,9850,12,81,2025-11-30T16:03:34.329000+00:00,1
1275,9850,55,6,2025-11-30T16:03:34.641000+00:00,6
1275,9850,55,63,2025-11-30T16:03:34.641000+00:00,5
1275,9850,55,1,2025-11-30T16:03:34.641000+00:00,4
1275,9850,55,4,2025-11-30T16:03:34.641000+00:00,3
1275,9850,55,81,2025-11-30T16:03:34.641000+00:00,2
1275,9850,14,6,2025-11-30T16:03:34.938000+00:00,7
1275,9850,14,63,2025-11-30T16:03:34.938000+00:00,6
1275,9850,14,1,2025-11-30T16:03:34.938000+00:00,5
1275,9850,14,4,2025-11-30T16:03:34.938000+00:00,4
1275,9850,14,81,2025-11-30T16:03:34.938000+00:00,3
1275,9850,6,63,2025-11-30T16:03:34.938000+00:00,7
1275,9850,6,1,2025-11-30T16:03:34.938000+00:00,6
1275,9850,6,4,2025-11-30T16:03:34.938000+00:00,5
1275,9850,6,81,2025-11-30T16:03:34.938000+00:00,4
1275,9850,16,10,2025-11-30T16:03:34.969000+00:00,9
1275,9850,16,63,2025-11-30T16:03:34.969000+00:00,8
1275,9850,16,1,2025-11-30T16:03:34.969000+00:00,7
1275,9850,16,4,2025-11-30T16:03:34.969000+00:00,6
1275,9850,16,81,2025-11-30T16:03:34.969000+00:00,5
1275,9850,27,10,2025-11-30T16:03:35.016000+00:00,10
1275,9850,27,63,2025-11-30T16:03:35.016000+00:00,9
1275,9850,27,1,2025-11-30T16:03:35.016000+00:00,8
1275,9850,27,4,2025-11-30T16:03:35.016000+00:00,7
1275,9850,27,81,2025-11-30T16:03:35.016000+00:00,6
1275,9850,10,63,2025-11-30T16:03:35.032000+00:00,10
1275,9850,10,1,2025-11-30T16:03:35.032000+00:00,9
1275,9850,10,4,2025-11-30T16:03:35.032000+00:00,8
1275,9850,10,81,2025-11-30T16:03:35.032000+00:00,7
1275,9850,30,63,2025-11-30T16:03:35.266000+00:00,11
1275,9850,30,1,2025-11-30T16:03:35.266000+00:00,10
1275,9850,30,4,2025-11-30T16:03:35.266000+00:00,9
1275,9850,30,81,2025-11-30T16:03:35.266000+00:00,8
1275,9850,87,63,2025-11-30T16:03:35.329000+00:00,12
1275,9850,87,1,2025-11-30T16:03:35.329000+00:00,11
1275,9850,87,4,2025-11-30T16:03:35.329000+00:00,10
1275,9850,87,81,2025-11-30T16:03:35.329000+00:00,9
1275,9850,22,23,2025-11-30T16:03:35.375000+00:00,14
1275,9850,22,63,2025-11-30T16:03:35.375000+00:00,13
1275,9850,22,1,2025-11-30T16:03:35.375000+00:00,12
1275,9850,22,4,2025-11-30T16:03:35.375000+00:00,11
1275,9850,22,81,2025-11-30T16:03:35.375000+00:00,10
1275,9850,31,23,2025-11-30T16:03:35.610000+00:00,15
1275,9850,31,63,2025-11-30T16:03:35.610000+00:00,14
1275,9850,31,1,2025-11-30T16:03:35.610000+00:00,13
1275,9850,31,4,2025-11-30T16:03:35.610000+00:00,12
1275,9850,31,81,2025-11-30T16:03:35.610000+00:00,11
1275,9850,23,63,2025-11-30T16:03:35.641000+00:00,15
1275,9850,23,1,2025-11-30T16:03:35.641000+00:00,14
1275,9850,23,4,2025-11-30T16:03:35.641000+00:00,13
1275,9850,23,81,2025-11-30T16:03:35.641000+00:00,12
1275,9850,44,63,2025-11-30T16:03:35.782000+00:00,16
1275,9850,44,1,2025-11-30T16:03:35.782000+00:00,15
1275,9850,44,4,2025-11-30T16:03:35.782000+00:00,14
1275,9850,44,81,2025-11-30T16:03:35.782000+00:00,13
1275,9850,5,18,2025-11-30T16:03:35.875000+00:00,18
1275,9850,5,63,2025-11-30T16:03:35.875000+00:00,17
1275,9850,5,1,2025-11-30T16:03:35.875000+00:00,16
1275,9850,5,4,2025-11-30T16:03:35.875000+00:00,15
1275,9850,5,81,2025-11-30T16:03:35.875000+00:00,14
1275,9850,18,63,2025-11-30T16:03:35.985000+00:00,18
