date,session_key,stop_duration,lap_number,lane_duration,driver_number,meeting_key,pit_duration
2025-11-30T16:14:20.672000+00:00,9850,4.1,7,29.97,1,1275,29.97
2025-11-30T16:14:27.141000+00:00,9850,2.9,7,28.56,55,1275,28.56
2025-11-30T16:14:28.078000+00:00,9850,6.3,7,32.002,12,1275,32.002
2025-11-30T16:14:29.422000+00:00,9850,2.5,7,28.288,14,1275,28.288
2025-11-30T16:14:32.844000+00:00,9850,3.2,7,28.815,6,1275,28.815
2025-11-30T16:14:35.063000+00:00,9850,7.2,7,33.241,63,1275,33.241
2025-11-30T16:14:39.047000+00:00,9850,4.7,7,30.395,16,1275,30.395
2025-11-30T16:14:39.078000+00:00,9850,3.8,7,28.837,87,1275,28.837
2025-11-30T16:14:40.610000+00:00,9850,3.2,7,28.993,30,1275,28.993
2025-11-30T16:14:42.782000+00:00,9850,3.6,7,29.188,22,1275,29.188
2025-11-30T16:14:43.641000+00:00,9850,3.1,7,28.89,23,1275,28.89
2025-11-30T16:14:44.469000+00:00,9850,3.2,7,32.166,44,1275,32.166
2025-11-30T16:14:45.563000+00:00,9850,2.5,7,28.471,5,1275,28.471
2025-11-30T16:14:45.719000+00:00,9850,2.7,7,28.124,18,1275,28.124
2025-11-30T16:14:47.735000+00:00,9850,3.1,7,29.538,43,1275,29.538
2025-11-30T16:15:12.668000+00:00,9850,3.8,7,31.343,10,1275,31.343
2025-11-30T16:16:50.755000+00:00,9850,8.3,8,34.006,31,1275,34.006
2025-11-30T16:19:32.036000+00:00,9850,8.6,9,34.54,31,1275,34.54
2025-11-30T16:41:27.928000+00:00,9850,3.1,24,29.047,81,1275,29.047
2025-11-30T16:42:05.819000+00:00,9850,2.5,24,28.064,18,1275,28.064
2025-11-30T16:42:56.225000+00:00,9850,2.2,25,27.938,4,1275,27.938
2025-11-30T16:52:57.981000+00:00,9850,2.5,32,28.168,1,1275,28.168
2025-11-30T16:53:16.514000+00:00,9850,2.6,32,28.181,55,1275,28.181
2025-11-30T16:53:20.955000+00:00,9850,2.6,32,28.544,12,1275,28.544
2025-11-30T16:53:27.633000+00:00,9850,3.0,32,28.935,14,1275,28.935
2025-11-30T16:53:29.980000+00:00,9850,2.2,32,27.931,6,1275,27.931
2025-11-30T16:53:33.480000+00:00,9850,3.0,32,29.077,63,1275,29.077
2025-11-30T16:53:36.294000+00:00,9850,3.2,32,28.999,16,1275,28.999
2025-11-30T16:53:38.635000+00:00,9850,2.3,32,28.078,30,1275,28.078
2025-11-30T16:53:39.921000+00:00,9850,2.9,32,28.33,22,1275,28.33
2025-11-30T16:53:42.521000+00:00,9850,3.7,32,29.457,23,1275,29.457
2025-11-30T16:53:42.997000+00:00,9850,2.7,32,28.541,44,1275,28.541
2025-11-30T16:53:45.788000+00:00,9850,2.2,32,28.234,5,1275,28.234
2025-11-30T16:53:47.468000+00:00,9850,3.2,32,28.942,43,1275,28.942
2025-11-30T16:53:53.810000+00:00,9850,16.3,32,45.232,87,1275,45.232
2025-11-30T16:53:54.435000+00:00,9850,3.7,32,30.559,10,1275,30.559
2025-11-30T16:56:44.641000+00:00,9850,4.6,34,30.469,31,1275,30.469
2025-11-30T17:05:53.736000+00:00,9850,11.8,40,37.513,87,1275,37.513
2025-11-30T17:07:22.436000+00:00,9850,1.8,42,27.853,81,1275,27.853
2025-11-30T17:10:20.448000+00:00,9850,2.7,44,28.243,4,1275,28.243
2025-11-30T17:18:27.412000+00:00,9850,10.1,49,35.671,18,1275,35.671
