date,session_key,meeting_key,driver_number,position
2025-11-30T15:04:57.195000+00:00,9850,1275,81,1
2025-11-30T15:04:57.195000+00:00,9850,1275,4,2
2025-11-30T15:04:57.195000+00:00,9850,1275,1,3
2025-11-30T15:04:57.195000+00:00,9850,1275,63,4
2025-11-30T15:04:57.195000+00:00,9850,1275,12,5
2025-11-30T15:04:57.195000+00:00,9850,1275,6,6
2025-11-30T15:04:57.195000+00:00,9850,1275,55,7
2025-11-30T15:04:57.195000+00:00,9850,1275,14,8
2025-11-30T15:04:57.195000+00:00,9850,1275,10,9
2025-11-30T15:04:57.195000+00:00,9850,1275,16,10
2025-11-30T15:04:57.195000+00:00,9850,1275,27,11
2025-11-30T15:04:57.195000+00:00,9850,1275,30,12
2025-11-30T15:04:57.195000+00:00,9850,1275,87,13
2025-11-30T15:04:57.195000+00:00,9850,1275,23,14
2025-11-30T15:04:57.195000+00:00,9850,1275,22,15
2025-11-30T15:04:57.195000+00:00,9850,1275,31,16
2025-11-30T15:04:57.195000+00:00,9850,1275,44,17
2025-11-30T15:04:57.195000+00:00,9850,1275,18,18
2025-11-30T15:04:57.195000+00:00,9850,1275,5,19
2025-11-30T15:04:57.195000+00:00,9850,1275,43,20
2025-11-30T16:03:34.329000+00:00,9850,1275,81,2
2025-11-30T16:03:34.329000+00:00,9850,1275,4,3
2025-11-30T16:03:34.329000+00:00,9850,1275,1,4
2025-11-30T16:03:34.329000+00:00,9850,1275,63,5
2025-11-30T16:03:34.329000+00:00,9850,1275,12,1
2025-11-30T16:03:34.641000+00:00,9850,1275,81,3
2025-11-30T16:03:34.641000+00:00,9850,1275,4,4
2025-11-30T16:03:34.641000+00:00,9850,1275,1,5
2025-11-30T16:03:34.641000+00:00,9850,1275,63,6
2025-11-30T16:03:34.641000+00:00,9850,1275,6,7
2025-11-30T16:03:34.641000+00:00,9850,1275,55,2
2025-11-30T16:03:34.938000+00:00,9850,1275,81,5
2025-11-30T16:03:34.938000+00:00,9850,1275,4,6
2025-11-30T16:03:34.938000+00:00,9850,1275,1,7
2025-11-30T16:03:34.938000+00:00,9850,1275,63,8
2025-11-30T16:03:34.938000+00:00,9850,1275,6,4
2025-11-30T16:03:34.938000+00:00,9850,1275,14,3
2025-11-30T16:03:34.969000+00:00,9850,1275,81,6
2025-11-30T16:03:34.969000+00:00,9850,1275,4,7
2025-11-30T16:03:34.969000+00:00,9850,1275,1,8
2025-11-30T16:03:34.969000+00:00,9850,1275,63,9
2025-11-30T16:03:34.969000+00:00,9850,1275,10,10
2025-11-30T16:03:34.969000+00:00,9850,1275,16,5
