meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1275,9850,2025-11-30T15:05:38+00:00,,1,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1275,9850,2025-11-30T15:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1275,9850,2025-11-30T15:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1275,9850,2025-11-30T15:45:07+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%
1275,9850,2025-11-30T15:57:04+00:00,,1,Drs,,,,DRS DISABLED
1275,9850,2025-11-30T16:03:27+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1275,9850,2025-11-30T16:05:21+00:00,,2,Drs,,,,DRS ENABLED
1275,9850,2025-11-30T16:06:52+00:00,,3,Other,,,,CAR 22 (TSU) TIME 1:29.251 DELETED - TRACK LIMITS AT TURN 10 LAP 2 19:05:58
1275,9850,2025-11-30T16:07:58+00:00,,4,Other,,,,TURN 14 INCIDENT INVOLVING CAR 10 (GAS) NOTED - REJOINING UNSAFELY
1275,9850,2025-11-30T16:10:01+00:00,,5,Other,,,,CAR 12 (ANT) TIME 1:27.737 DELETED - TRACK LIMITS AT TURN 10 LAP 3 19:07:18
1275,9850,2025-11-30T16:10:31+00:00,,5,Other,,,,CAR 10 (GAS) TIME 1:29.291 DELETED - TRACK LIMITS AT TURN 14 LAP 2 19:06:12
1275,9850,2025-11-30T16:11:00+00:00,10.0,6,Flag,BLACK AND WHITE,Driver,,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - REJOINING UNSAFELY
1275,9850,2025-11-30T16:12:12+00:00,,7,Other,,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - FALSE START - MOVING BEFORE SIGNAL
1275,9850,2025-11-30T16:12:45+00:00,,7,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1275,9850,2025-11-30T16:12:59+00:00,,7,Flag,YELLOW,Sector,3.0,YELLOW IN TRACK SECTOR 3
1275,9850,2025-11-30T16:13:00+00:00,,7,Other,,,,DRS DISABLED IN ZONE 1
1275,9850,2025-11-30T16:13:01+00:00,,7,SafetyCar,,,,SAFETY CAR DEPLOYED
1275,9850,2025-11-30T16:14:24+00:00,,8,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) UNDER INVESTIGATION - FALSE START - MOVING BEFORE SIGNAL
1275,9850,2025-11-30T16:14:53+00:00,,8,Other,,,,RECOVERY VEHICLE ON TRACK AT TURN 2
1275,9850,2025-11-30T16:15:12+00:00,,8,Other,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 31 (OCO) - FALSE START - MOVING BEFORE SIGNAL
1275,9850,2025-11-30T16:17:53+00:00,,9,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1275,9850,2025-11-30T16:18:51+00:00,,10,Other,,,,TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) NOTED - CAUSING A COLLISION
1275,9850,2025-11-30T16:19:03+00:00,,10,Other,,,,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) UNDER INVESTIGATION - CAUSING A COLLISION
1275,9850,2025-11-30T16:20:02+00:00,,10,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1275,9850,2025-11-30T16:20:04+00:00,,10,SafetyCar,,,,SAFETY CAR IN THIS LAP
1275,9850,2025-11-30T16:20:49+00:00,,10,Flag,CLEAR,Track,,TRACK CLEAR
1275,9850,2025-11-30T16:22:38+00:00,,12,Other,,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - FAILING TO SERVE TIME PENALTY CORRECTLY
1275,9850,2025-11-30T16:22:41+00:00,,12,Other,,,,CAR 4 (NOR) TIME 1:25.639 DELETED - TRACK LIMITS AT TURN 10 LAP 11 19:21:51
1275,9850,2025-11-30T16:22:50+00:00,,12,Drs,,,,DRS ENABLED
1275,9850,2025-11-30T16:23:54+00:00,,13,Other,,,,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) NO FURTHER ACTION - CAUSING A COLLISION
1275,9850,2025-11-30T16:24:04+00:00,,13,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) REVIEWED NO FURTHER INVESTIGATION - FAILING TO SERVE TIME PENALTY CORRECTLY
1275,9850,2025-11-30T16:24:19+00:00,,13,Other,,,,CAR 23 (ALB) TIME 1:28.247 DELETED - TRACK LIMITS AT TURN 10 LAP 11 19:21:58
1275,9850,2025-11-30T16:25:36+00:00,,14,Other,,,,CAR 23 (ALB) TIME 1:28.153 DELETED - TRACK LIMITS AT TURN 10 LAP 13 19:24:54
1275,9850,2025-11-30T16:29:07+00:00,,16,Other,,,,INCIDENT INVOLVING CAR 18 (STR) NOTED - YELLOW FLAG INFRINGEMENT
1275,9850,2025-11-30T16:29:18+00:00,,16,Other,,,,INCIDENT INVOLVING CAR 5 (BOR) NOTED - YELLOW FLAG INFRINGEMENT
1275,9850,2025-11-30T16:29:27+00:00,,16,Other,,,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - YELLOW FLAG INFRINGEMENT
1275,9850,2025-11-30T16:31:32+00:00,,18,Other,,,,CAR 22 (TSU) TIME 1:27.857 DELETED - TRACK LIMITS AT TURN 10 LAP 17 19:30:45
1275,9850,2025-11-30T16:32:47+00:00,,19,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) REVIEWED NO FURTHER INVESTIGATION - YELLOW FLAG INFRINGEMENT
1275,9850,2025-11-30T16:33:01+00:00,,19,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) REVIEWED NO FURTHER INVESTIGATION - YELLOW FLAG INFRINGEMENT
1275,9850,2025-11-30T16:33:37+00:00,,19,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) REVIEWED NO FURTHER INVESTIGATION - YELLOW FLAG INFRINGEMENT
1275,9850,2025-11-30T16:35:54+00:00,,21,Other,,,,CAR 30 (LAW) TIME 1:27.374 DELETED - TRACK LIMITS AT TURN 8 LAP 20 19:35:02
1275,9850,2025-11-30T16:35:56+00:00,,21,Other,,,,CAR 23 (ALB) TIME 1:27.586 DELETED - TRACK LIMITS AT TURN 10 LAP 20 19:35:08
1275,9850,2025-11-30T16:36:07+00:00,23.0,21,Flag,BLACK AND WHITE,Driver,,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS
1275,9850,2025-11-30T16:43:53+00:00,,26,Other,,,,INCIDENT INVOLVING CAR 18 (STR) NOTED - SPEEDING IN THE PIT LANE
1275,9850,2025-11-30T16:43:59+00:00,,27,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE
1275,9850,2025-11-30T16:44:48+00:00,,27,Other,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 18 (STR) - SPEEDING IN THE PIT LANE
1275,9850,2025-11-30T16:48:45+00:00,,30,Other,,,,CAR 4 (NOR) TIME 1:25.020 DELETED - TRACK LIMITS AT TURN 10 LAP 29 19:48:01
1275,9850,2025-11-30T16:51:45+00:00,,32,Other,,,,CAR 63 (RUS) TIME 1:26.633 DELETED - TRACK LIMITS AT TURN 10 LAP 31 19:51:03
1275,9850,2025-11-30T16:54:53+00:00,,34,Other,,,,INCIDENT INVOLVING CAR 87 (BEA) NOTED - UNSAFE CONDITION
1275,9850,2025-11-30T16:56:32+00:00,,35,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 87 (BEA) UNDER INVESTIGATION - UNSAFE CONDITION
1275,9850,2025-11-30T16:57:08+00:00,,36,Other,,,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - UNSAFE RELEASE
1275,9850,2025-11-30T16:59:35+00:00,,37,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE
1275,9850,2025-11-30T17:00:23+00:00,,38,Other,,,,CAR 63 (RUS) TIME 1:25.297 DELETED - TRACK LIMITS AT TURN 10 LAP 36 19:58:38
1275,9850,2025-11-30T17:03:08+00:00,,40,Other,,,,FIA STEWARDS: 10 SECOND STOP/GO PENALTY FOR CAR 87 (BEA) - UNSAFE CONDITION
1275,9850,2025-11-30T17:07:52+00:00,,43,Other,,,,CAR 63 (RUS) TIME 1:26.070 DELETED - TRACK LIMITS AT TURN 1 LAP 42 20:06:33
1275,9850,2025-11-30T17:10:33+00:00,63.0,45,Flag,BLACK AND WHITE,Driver,,BLACK AND WHITE FLAG FOR CAR 63 (RUS) - TRACK LIMITS
1275,9850,2025-11-30T17:11:52+00:00,,46,Other,,,,FIA STEWARDS: PENALTY SERVED - 10 SECOND STOP/GO PENALTY FOR CAR 87 (BEA) - UNSAFE CONDITION
1275,9850,2025-11-30T17:15:35+00:00,,49,Other,,,,CAR 43 (COL) TIME 1:25.985 DELETED - TRACK LIMITS AT TURN 10 LAP 47 20:14:40
1275,9850,2025-11-30T17:17:43+00:00,,50,Other,,,,CAR 6 (HAD) TIME 1:24.325 DELETED - TRACK LIMITS AT TURN 10 LAP 49 20:17:05
1275,9850,2025-11-30T17:20:41+00:00,,52,Other,,,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 18 (STR) - SPEEDING IN THE PIT LANE
1275,9850,2025-11-30T17:22:27+00:00,10.0,53,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 20:22:26
1275,9850,2025-11-30T17:22:30+00:00,10.0,54,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 20:22:29
1275,9850,2025-11-30T17:24:05+00:00,31.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 20:24:04
1275,9850,2025-11-30T17:24:21+00:00,,55,Other,,,,CAR 81 (PIA) TIME 1:23.889 DELETED - TRACK LIMITS AT TURN 10 LAP 54 20:23:29
1275,9850,2025-11-30T17:24:27+00:00,18.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 20:24:26
1275,9850,2025-11-30T17:24:43+00:00,43.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 20:24:43
1275,9850,2025-11-30T17:24:52+00:00,43.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 20:24:51
1275,9850,2025-11-30T17:24:52+00:00,,55,Other,,,,CAR 16 (LEC) TIME 1:25.109 DELETED - TRACK LIMITS AT TURN 14 LAP 53 20:23:06
1275,9850,2025-11-30T17:25:02+00:00,43.0,55,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 20:25:01
1275,9850,2025-11-30T17:25:53+00:00,,56,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1
1275,9850,2025-11-30T17:25:55+00:00,,56,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2
1275,9850,2025-11-30T17:25:59+00:00,,56,Flag,CLEAR,Sector,1.0,CLEAR IN TRACK SECTOR 1
1275,9850,2025-11-30T17:26:59+00:00,6.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 6 (HAD) TIMED AT 20:26:59
1275,9850,2025-11-30T17:28:05+00:00,,57,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1275,9850,2025-11-30T17:28:13+00:00,,57,Other,,,,CAR 12 (ANT) TIME 1:26.977 DELETED - TRACK LIMITS AT TURN 10 LAP 56 20:26:36
1275,9850,2025-11-30T17:28:32+00:00,,57,Other,,,,INCIDENT INVOLVING CAR 6 (HAD) NOTED - UNSAFE CONDITION
