meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1275,9850,1,5,1,7,MEDIUM,0
1275,9850,1,31,1,8,MEDIUM,0
1275,9850,1,6,1,7,MEDIUM,0
1275,9850,1,1,1,7,MEDIUM,0
1275,9850,1,16,1,7,MEDIUM,0
1275,9850,1,87,1,7,MEDIUM,0
1275,9850,1,22,1,7,MEDIUM,0
1275,9850,1,12,1,7,MEDIUM,0
1275,9850,1,63,1,7,MEDIUM,0
1275,9850,1,43,1,7,HARD,0
1275,9850,1,18,1,7,MEDIUM,0
1275,9850,1,27,1,6,SOFT,0
1275,9850,1,23,1,7,HARD,0
1275,9850,1,14,1,7,MEDIUM,0
1275,9850,1,4,1,25,MEDIUM,0
1275,9850,1,44,1,7,SOFT,0
1275,9850,1,10,1,7,MEDIUM,0
1275,9850,1,55,1,7,MEDIUM,0
1275,9850,1,30,1,7,MEDIUM,0
1275,9850,1,81,1,24,MEDIUM,0
1275,9850,2,1,8,32,MEDIUM,0
1275,9850,2,12,8,32,MEDIUM,0
1275,9850,2,55,8,32,MEDIUM,0
1275,9850,2,14,8,32,MEDIUM,0
1275,9850,2,63,8,32,MEDIUM,0
1275,9850,2,6,8,32,MEDIUM,0
1275,9850,2,16,8,32,MEDIUM,0
1275,9850,2,30,8,32,MEDIUM,0
1275,9850,2,87,8,32,MEDIUM,0
1275,9850,2,23,8,32,MEDIUM,0
1275,9850,2,5,8,32,MEDIUM,0
1275,9850,2,18,8,24,MEDIUM,0
1275,9850,2,22,8,32,MEDIUM,0
1275,9850,2,44,8,32,MEDIUM,0
1275,9850,2,43,8,32,MEDIUM,0
1275,9850,2,10,8,32,HARD,0
1275,9850,2,31,9,9,HARD,0
1275,9850,3,31,10,34,MEDIUM,0
1275,9850,2,81,25,42,MEDIUM,0
1275,9850,3,18,25,49,MEDIUM,0
1275,9850,2,4,26,44,MEDIUM,0
1275,9850,3,1,33,57,HARD,0
1275,9850,3,55,33,57,HARD,0
1275,9850,3,12,33,57,HARD,0
1275,9850,3,6,33,55,HARD,0
1275,9850,3,14,33,57,HARD,0
1275,9850,3,63,33,57,HARD,0
1275,9850,3,16,33,57,HARD,0
1275,9850,3,22,33,57,HARD,0
1275,9850,3,30,33,57,HARD,0
1275,9850,3,5,33,57,SOFT,0
1275,9850,3,44,33,57,MEDIUM,0
1275,9850,3,23,33,57,MEDIUM,0
1275,9850,3,43,33,56,MEDIUM,0
1275,9850,3,10,33,56,MEDIUM,0
1275,9850,3,87,33,40,HARD,0
1275,9850,4,31,35,56,HARD,1
1275,9850,4,87,41,41,HARD,8
1275,9850,3,81,43,57,HARD,0
1275,9850,3,4,45,57,HARD,0
1275,9850,4,18,50,55,SOFT,0
