meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1270,9896,81,1,1,324.0,336.0
1270,9896,4,2,2,299.0,314.0
1270,9896,1,3,3,255.0,273.0
1270,9896,63,4,4,212.0,237.0
1270,9896,16,5,5,165.0,173.0
1270,9896,44,6,6,121.0,127.0
1270,9896,12,7,7,78.0,88.0
1270,9896,23,8,8,70.0,70.0
1270,9896,6,9,9,39.0,39.0
1270,9896,27,10,10,37.0,37.0
1270,9896,14,14,11,30.0,34.0
1270,9896,55,12,12,31.0,32.0
1270,9896,18,11,13,32.0,32.0
1270,9896,30,13,14,30.0,30.0
1270,9896,31,15,15,28.0,28.0
1270,9896,10,16,16,20.0,20.0
1270,9896,22,17,17,20.0,20.0
1270,9896,5,18,18,18.0,18.0
1270,9896,87,19,19,16.0,18.0
1270,9896,43,20,20,0.0,0.0
1270,9896,7,21,21,0.0,0.0
