Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 00:56:41.841000,RUS,63,0 days 00:01:43.905000,1.0,1.0,,,,0 days 00:00:42.718000,0 days 00:00:29.061000,,0 days 00:56:13.007000,0 days 00:56:42.036000,281.0,258.0,239.0,185.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:54:57.735000,2025-10-05 12:03:32.198,1,1.0,False,,False,False,103.905,,42.718,29.061,Singapore Grand Prix
0 days 00:58:20.990000,RUS,63,0 days 00:01:39.149000,2.0,1.0,,,0 days 00:00:29.263000,0 days 00:00:41.666000,0 days 00:00:28.220000,0 days 00:57:11.136000,0 days 00:57:52.802000,0 days 00:58:21.022000,283.0,259.0,244.0,279.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:56:41.841000,2025-10-05 12:05:16.304,1,1.0,False,,False,True,99.149,29.263,41.666,28.22,Singapore Grand Prix
0 days 00:59:59.025000,RUS,63,0 days 00:01:38.035000,3.0,1.0,,,0 days 00:00:28.980000,0 days 00:00:41.190000,0 days 00:00:27.865000,0 days 00:58:50.002000,0 days 00:59:31.192000,0 days 00:59:59.057000,284.0,259.0,246.0,278.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:20.990000,2025-10-05 12:06:55.453,1,1.0,False,,False,True,98.035,28.98,41.19,27.865,Singapore Grand Prix
0 days 01:01:36.595000,RUS,63,0 days 00:01:37.570000,4.0,1.0,,,0 days 00:00:28.833000,0 days 00:00:41.147000,0 days 00:00:27.590000,0 days 01:00:27.890000,0 days 01:01:09.037000,0 days 01:01:36.627000,285.0,259.0,248.0,,True,MEDIUM,4.0,True,Mercedes,0 days 00:59:59.025000,2025-10-05 12:08:33.488,1,1.0,False,,False,True,97.57,28.833,41.147,27.59,Singapore Grand Prix
0 days 01:03:13.779000,RUS,63,0 days 00:01:37.184000,5.0,1.0,,,0 days 00:00:28.639000,0 days 00:00:40.996000,0 days 00:00:27.549000,0 days 01:02:05.266000,0 days 01:02:46.262000,0 days 01:03:13.811000,284.0,259.0,248.0,281.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:01:36.595000,2025-10-05 12:10:11.058,1,1.0,False,,False,True,97.184,28.639,40.996,27.549,Singapore Grand Prix
0 days 01:04:50.633000,RUS,63,0 days 00:01:36.854000,6.0,1.0,,,0 days 00:00:28.614000,0 days 00:00:40.866000,0 days 00:00:27.374000,0 days 01:03:42.425000,0 days 01:04:23.291000,0 days 01:04:50.665000,286.0,260.0,249.0,280.0,True,MEDIUM,6.0,True,Mercedes,0 days 01:03:13.779000,2025-10-05 12:11:48.242,1,1.0,False,,False,True,96.854,28.614,40.866,27.374,Singapore Grand Prix
0 days 01:06:27.401000,RUS,63,0 days 00:01:36.768000,7.0,1.0,,,0 days 00:00:28.599000,0 days 00:00:40.750000,0 days 00:00:27.419000,0 days 01:05:19.264000,0 days 01:06:00.014000,0 days 01:06:27.433000,287.0,260.0,249.0,281.0,True,MEDIUM,7.0,True,Mercedes,0 days 01:04:50.633000,2025-10-05 12:13:25.096,12,1.0,False,,False,True,96.768,28.599,40.75,27.419,Singapore Grand Prix
0 days 01:08:04.056000,RUS,63,0 days 00:01:36.655000,8.0,1.0,,,0 days 00:00:28.581000,0 days 00:00:40.764000,0 days 00:00:27.310000,0 days 01:06:56.014000,0 days 01:07:36.778000,0 days 01:08:04.088000,286.0,259.0,249.0,282.0,True,MEDIUM,8.0,True,Mercedes,0 days 01:06:27.401000,2025-10-05 12:15:01.864,1,1.0,False,,False,True,96.655,28.581,40.764,27.31,Singapore Grand Prix
0 days 01:09:40.782000,RUS,63,0 days 00:01:36.726000,9.0,1.0,,,0 days 00:00:28.598000,0 days 00:00:40.836000,0 days 00:00:27.292000,0 days 01:08:32.686000,0 days 01:09:13.522000,0 days 01:09:40.814000,,260.0,251.0,281.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:08:04.056000,2025-10-05 12:16:38.519,1,1.0,False,,False,True,96.726,28.598,40.836,27.292,Singapore Grand Prix
0 days 01:11:17.447000,RUS,63,0 days 00:01:36.665000,10.0,1.0,,,0 days 00:00:28.559000,0 days 00:00:40.825000,0 days 00:00:27.281000,0 days 01:10:09.373000,0 days 01:10:50.198000,0 days 01:11:17.479000,,260.0,250.0,283.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:09:40.782000,2025-10-05 12:18:15.245,1,1.0,False,,False,True,96.665,28.559,40.825,27.281,Singapore Grand Prix
