date,session_key,pit_duration,meeting_key,driver_number,lap_number,lane_duration,stop_duration
2025-10-05T12:25:48.079000+00:00,9896,24.61,1270,22,13,24.61,2.1
2025-10-05T12:25:51.721000+00:00,9896,32.856,1270,5,13,32.856,11.2
2025-10-05T12:27:18.400000+00:00,9896,24.04,1270,43,14,24.04,2.7
2025-10-05T12:34:57.215000+00:00,9896,24.008,1270,1,19,24.008,3.0
2025-10-05T12:37:03.329000+00:00,9896,23.827,1270,6,20,23.827,2.4
2025-10-05T12:38:22.641000+00:00,9896,23.63,1270,16,21,23.63,2.3
2025-10-05T12:41:57.960000+00:00,9896,23.979,1270,87,23,23.979,2.8
2025-10-05T12:43:21.169000+00:00,9896,24.794,1270,44,24,24.794,3.5
2025-10-05T12:43:56.518000+00:00,9896,25.583,1270,10,24,25.583,4.1
2025-10-05T12:44:30.970000+00:00,9896,23.966,1270,63,25,23.966,2.5
2025-10-05T12:44:51.800000+00:00,9896,23.806,1270,12,25,23.806,2.4
2025-10-05T12:45:19.688000+00:00,9896,24.1,1270,27,25,24.1,
2025-10-05T12:46:15.810000+00:00,9896,23.314,1270,4,26,23.314,2.1
2025-10-05T12:48:00.511000+00:00,9896,26.637,1270,81,27,26.637,5.2
2025-10-05T12:48:33.356000+00:00,9896,30.749,1270,14,27,30.749,9.2
2025-10-05T12:53:39.945000+00:00,9896,25.078,1270,31,30,25.078,3.2
2025-10-05T13:06:50.853000+00:00,9896,24.012,1270,18,38,24.012,2.6
2025-10-05T13:13:32.820000+00:00,9896,25.732,1270,23,42,25.732,4.3
2025-10-05T13:17:22.947000+00:00,9896,31.8,1270,27,44,31.8,
2025-10-05T13:19:00.893000+00:00,9896,23.344,1270,44,46,23.344,2.3
2025-10-05T13:23:18.249000+00:00,9896,24.027,1270,30,48,24.027,2.5
2025-10-05T13:26:35.223000+00:00,9896,24.075,1270,55,50,24.075,2.9
2025-10-05T13:28:40.228000+00:00,9896,25.188,1270,10,51,25.188,3.8
