date,session_key,meeting_key,driver_number,position
2025-10-05T11:08:40.886000+00:00,9896,1270,63,1
2025-10-05T11:08:40.886000+00:00,9896,1270,1,2
2025-10-05T11:08:40.886000+00:00,9896,1270,81,3
2025-10-05T11:08:40.886000+00:00,9896,1270,12,4
2025-10-05T11:08:40.886000+00:00,9896,1270,4,5
2025-10-05T11:08:40.886000+00:00,9896,1270,44,6
2025-10-05T11:08:40.886000+00:00,9896,1270,16,7
2025-10-05T11:08:40.886000+00:00,9896,1270,6,8
2025-10-05T11:08:40.886000+00:00,9896,1270,87,9
2025-10-05T11:08:40.886000+00:00,9896,1270,14,10
2025-10-05T11:08:40.886000+00:00,9896,1270,27,11
2025-10-05T11:08:40.886000+00:00,9896,1270,30,12
2025-10-05T11:08:40.886000+00:00,9896,1270,22,13
2025-10-05T11:08:40.886000+00:00,9896,1270,5,14
2025-10-05T11:08:40.886000+00:00,9896,1270,18,15
2025-10-05T11:08:40.886000+00:00,9896,1270,43,16
2025-10-05T11:08:40.886000+00:00,9896,1270,31,17
2025-10-05T11:08:40.886000+00:00,9896,1270,55,18
2025-10-05T11:08:40.886000+00:00,9896,1270,10,19
2025-10-05T11:08:40.886000+00:00,9896,1270,23,20
2025-10-05T12:03:41.106000+00:00,9896,1270,12,5
2025-10-05T12:03:41.106000+00:00,9896,1270,4,4
2025-10-05T12:03:41.632000+00:00,9896,1270,44,7
2025-10-05T12:03:41.632000+00:00,9896,1270,16,6
2025-10-05T12:03:41.997000+00:00,9896,1270,6,9
2025-10-05T12:03:41.997000+00:00,9896,1270,87,8
2025-10-05T12:03:42.598000+00:00,9896,1270,14,11
2025-10-05T12:03:42.598000+00:00,9896,1270,27,10
2025-10-05T12:03:42.957000+00:00,9896,1270,30,13
2025-10-05T12:03:42.957000+00:00,9896,1270,22,14
2025-10-05T12:03:42.957000+00:00,9896,1270,5,15
2025-10-05T12:03:42.957000+00:00,9896,1270,18,12
2025-10-05T12:03:42.997000+00:00,9896,1270,30,14
2025-10-05T12:03:42.997000+00:00,9896,1270,22,13
2025-10-05T12:03:43.412000+00:00,9896,1270,43,17
2025-10-05T12:03:43.412000+00:00,9896,1270,31,16
2025-10-05T12:03:43.419000+00:00,9896,1270,43,16
2025-10-05T12:03:43.419000+00:00,9896,1270,31,17
2025-10-05T12:03:44.713000+00:00,9896,1270,12,6
2025-10-05T12:03:44.713000+00:00,9896,1270,16,5
2025-10-05T12:03:45.588000+00:00,9896,1270,6,8
2025-10-05T12:03:45.588000+00:00,9896,1270,87,9
2025-10-05T12:03:45.617000+00:00,9896,1270,87,10
2025-10-05T12:03:45.617000+00:00,9896,1270,14,9
2025-10-05T12:03:45.617000+00:00,9896,1270,27,11
2025-10-05T12:03:46.272000+00:00,9896,1270,22,10
2025-10-05T12:03:46.272000+00:00,9896,1270,87,12
2025-10-05T12:03:46.272000+00:00,9896,1270,27,13
2025-10-05T12:03:46.272000+00:00,9896,1270,30,11
2025-10-05T12:03:46.272000+00:00,9896,1270,18,14
2025-10-05T12:03:46.633000+00:00,9896,1270,87,13
2025-10-05T12:03:46.633000+00:00,9896,1270,27,14
2025-10-05T12:03:46.633000+00:00,9896,1270,18,12
2025-10-05T12:03:46.687000+00:00,9896,1270,87,14
2025-10-05T12:03:46.687000+00:00,9896,1270,27,15
2025-10-05T12:03:46.687000+00:00,9896,1270,5,16
2025-10-05T12:03:46.687000+00:00,9896,1270,43,13
2025-10-05T12:03:46.951000+00:00,9896,1270,87,15
2025-10-05T12:03:46.951000+00:00,9896,1270,27,16
2025-10-05T12:03:46.951000+00:00,9896,1270,5,14
2025-10-05T12:03:47.188000+00:00,9896,1270,87,16
2025-10-05T12:03:47.188000+00:00,9896,1270,27,17
2025-10-05T12:03:47.188000+00:00,9896,1270,31,15
2025-10-05T12:03:47.383000+00:00,9896,1270,87,17
2025-10-05T12:03:47.383000+00:00,9896,1270,27,18
2025-10-05T12:03:47.383000+00:00,9896,1270,55,16
2025-10-05T12:03:49.464000+00:00,9896,1270,87,18
2025-10-05T12:03:49.464000+00:00,9896,1270,27,19
2025-10-05T12:03:49.464000+00:00,9896,1270,10,17
2025-10-05T12:03:50.105000+00:00,9896,1270,87,19
2025-10-05T12:03:50.105000+00:00,9896,1270,27,20
2025-10-05T12:03:50.105000+00:00,9896,1270,23,18
2025-10-05T12:03:50.839000+00:00,9896,1270,81,4
2025-10-05T12:03:50.839000+00:00,9896,1270,4,3
2025-10-05T12:03:52.089000+00:00,9896,1270,6,9
2025-10-05T12:03:52.089000+00:00,9896,1270,14,8
2025-10-05T12:03:52.792000+00:00,9896,1270,87,10
2025-10-05T12:03:52.792000+00:00,9896,1270,30,12
2025-10-05T12:03:52.792000+00:00,9896,1270,22,11
2025-10-05T12:03:52.792000+00:00,9896,1270,5,15
2025-10-05T12:03:52.792000+00:00,9896,1270,18,13
2025-10-05T12:03:52.792000+00:00,9896,1270,43,14
2025-10-05T12:03:52.792000+00:00,9896,1270,31,16
2025-10-05T12:03:52.792000+00:00,9896,1270,55,17
2025-10-05T12:03:52.792000+00:00,9896,1270,10,18
2025-10-05T12:03:52.792000+00:00,9896,1270,23,19
2025-10-05T12:03:52.964000+00:00,9896,1270,27,11
2025-10-05T12:03:52.964000+00:00,9896,1270,30,13
2025-10-05T12:03:52.964000+00:00,9896,1270,22,12
2025-10-05T12:03:52.964000+00:00,9896,1270,5,16
2025-10-05T12:03:52.964000+00:00,9896,1270,18,14
2025-10-05T12:03:52.964000+00:00,9896,1270,43,15
2025-10-05T12:03:52.964000+00:00,9896,1270,31,17
2025-10-05T12:03:52.964000+00:00,9896,1270,55,18
2025-10-05T12:03:52.964000+00:00,9896,1270,10,19
2025-10-05T12:03:52.964000+00:00,9896,1270,23,20
2025-10-05T12:03:53.058000+00:00,9896,1270,30,12
2025-10-05T12:03:53.058000+00:00,9896,1270,22,13
2025-10-05T12:03:53.589000+00:00,9896,1270,18,15
2025-10-05T12:03:53.589000+00:00,9896,1270,43,14
2025-10-05T12:03:53.714000+00:00,9896,1270,5,15
2025-10-05T12:03:53.714000+00:00,9896,1270,18,16
2025-10-05T12:03:56.152000+00:00,9896,1270,22,14
2025-10-05T12:03:56.152000+00:00,9896,1270,43,13
2025-10-05T12:03:56.386000+00:00,9896,1270,5,16
2025-10-05T12:03:56.386000+00:00,9896,1270,18,15
2025-10-05T12:04:16.652000+00:00,9896,1270,22,15
2025-10-05T12:04:16.652000+00:00,9896,1270,18,14
2025-10-05T12:04:21.407000+00:00,9896,1270,6,8
2025-10-05T12:04:21.407000+00:00,9896,1270,14,9
2025-10-05T12:04:29.583000+00:00,9896,1270,22,16
