meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1276,9839,4,1,1,408.0,423.0
1276,9839,1,2,2,396.0,421.0
1276,9839,81,3,3,392.0,410.0
1276,9839,63,4,4,309.0,319.0
1276,9839,16,5,5,230.0,242.0
1276,9839,44,6,6,152.0,156.0
1276,9839,12,7,7,150.0,150.0
1276,9839,23,8,8,73.0,73.0
1276,9839,55,9,9,64.0,64.0
1276,9839,14,12,10,48.0,56.0
1276,9839,27,11,11,49.0,51.0
1276,9839,6,10,12,51.0,51.0
1276,9839,87,13,13,41.0,41.0
1276,9839,30,14,14,38.0,38.0
1276,9839,31,16,15,32.0,38.0
1276,9839,18,17,16,32.0,33.0
1276,9839,22,15,17,33.0,33.0
1276,9839,10,18,18,22.0,22.0
1276,9839,5,19,19,19.0,19.0
1276,9839,43,20,20,0.0,0.0
1276,9839,7,21,21,0.0,0.0
