meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1276,9839,1,1,2025-12-07T13:03:27.584000+00:00,21.142,38.489,32.363,284.0,293,False,91.994,"[2048, 2049, 2051, 2051, 2051]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",307
1276,9839,4,1,2025-12-07T13:03:27.584000+00:00,21.75,38.68,34.027,286.0,295,False,94.457,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",305
1276,9839,81,1,2025-12-07T13:03:27.584000+00:00,21.76,38.376,32.983,286.0,304,False,93.119,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",309
1276,9839,63,1,2025-12-07T13:03:27.584000+00:00,22.925,39.053,33.89,283.0,310,False,95.868,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",315
1276,9839,16,1,2025-12-07T13:03:27.584000+00:00,22.364,38.861,33.83,284.0,303,False,95.055,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",313
1276,9839,14,1,2025-12-07T13:03:27.584000+00:00,22.555,38.662,34.166,285.0,302,False,95.383,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",300
1276,9839,5,1,2025-12-07T13:03:27.584000+00:00,23.224,39.142,33.99,282.0,307,False,96.356,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",316
1276,9839,31,1,2025-12-07T13:03:27.584000+00:00,23.524,39.668,34.309,289.0,306,False,97.501,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",306
1276,9839,6,1,2025-12-07T13:03:27.584000+00:00,23.358,39.231,34.447,286.0,301,False,97.036,"[2048, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",304
1276,9839,44,1,2025-12-07T13:03:27.584000+00:00,24.475,39.82,35.449,279.0,313,False,99.744,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",315
1276,9839,22,1,2025-12-07T13:03:27.584000+00:00,23.801,39.515,34.714,286.0,297,False,98.03,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",320
1276,9839,23,1,2025-12-07T13:03:27.584000+00:00,24.535,39.827,35.799,281.0,282,False,100.161,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",313
1276,9839,87,1,2025-12-07T13:03:27.584000+00:00,24.217,39.226,35.304,279.0,299,False,98.747,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",309
1276,9839,55,1,2025-12-07T13:03:27.584000+00:00,24.158,39.538,35.634,278.0,299,False,99.33,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",295
1276,9839,30,1,2025-12-07T13:03:27.584000+00:00,23.859,39.405,35.128,284.0,293,False,98.392,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",300
1276,9839,27,1,2025-12-07T13:03:27.584000+00:00,25.139,39.975,36.213,284.0,311,False,101.327,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",283
1276,9839,12,1,2025-12-07T13:03:27.584000+00:00,24.922,39.754,36.43,286.0,317,False,101.106,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",302
1276,9839,10,1,2025-12-07T13:03:27.584000+00:00,25.43,39.729,36.496,282.0,294,False,101.655,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",301
1276,9839,18,1,2025-12-07T13:03:27.584000+00:00,24.785,40.0,35.922,277.0,299,False,100.707,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",287
1276,9839,43,1,2025-12-07T13:03:27.584000+00:00,25.581,39.913,36.612,287.0,280,False,102.106,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",257
1276,9839,1,2,2025-12-07T13:04:59.577000+00:00,18.085,38.383,32.649,283.0,294,False,89.117,"[2049, 2051, 2051, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2051, 2048, 2048, 2048, 2048, 2048, 2048]",303
1276,9839,81,2,2025-12-07T13:05:00.702000+00:00,18.301,38.534,32.979,282.0,294,False,89.814,"[2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2051, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",300
1276,9839,4,2,2025-12-07T13:05:02.040000+00:00,18.3,38.239,33.354,282.0,288,False,89.893,"[2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",310
1276,9839,16,2,2025-12-07T13:05:02.638000+00:00,18.219,38.0,33.868,281.0,305,False,90.087,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",322
1276,9839,14,2,2025-12-07T13:05:02.966000+00:00,18.165,38.183,34.048,286.0,304,False,90.396,"[2049, 2049, 2049, 2051, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2049]",314
1276,9839,63,2,2025-12-07T13:05:03.451000+00:00,18.205,38.156,34.268,289.0,310,False,90.629,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049, 2048]",326
1276,9839,5,2,2025-12-07T13:05:03.939000+00:00,18.311,38.082,34.263,285.0,306,False,90.656,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048]",329
1276,9839,6,2,2025-12-07T13:05:04.619000+00:00,18.161,38.034,34.245,283.0,312,False,90.44,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2048, 2049, 2048, 2048, 2049, 2049, 2048]",315
1276,9839,31,2,2025-12-07T13:05:05.084000+00:00,18.317,38.134,34.053,284.0,313,False,90.504,"[2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]",322
1276,9839,22,2,2025-12-07T13:05:05.613000+00:00,18.476,38.041,34.171,,300,False,90.688,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",316
1276,9839,30,2,2025-12-07T13:05:05.975000+00:00,18.586,38.073,34.14,285.0,305,False,90.799,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2051, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",304
1276,9839,87,2,2025-12-07T13:05:06.330000+00:00,18.497,38.711,33.813,289.0,321,False,91.021,"[2049, 2049, 2049, 2049, 2051]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",315
1276,9839,55,2,2025-12-07T13:05:06.913000+00:00,18.613,37.95,35.421,284.0,321,False,91.984,"[2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048]",333
