meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1276,9839,16,63,2025-12-07T13:03:35.856000+00:00,4
1276,9839,14,63,2025-12-07T13:03:36.172000+00:00,5
1276,9839,22,6,2025-12-07T13:03:36.623000+00:00,9
1276,9839,22,31,2025-12-07T13:03:36.623000+00:00,8
1276,9839,22,5,2025-12-07T13:03:36.623000+00:00,7
1276,9839,31,5,2025-12-07T13:03:36.846000+00:00,8
1276,9839,31,22,2025-12-07T13:03:36.846000+00:00,7
1276,9839,6,5,2025-12-07T13:03:36.910000+00:00,9
1276,9839,6,22,2025-12-07T13:03:36.910000+00:00,8
1276,9839,6,31,2025-12-07T13:03:36.910000+00:00,7
1276,9839,5,22,2025-12-07T13:03:37.192000+00:00,9
1276,9839,23,44,2025-12-07T13:03:37.225000+00:00,16
1276,9839,23,18,2025-12-07T13:03:37.225000+00:00,15
1276,9839,23,12,2025-12-07T13:03:37.225000+00:00,14
1276,9839,23,30,2025-12-07T13:03:37.225000+00:00,13
1276,9839,23,55,2025-12-07T13:03:37.225000+00:00,12
1276,9839,23,87,2025-12-07T13:03:37.225000+00:00,11
1276,9839,30,55,2025-12-07T13:03:37.683000+00:00,13
1276,9839,30,87,2025-12-07T13:03:37.683000+00:00,12
1276,9839,30,23,2025-12-07T13:03:37.683000+00:00,11
1276,9839,55,87,2025-12-07T13:03:37.739000+00:00,13
1276,9839,55,23,2025-12-07T13:03:37.739000+00:00,12
1276,9839,87,23,2025-12-07T13:03:37.779000+00:00,13
1276,9839,44,18,2025-12-07T13:03:37.875000+00:00,16
1276,9839,44,12,2025-12-07T13:03:37.875000+00:00,15
1276,9839,44,23,2025-12-07T13:03:37.875000+00:00,14
1276,9839,43,10,2025-12-07T13:03:37.883000+00:00,19
1276,9839,43,27,2025-12-07T13:03:37.883000+00:00,18
1276,9839,43,18,2025-12-07T13:03:37.883000+00:00,17
1276,9839,43,12,2025-12-07T13:03:37.883000+00:00,16
1276,9839,12,43,2025-12-07T13:03:37.970000+00:00,16
1276,9839,18,43,2025-12-07T13:03:37.997000+00:00,17
1276,9839,27,43,2025-12-07T13:03:38.197000+00:00,18
1276,9839,10,43,2025-12-07T13:03:38.265000+00:00,19
1276,9839,18,12,2025-12-07T13:03:47.171000+00:00,16
1276,9839,87,55,2025-12-07T13:03:54.279000+00:00,12
1276,9839,6,5,2025-12-07T13:03:57.724000+00:00,7
1276,9839,23,44,2025-12-07T13:03:59.406000+00:00,14
1276,9839,12,18,2025-12-07T13:03:59.802000+00:00,16
1276,9839,10,27,2025-12-07T13:04:00.186000+00:00,18
1276,9839,27,10,2025-12-07T13:04:00.346000+00:00,18
1276,9839,5,6,2025-12-07T13:04:01.875000+00:00,7
1276,9839,10,27,2025-12-07T13:04:04.202000+00:00,18
1276,9839,27,10,2025-12-07T13:04:12.688000+00:00,18
1276,9839,22,31,2025-12-07T13:04:20.063000+00:00,9
1276,9839,12,44,2025-12-07T13:04:21.220000+00:00,15
1276,9839,12,23,2025-12-07T13:04:21.220000+00:00,14
1276,9839,44,23,2025-12-07T13:04:21.475000+00:00,15
1276,9839,10,27,2025-12-07T13:04:22.069000+00:00,18
1276,9839,30,31,2025-12-07T13:04:22.185000+00:00,10
1276,9839,31,30,2025-12-07T13:04:22.239000+00:00,10
1276,9839,31,22,2025-12-07T13:04:22.239000+00:00,9
1276,9839,23,12,2025-12-07T13:04:23.285000+00:00,15
1276,9839,81,4,2025-12-07T13:04:30.701000+00:00,2
1276,9839,27,10,2025-12-07T13:04:36.147000+00:00,18
1276,9839,18,12,2025-12-07T13:04:39.424000+00:00,16
1276,9839,10,27,2025-12-07T13:04:39.807000+00:00,18
1276,9839,27,10,2025-12-07T13:04:45.874000+00:00,18
1276,9839,10,27,2025-12-07T13:05:55.575000+00:00,18
1276,9839,27,10,2025-12-07T13:05:57.478000+00:00,18
1276,9839,55,87,2025-12-07T13:06:03.039000+00:00,12
1276,9839,87,55,2025-12-07T13:06:06.640000+00:00,12
1276,9839,44,55,2025-12-07T13:06:24.209000+00:00,13
1276,9839,63,14,2025-12-07T13:08:49.433000+00:00,5
1276,9839,44,87,2025-12-07T13:09:04.179000+00:00,12
1276,9839,87,44,2025-12-07T13:09:11.308000+00:00,12
1276,9839,10,27,2025-12-07T13:14:20.418000+00:00,18
1276,9839,43,27,2025-12-07T13:14:21.692000+00:00,19
1276,9839,55,44,2025-12-07T13:15:41.161000+00:00,13
1276,9839,18,23,2025-12-07T13:15:42.269000+00:00,15
1276,9839,18,44,2025-12-07T13:15:42.269000+00:00,14
1276,9839,44,18,2025-12-07T13:15:42.332000+00:00,14
1276,9839,12,23,2025-12-07T13:15:42.946000+00:00,16
1276,9839,18,44,2025-12-07T13:15:47.325000+00:00,14
1276,9839,12,44,2025-12-07T13:15:48.087000+00:00,15
1276,9839,10,23,2025-12-07T13:15:50.719000+00:00,17
1276,9839,10,44,2025-12-07T13:15:50.719000+00:00,16
1276,9839,43,23,2025-12-07T13:15:52.361000+00:00,18
1276,9839,43,44,2025-12-07T13:15:52.361000+00:00,17
1276,9839,27,23,2025-12-07T13:16:16.400000+00:00,19
1276,9839,43,10,2025-12-07T13:23:22.546000+00:00,16
1276,9839,44,10,2025-12-07T13:23:32.441000+00:00,17
1276,9839,27,10,2025-12-07T13:23:33.724000+00:00,18
1276,9839,23,10,2025-12-07T13:23:36.013000+00:00,19
1276,9839,14,63,2025-12-07T13:24:35.235000+00:00,5
1276,9839,31,6,2025-12-07T13:24:41.843000+00:00,8
1276,9839,5,63,2025-12-07T13:24:42.078000+00:00,6
1276,9839,55,87,2025-12-07T13:24:45.669000+00:00,12
1276,9839,18,87,2025-12-07T13:24:46.169000+00:00,13
1276,9839,31,63,2025-12-07T13:24:46.994000+00:00,7
1276,9839,22,6,2025-12-07T13:24:47.876000+00:00,9
1276,9839,22,63,2025-12-07T13:24:47.876000+00:00,8
1276,9839,30,6,2025-12-07T13:24:49.190000+00:00,10
1276,9839,30,63,2025-12-07T13:24:49.190000+00:00,9
1276,9839,55,6,2025-12-07T13:24:50.743000+00:00,11
1276,9839,55,63,2025-12-07T13:24:50.743000+00:00,10
1276,9839,18,6,2025-12-07T13:24:51.193000+00:00,12
1276,9839,18,63,2025-12-07T13:24:51.193000+00:00,11
1276,9839,12,87,2025-12-07T13:24:52.029000+00:00,14
1276,9839,12,6,2025-12-07T13:24:52.029000+00:00,13
1276,9839,12,63,2025-12-07T13:24:52.029000+00:00,12
1276,9839,43,87,2025-12-07T13:24:58.908000+00:00,15
1276,9839,43,6,2025-12-07T13:24:58.908000+00:00,14
1276,9839,44,87,2025-12-07T13:25:01.752000+00:00,16
1276,9839,44,6,2025-12-07T13:25:01.752000+00:00,15
1276,9839,27,87,2025-12-07T13:25:03.494000+00:00,17
1276,9839,27,6,2025-12-07T13:25:03.494000+00:00,16
1276,9839,23,87,2025-12-07T13:25:05.802000+00:00,18
1276,9839,43,63,2025-12-07T13:25:07.244000+00:00,13
1276,9839,23,6,2025-12-07T13:25:13.979000+00:00,17
1276,9839,31,5,2025-12-07T13:26:17.244000+00:00,6
1276,9839,22,5,2025-12-07T13:26:18.461000+00:00,7
1276,9839,30,5,2025-12-07T13:26:20.215000+00:00,8
1276,9839,55,5,2025-12-07T13:26:21.589000+00:00,9
1276,9839,18,5,2025-12-07T13:26:22.144000+00:00,10
1276,9839,12,5,2025-12-07T13:26:23.019000+00:00,11
1276,9839,63,43,2025-12-07T13:26:25.012000+00:00,13
1276,9839,44,43,2025-12-07T13:26:26.213000+00:00,14
1276,9839,27,43,2025-12-07T13:26:32.675000+00:00,15
1276,9839,23,43,2025-12-07T13:26:35.627000+00:00,16
1276,9839,6,43,2025-12-07T13:26:38.060000+00:00,17
1276,9839,63,5,2025-12-07T13:26:38.164000+00:00,12
1276,9839,44,5,2025-12-07T13:26:39.459000+00:00,13
1276,9839,27,5,2025-12-07T13:26:40.971000+00:00,14
1276,9839,87,43,2025-12-07T13:26:41.773000+00:00,18
1276,9839,10,43,2025-12-07T13:26:57.699000+00:00,19
1276,9839,18,55,2025-12-07T13:27:16.744000+00:00,9
1276,9839,31,14,2025-12-07T13:27:48.028000+00:00,5
1276,9839,31,16,2025-12-07T13:27:48.028000+00:00,4
1276,9839,31,4,2025-12-07T13:27:48.028000+00:00,3
1276,9839,22,14,2025-12-07T13:27:49.394000+00:00,6
1276,9839,22,16,2025-12-07T13:27:49.394000+00:00,5
1276,9839,22,4,2025-12-07T13:27:49.394000+00:00,4
1276,9839,30,14,2025-12-07T13:27:51.608000+00:00,7
1276,9839,30,16,2025-12-07T13:27:51.608000+00:00,6
1276,9839,18,14,2025-12-07T13:27:52.572000+00:00,8
1276,9839,18,16,2025-12-07T13:27:52.572000+00:00,7
1276,9839,55,14,2025-12-07T13:27:53.477000+00:00,9
1276,9839,12,14,2025-12-07T13:27:54.044000+00:00,10
1276,9839,63,14,2025-12-07T13:27:58.695000+00:00,11
