meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1276,9839,1,55,1,18,MEDIUM,0
1276,9839,1,10,1,13,MEDIUM,0
1276,9839,1,43,1,15,MEDIUM,0
1276,9839,1,12,1,32,HARD,0
1276,9839,1,63,1,14,MEDIUM,0
1276,9839,1,44,1,8,SOFT,0
1276,9839,1,6,1,14,MEDIUM,0
1276,9839,1,1,1,23,MEDIUM,0
1276,9839,1,81,1,41,HARD,0
1276,9839,1,23,1,8,SOFT,0
1276,9839,1,5,1,15,MEDIUM,0
1276,9839,1,30,1,21,MEDIUM,0
1276,9839,1,27,1,7,SOFT,0
1276,9839,1,14,1,16,MEDIUM,1
1276,9839,1,16,1,16,MEDIUM,0
1276,9839,1,31,1,19,MEDIUM,0
1276,9839,1,87,1,14,MEDIUM,0
1276,9839,1,18,1,42,HARD,1
1276,9839,1,22,1,32,HARD,0
1276,9839,1,4,1,16,MEDIUM,0
1276,9839,2,27,8,42,HARD,0
1276,9839,2,44,9,31,HARD,0
1276,9839,2,23,9,33,HARD,0
1276,9839,2,10,14,40,HARD,0
1276,9839,2,63,15,58,HARD,0
1276,9839,2,6,15,57,HARD,0
1276,9839,2,87,15,58,HARD,0
1276,9839,2,5,16,58,HARD,0
1276,9839,2,43,16,40,HARD,0
1276,9839,2,4,17,40,HARD,0
1276,9839,2,16,17,39,HARD,0
1276,9839,2,14,17,58,HARD,1
1276,9839,2,55,19,58,HARD,0
1276,9839,2,31,20,58,HARD,0
1276,9839,2,30,22,57,HARD,0
1276,9839,2,1,24,58,HARD,0
1276,9839,3,44,32,58,MEDIUM,0
1276,9839,2,22,33,58,MEDIUM,0
1276,9839,2,12,33,58,MEDIUM,0
1276,9839,3,23,34,58,MEDIUM,0
1276,9839,3,16,40,58,MEDIUM,3
1276,9839,3,4,41,58,HARD,0
1276,9839,3,10,41,57,MEDIUM,3
1276,9839,3,43,41,57,MEDIUM,0
1276,9839,2,81,42,58,MEDIUM,0
1276,9839,2,18,43,58,MEDIUM,0
1276,9839,3,27,43,58,MEDIUM,0
