meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1271,9888,81,1,1,336.0,346.0
1271,9888,4,2,2,314.0,332.0
1271,9888,1,3,3,281.0,306.0
1271,9888,63,4,4,244.0,252.0
1271,9888,16,5,5,177.0,192.0
1271,9888,44,6,6,130.0,142.0
1271,9888,12,7,7,89.0,89.0
1271,9888,23,8,8,73.0,73.0
1271,9888,27,11,9,37.0,41.0
1271,9888,6,9,10,39.0,39.0
1271,9888,55,10,11,38.0,38.0
1271,9888,14,12,12,36.0,37.0
1271,9888,18,13,13,32.0,32.0
1271,9888,30,14,14,30.0,30.0
1271,9888,31,15,15,28.0,28.0
1271,9888,22,16,16,22.0,28.0
1271,9888,10,17,17,20.0,20.0
1271,9888,87,19,18,18.0,20.0
1271,9888,5,18,19,18.0,18.0
1271,9888,43,20,20,0.0,0.0
1271,9888,7,21,21,0.0,0.0
