meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1271,9888,81,44,2025-10-19T19:03:48.164000+00:00,5
1271,9888,12,44,2025-10-19T19:03:48.464000+00:00,6
1271,9888,44,12,2025-10-19T19:03:48.480000+00:00,6
1271,9888,14,55,2025-10-19T19:03:48.849000+00:00,9
1271,9888,22,30,2025-10-19T19:03:49.240000+00:00,12
1271,9888,31,5,2025-10-19T19:03:49.804000+00:00,16
1271,9888,18,23,2025-10-19T19:03:49.987000+00:00,18
1271,9888,6,23,2025-10-19T19:03:50.068000+00:00,19
1271,9888,16,4,2025-10-19T19:03:54.855000+00:00,2
1271,9888,44,81,2025-10-19T19:03:55.328000+00:00,5
1271,9888,44,63,2025-10-19T19:03:55.328000+00:00,4
1271,9888,81,63,2025-10-19T19:03:55.348000+00:00,5
1271,9888,55,14,2025-10-19T19:03:56.115000+00:00,9
1271,9888,55,87,2025-10-19T19:03:56.115000+00:00,8
1271,9888,27,14,2025-10-19T19:03:56.404000+00:00,10
1271,9888,22,14,2025-10-19T19:03:56.517000+00:00,11
1271,9888,10,30,2025-10-19T19:03:56.966000+00:00,13
1271,9888,31,43,2025-10-19T19:03:57.232000+00:00,15
1271,9888,18,5,2025-10-19T19:03:57.513000+00:00,17
1271,9888,87,55,2025-10-19T19:03:59.589000+00:00,8
1271,9888,5,18,2025-10-19T19:04:01.110000+00:00,17
1271,9888,23,6,2025-10-19T19:04:01.409000+00:00,19
1271,9888,30,10,2025-10-19T19:04:04.886000+00:00,13
1271,9888,6,23,2025-10-19T19:04:06.029000+00:00,19
1271,9888,43,5,2025-10-19T19:04:11.636000+00:00,16
1271,9888,5,43,2025-10-19T19:04:15.854000+00:00,16
1271,9888,23,6,2025-10-19T19:04:16.654000+00:00,19
1271,9888,43,5,2025-10-19T19:04:21.954000+00:00,16
1271,9888,22,27,2025-10-19T19:04:32.743000+00:00,10
1271,9888,87,12,2025-10-19T19:04:43.429000+00:00,7
1271,9888,23,18,2025-10-19T19:04:47.255000+00:00,18
1271,9888,18,23,2025-10-19T19:04:47.295000+00:00,18
1271,9888,12,87,2025-10-19T19:04:50.779000+00:00,7
1271,9888,6,23,2025-10-19T19:04:55.499000+00:00,19
1271,9888,5,43,2025-10-19T19:05:01.529000+00:00,16
1271,9888,5,31,2025-10-19T19:05:37.086000+00:00,15
1271,9888,43,31,2025-10-19T19:06:38.154000+00:00,16
1271,9888,55,87,2025-10-19T19:06:46.338000+00:00,8
1271,9888,22,87,2025-10-19T19:07:22.954000+00:00,9
1271,9888,18,31,2025-10-19T19:07:28.277000+00:00,17
1271,9888,31,18,2025-10-19T19:07:31.729000+00:00,17
1271,9888,18,31,2025-10-19T19:08:28.397000+00:00,17
1271,9888,22,55,2025-10-19T19:13:30.190000+00:00,8
1271,9888,22,12,2025-10-19T19:13:30.190000+00:00,7
1271,9888,55,12,2025-10-19T19:13:30.617000+00:00,8
1271,9888,87,12,2025-10-19T19:13:31.958000+00:00,9
1271,9888,27,12,2025-10-19T19:13:33.641000+00:00,10
1271,9888,14,12,2025-10-19T19:13:35.140000+00:00,11
1271,9888,30,12,2025-10-19T19:13:36.140000+00:00,12
1271,9888,10,12,2025-10-19T19:13:37.231000+00:00,13
1271,9888,87,55,2025-10-19T19:13:38.011000+00:00,8
1271,9888,5,12,2025-10-19T19:13:38.030000+00:00,14
1271,9888,43,12,2025-10-19T19:13:39.656000+00:00,15
1271,9888,27,55,2025-10-19T19:13:39.756000+00:00,9
1271,9888,18,12,2025-10-19T19:13:40.017000+00:00,16
1271,9888,31,12,2025-10-19T19:13:41.381000+00:00,17
1271,9888,6,12,2025-10-19T19:13:43.031000+00:00,18
1271,9888,14,55,2025-10-19T19:13:44.916000+00:00,10
1271,9888,23,12,2025-10-19T19:13:45.190000+00:00,19
1271,9888,30,55,2025-10-19T19:13:46.108000+00:00,11
1271,9888,10,55,2025-10-19T19:13:46.699000+00:00,12
1271,9888,5,55,2025-10-19T19:13:47.399000+00:00,13
1271,9888,43,55,2025-10-19T19:13:55.706000+00:00,14
1271,9888,18,55,2025-10-19T19:13:56.706000+00:00,15
1271,9888,31,55,2025-10-19T19:13:57.869000+00:00,16
1271,9888,6,55,2025-10-19T19:13:58.970000+00:00,17
1271,9888,23,55,2025-10-19T19:14:00.994000+00:00,18
1271,9888,12,55,2025-10-19T19:14:10.206000+00:00,19
1271,9888,23,6,2025-10-19T19:16:17.349000+00:00,17
1271,9888,6,23,2025-10-19T19:16:24.070000+00:00,17
1271,9888,12,23,2025-10-19T19:16:37.448000+00:00,18
1271,9888,18,43,2025-10-19T19:23:39.630000+00:00,14
1271,9888,18,5,2025-10-19T19:28:34.761000+00:00,13
1271,9888,43,5,2025-10-19T19:28:37.072000+00:00,14
1271,9888,31,5,2025-10-19T19:28:37.660000+00:00,15
1271,9888,6,5,2025-10-19T19:28:39.220000+00:00,16
1271,9888,12,5,2025-10-19T19:28:40.320000+00:00,17
1271,9888,23,5,2025-10-19T19:28:42.947000+00:00,18
1271,9888,12,6,2025-10-19T19:33:04.743000+00:00,16
1271,9888,18,10,2025-10-19T19:37:09.822000+00:00,12
1271,9888,12,31,2025-10-19T19:38:08.391000+00:00,15
1271,9888,4,16,2025-10-19T19:39:04.721000+00:00,2
1271,9888,23,6,2025-10-19T19:40:41.714000+00:00,17
1271,9888,6,23,2025-10-19T19:40:41.737000+00:00,17
1271,9888,23,6,2025-10-19T19:40:45.142000+00:00,17
1271,9888,44,16,2025-10-19T19:41:29.749000+00:00,3
1271,9888,81,16,2025-10-19T19:41:37.608000+00:00,4
1271,9888,63,16,2025-10-19T19:41:39.952000+00:00,5
1271,9888,22,16,2025-10-19T19:41:44.967000+00:00,6
1271,9888,87,16,2025-10-19T19:41:46.837000+00:00,7
1271,9888,27,16,2025-10-19T19:41:49.682000+00:00,8
1271,9888,12,43,2025-10-19T19:43:10.993000+00:00,14
1271,9888,23,31,2025-10-19T19:45:30.124000+00:00,16
