meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1271,9888,2025-10-19T18:20:01+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1271,9888,2025-10-19T18:30:01+00:00,,1,Other,,,,PIT EXIT CLOSED
1271,9888,2025-10-19T18:45:06+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%
1271,9888,2025-10-19T18:57:05+00:00,,1,Drs,,,,DRS DISABLED
1271,9888,2025-10-19T19:03:40+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1271,9888,2025-10-19T19:04:55+00:00,,1,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1271,9888,2025-10-19T19:05:04+00:00,,1,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1271,9888,2025-10-19T19:05:36+00:00,,2,Drs,,,,DRS ENABLED
1271,9888,2025-10-19T19:06:51+00:00,,2,Other,,,,TURN 12 INCIDENT INVOLVING CARS 23 (ALB) AND 5 (BOR) NOTED - CAUSING A COLLISION
1271,9888,2025-10-19T19:08:26+00:00,,3,Other,,,,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 23 (ALB) AND 5 (BOR) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION
1271,9888,2025-10-19T19:10:47+00:00,,5,Other,,,,CAR 81 (PIA) TIME 1:40.371 DELETED - TRACK LIMITS AT TURN 9 LAP 3 14:07:39
1271,9888,2025-10-19T19:10:48+00:00,,5,Other,,,,CAR 6 (HAD) TIME 1:43.071 DELETED - TRACK LIMITS AT TURN 19 LAP 3 14:08:49
1271,9888,2025-10-19T19:11:20+00:00,,5,Other,,,,CAR 6 (HAD) TIME 1:44.189 DELETED - TRACK LIMITS AT TURN 12 LAP 2 14:06:38
1271,9888,2025-10-19T19:11:33+00:00,,5,Other,,,,CAR 5 (BOR) TIME 1:42.033 DELETED - TRACK LIMITS AT TURN 12 LAP 3 14:08:17
1271,9888,2025-10-19T19:12:21+00:00,,6,Other,,,,CAR 6 (HAD) TIME 1:43.071 DELETED - TRACK LIMITS AT TURN 12 LAP 3 14:08:21
1271,9888,2025-10-19T19:12:35+00:00,6.0,6,Flag,BLACK AND WHITE,Driver,,BLACK AND WHITE FLAG FOR CAR 6 (HAD) - TRACK LIMITS
1271,9888,2025-10-19T19:12:52+00:00,,6,Other,,,,CAR 31 (OCO) TIME 1:43.038 DELETED - TRACK LIMITS AT TURN 12 LAP 3 14:08:19
1271,9888,2025-10-19T19:12:53+00:00,,6,Other,,,,CAR 12 (ANT) TIME 1:40.784 DELETED - TRACK LIMITS AT TURN 12 LAP 4 14:09:52
1271,9888,2025-10-19T19:13:06+00:00,,6,Other,,,,CAR 43 (COL) TIME 1:41.843 DELETED - TRACK LIMITS AT TURN 12 LAP 4 14:10:01
1271,9888,2025-10-19T19:13:22+00:00,,6,Other,,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - FALSE START - MOVING BEFORE SIGNAL
1271,9888,2025-10-19T19:13:30+00:00,,6,Flag,YELLOW,Sector,16.0,YELLOW IN TRACK SECTOR 16
