meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1274,9858,4,1,1,390.0,408.0
1274,9858,81,2,2,366.0,378.0
1274,9858,1,3,3,341.0,366.0
1274,9858,63,4,4,276.0,291.0
1274,9858,16,5,5,214.0,222.0
1274,9858,44,6,6,148.0,149.0
1274,9858,12,7,7,122.0,132.0
1274,9858,23,8,8,73.0,73.0
1274,9858,6,10,9,43.0,47.0
1274,9858,27,9,10,43.0,45.0
1274,9858,55,13,11,38.0,44.0
1274,9858,87,11,12,40.0,40.0
1274,9858,14,12,13,40.0,40.0
1274,9858,30,14,14,36.0,36.0
1274,9858,18,15,15,32.0,32.0
1274,9858,31,16,16,30.0,30.0
1274,9858,22,17,17,28.0,28.0
1274,9858,10,18,18,22.0,22.0
1274,9858,5,19,19,19.0,19.0
1274,9858,43,20,20,0.0,0.0
1274,9858,7,21,21,0.0,0.0
