meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1274,9858,1,4,2025-11-23T04:04:20.225000+00:00,1
1274,9858,63,55,2025-11-23T04:04:20.662000+00:00,3
1274,9858,6,14,2025-11-23T04:04:21.213000+00:00,7
1274,9858,6,30,2025-11-23T04:04:21.213000+00:00,6
1274,9858,6,81,2025-11-23T04:04:21.213000+00:00,5
1274,9858,30,81,2025-11-23T04:04:21.291000+00:00,6
1274,9858,87,31,2025-11-23T04:04:22.072000+00:00,13
1274,9858,87,18,2025-11-23T04:04:22.072000+00:00,12
1274,9858,87,27,2025-11-23T04:04:22.072000+00:00,11
1274,9858,87,10,2025-11-23T04:04:22.072000+00:00,10
1274,9858,87,16,2025-11-23T04:04:22.072000+00:00,9
1274,9858,27,10,2025-11-23T04:04:22.494000+00:00,11
1274,9858,18,10,2025-11-23T04:04:24.088000+00:00,12
1274,9858,23,43,2025-11-23T04:04:24.338000+00:00,15
1274,9858,23,31,2025-11-23T04:04:24.338000+00:00,14
1274,9858,23,10,2025-11-23T04:04:24.338000+00:00,13
1274,9858,31,10,2025-11-23T04:04:24.463000+00:00,14
1274,9858,44,5,2025-11-23T04:04:24.744000+00:00,18
1274,9858,44,12,2025-11-23T04:04:24.744000+00:00,17
1274,9858,44,43,2025-11-23T04:04:24.744000+00:00,16
1274,9858,44,10,2025-11-23T04:04:24.744000+00:00,15
1274,9858,12,43,2025-11-23T04:04:25.057000+00:00,17
1274,9858,12,10,2025-11-23T04:04:25.057000+00:00,16
1274,9858,43,10,2025-11-23T04:04:25.307000+00:00,17
1274,9858,5,10,2025-11-23T04:04:27.803000+00:00,18
1274,9858,22,10,2025-11-23T04:04:28.740000+00:00,19
1274,9858,31,23,2025-11-23T04:04:29.896000+00:00,13
1274,9858,31,18,2025-11-23T04:04:29.896000+00:00,12
1274,9858,23,18,2025-11-23T04:04:37.037000+00:00,13
1274,9858,44,18,2025-11-23T04:04:37.177000+00:00,14
1274,9858,12,18,2025-11-23T04:04:37.582000+00:00,15
1274,9858,43,18,2025-11-23T04:04:37.910000+00:00,16
1274,9858,22,5,2025-11-23T04:04:40.616000+00:00,18
1274,9858,10,5,2025-11-23T04:04:42.678000+00:00,19
1274,9858,44,23,2025-11-23T04:04:43.184000+00:00,13
1274,9858,22,18,2025-11-23T04:04:46.637000+00:00,17
1274,9858,10,18,2025-11-23T04:04:52.278000+00:00,18
1274,9858,5,18,2025-11-23T04:04:55.122000+00:00,19
1274,9858,12,23,2025-11-23T04:05:04.690000+00:00,14
1274,9858,16,14,2025-11-23T04:05:46.207000+00:00,9
1274,9858,10,22,2025-11-23T04:06:03.586000+00:00,17
1274,9858,81,30,2025-11-23T04:06:37.169000+00:00,6
1274,9858,87,30,2025-11-23T04:06:41.966000+00:00,7
1274,9858,16,30,2025-11-23T04:06:42.528000+00:00,8
1274,9858,14,30,2025-11-23T04:06:47.038000+00:00,9
1274,9858,27,30,2025-11-23T04:06:52.045000+00:00,10
1274,9858,31,30,2025-11-23T04:06:53.310000+00:00,11
1274,9858,44,30,2025-11-23T04:06:57.826000+00:00,12
1274,9858,12,30,2025-11-23T04:06:58.107000+00:00,13
1274,9858,23,30,2025-11-23T04:06:58.654000+00:00,14
1274,9858,43,30,2025-11-23T04:07:16.413000+00:00,15
1274,9858,23,12,2025-11-23T04:07:59.971000+00:00,13
1274,9858,43,12,2025-11-23T04:08:08.816000+00:00,14
1274,9858,22,10,2025-11-23T04:08:28.471000+00:00,17
1274,9858,22,30,2025-11-23T04:08:28.471000+00:00,16
1274,9858,10,30,2025-11-23T04:08:33.558000+00:00,17
1274,9858,16,87,2025-11-23T04:13:08.908000+00:00,7
1274,9858,12,43,2025-11-23T04:21:31.631000+00:00,14
1274,9858,16,81,2025-11-23T04:24:19.694000+00:00,6
1274,9858,23,44,2025-11-23T04:25:57.329000+00:00,12
1274,9858,16,6,2025-11-23T04:26:04.241000+00:00,5
1274,9858,44,23,2025-11-23T04:26:04.295000+00:00,12
1274,9858,23,44,2025-11-23T04:26:16.416000+00:00,12
1274,9858,44,23,2025-11-23T04:26:21.419000+00:00,12
1274,9858,12,23,2025-11-23T04:26:31.548000+00:00,13
1274,9858,43,23,2025-11-23T04:26:42.199000+00:00,14
1274,9858,22,23,2025-11-23T04:26:47.128000+00:00,15
1274,9858,10,23,2025-11-23T04:26:52.332000+00:00,16
1274,9858,30,23,2025-11-23T04:26:57.028000+00:00,17
1274,9858,81,6,2025-11-23T04:31:06.820000+00:00,6
1274,9858,27,14,2025-11-23T04:31:37.579000+00:00,9
1274,9858,31,14,2025-11-23T04:31:38.394000+00:00,10
1274,9858,44,14,2025-11-23T04:31:39.492000+00:00,11
1274,9858,12,14,2025-11-23T04:31:47.237000+00:00,12
1274,9858,43,14,2025-11-23T04:31:56.820000+00:00,13
1274,9858,22,14,2025-11-23T04:31:59.224000+00:00,14
1274,9858,4,63,2025-11-23T04:32:52.665000+00:00,2
1274,9858,27,87,2025-11-23T04:32:55.806000+00:00,8
1274,9858,55,63,2025-11-23T04:33:05.291000+00:00,3
1274,9858,16,63,2025-11-23T04:33:08.013000+00:00,4
1274,9858,81,63,2025-11-23T04:33:09.585000+00:00,5
1274,9858,6,63,2025-11-23T04:33:11.115000+00:00,6
1274,9858,31,87,2025-11-23T04:33:15.161000+00:00,9
1274,9858,44,87,2025-11-23T04:33:15.896000+00:00,10
1274,9858,12,87,2025-11-23T04:33:23.776000+00:00,11
1274,9858,43,87,2025-11-23T04:33:34.802000+00:00,12
1274,9858,22,87,2025-11-23T04:33:35.920000+00:00,13
