date,session_key,meeting_key,driver_number,position
2025-11-23T03:06:38.355000+00:00,9858,1274,4,1
2025-11-23T03:06:38.355000+00:00,9858,1274,1,2
2025-11-23T03:06:38.355000+00:00,9858,1274,55,3
2025-11-23T03:06:38.355000+00:00,9858,1274,63,4
2025-11-23T03:06:38.355000+00:00,9858,1274,81,5
2025-11-23T03:06:38.355000+00:00,9858,1274,30,6
2025-11-23T03:06:38.355000+00:00,9858,1274,14,7
2025-11-23T03:06:38.355000+00:00,9858,1274,6,8
2025-11-23T03:06:38.355000+00:00,9858,1274,16,9
2025-11-23T03:06:38.355000+00:00,9858,1274,10,10
2025-11-23T03:06:38.355000+00:00,9858,1274,27,11
2025-11-23T03:06:38.355000+00:00,9858,1274,18,12
2025-11-23T03:06:38.355000+00:00,9858,1274,31,13
2025-11-23T03:06:38.355000+00:00,9858,1274,87,14
2025-11-23T03:06:38.355000+00:00,9858,1274,43,15
2025-11-23T03:06:38.355000+00:00,9858,1274,23,16
2025-11-23T03:06:38.355000+00:00,9858,1274,12,17
2025-11-23T03:06:38.355000+00:00,9858,1274,5,18
2025-11-23T03:06:38.355000+00:00,9858,1274,44,19
2025-11-23T03:06:38.355000+00:00,9858,1274,22,20
2025-11-23T04:04:20.225000+00:00,9858,1274,4,2
2025-11-23T04:04:20.225000+00:00,9858,1274,1,1
2025-11-23T04:04:20.662000+00:00,9858,1274,55,4
2025-11-23T04:04:20.662000+00:00,9858,1274,63,3
2025-11-23T04:04:21.213000+00:00,9858,1274,81,6
2025-11-23T04:04:21.213000+00:00,9858,1274,30,7
2025-11-23T04:04:21.213000+00:00,9858,1274,14,8
2025-11-23T04:04:21.213000+00:00,9858,1274,6,5
2025-11-23T04:04:21.291000+00:00,9858,1274,81,7
2025-11-23T04:04:21.291000+00:00,9858,1274,30,6
2025-11-23T04:04:22.072000+00:00,9858,1274,16,10
2025-11-23T04:04:22.072000+00:00,9858,1274,10,11
2025-11-23T04:04:22.072000+00:00,9858,1274,27,12
2025-11-23T04:04:22.072000+00:00,9858,1274,18,13
2025-11-23T04:04:22.072000+00:00,9858,1274,31,14
2025-11-23T04:04:22.072000+00:00,9858,1274,87,9
2025-11-23T04:04:22.494000+00:00,9858,1274,10,12
