meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1274,9858,2025-11-23T03:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1274,9858,2025-11-23T03:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1274,9858,2025-11-23T03:31:42+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1274,9858,2025-11-23T03:32:21+00:00,,1,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1274,9858,2025-11-23T03:32:22+00:00,,1,Other,,,,DRS DISABLED IN ZONE 1
1274,9858,2025-11-23T03:33:28+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1274,9858,2025-11-23T03:34:08+00:00,,1,Other,,,,DRS ENABLED IN ZONE 1
1274,9858,2025-11-23T03:34:08+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1274,9858,2025-11-23T03:45:15+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 10 %
1274,9858,2025-11-23T03:50:44+00:00,,1,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 4 (NOR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1274,9858,2025-11-23T03:57:06+00:00,,1,Drs,,,,DRS DISABLED
1274,9858,2025-11-23T04:04:09+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1274,9858,2025-11-23T04:04:21+00:00,,1,Flag,YELLOW,Sector,2.0,YELLOW IN TRACK SECTOR 2
1274,9858,2025-11-23T04:04:22+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1274,9858,2025-11-23T04:04:34+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1274,9858,2025-11-23T04:04:35+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3
1274,9858,2025-11-23T04:04:39+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4
1274,9858,2025-11-23T04:04:48+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2
1274,9858,2025-11-23T04:05:33+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1274,9858,2025-11-23T04:05:35+00:00,,1,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1274,9858,2025-11-23T04:05:49+00:00,,1,Drs,,,,DRS ENABLED
1274,9858,2025-11-23T04:05:51+00:00,,2,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1274,9858,2025-11-23T04:06:00+00:00,,2,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1274,9858,2025-11-23T04:07:08+00:00,,2,SafetyCar,,,,VIRTUAL SAFETY CAR DEPLOYED
1274,9858,2025-11-23T04:07:08+00:00,,2,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1274,9858,2025-11-23T04:07:18+00:00,,2,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1274,9858,2025-11-23T04:09:21+00:00,,3,Other,,,,TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 30 (LAW) NOTED - CAUSING A COLLISION
1274,9858,2025-11-23T04:09:36+00:00,,3,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 30 (LAW) UNDER INVESTIGATION - CAUSING A COLLISION
1274,9858,2025-11-23T04:09:50+00:00,,3,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1274,9858,2025-11-23T04:09:51+00:00,,3,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1274,9858,2025-11-23T04:09:53+00:00,,4,SafetyCar,,,,VIRTUAL SAFETY CAR ENDING
1274,9858,2025-11-23T04:10:06+00:00,,4,Flag,CLEAR,Track,,TRACK CLEAR
1274,9858,2025-11-23T04:10:08+00:00,,4,Drs,,,,DRS ENABLED
1274,9858,2025-11-23T04:10:27+00:00,,4,Other,,,,"TURN 1 INCIDENT INVOLVING CARS 5 (BOR), 43 (COL) AND 18 (STR) NOTED - CAUSING A COLLISION"
1274,9858,2025-11-23T04:11:51+00:00,,5,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 5 (BOR) AND 18 (STR) UNDER INVESTIGATION - CAUSING A COLLISION
