meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1274,9858,1,5,1,1,HARD,0
1274,9858,1,31,1,27,MEDIUM,0
1274,9858,1,6,1,20,MEDIUM,0
1274,9858,1,12,1,2,SOFT,0
1274,9858,1,1,1,25,MEDIUM,0
1274,9858,1,27,1,30,HARD,0
1274,9858,1,22,1,1,MEDIUM,0
1274,9858,1,23,1,13,HARD,0
1274,9858,1,30,1,2,MEDIUM,0
1274,9858,1,43,1,25,HARD,0
1274,9858,1,63,1,17,MEDIUM,0
1274,9858,1,18,1,1,MEDIUM,0
1274,9858,1,4,1,22,MEDIUM,0
1274,9858,1,44,1,29,HARD,0
1274,9858,1,14,1,16,MEDIUM,0
1274,9858,1,55,1,22,MEDIUM,0
1274,9858,1,10,1,2,MEDIUM,0
1274,9858,1,16,1,24,MEDIUM,0
1274,9858,1,81,1,21,MEDIUM,0
1274,9858,1,87,1,17,MEDIUM,0
1274,9858,2,22,2,27,HARD,0
1274,9858,2,5,2,2,MEDIUM,0
1274,9858,2,12,3,50,HARD,0
1274,9858,2,10,3,50,HARD,0
1274,9858,2,30,3,28,HARD,0
1274,9858,2,23,14,14,MEDIUM,0
1274,9858,3,23,15,34,HARD,0
1274,9858,2,14,17,50,HARD,0
1274,9858,2,63,18,18,HARD,0
1274,9858,3,63,19,50,HARD,0
1274,9858,2,87,18,50,HARD,0
1274,9858,2,6,21,50,HARD,0
1274,9858,2,81,22,50,HARD,0
1274,9858,2,4,23,50,HARD,0
1274,9858,2,55,23,50,HARD,0
1274,9858,2,16,25,50,HARD,0
1274,9858,2,1,26,50,HARD,0
1274,9858,2,43,26,49,MEDIUM,0
1274,9858,2,31,28,50,HARD,0
1274,9858,3,22,28,50,MEDIUM,0
1274,9858,3,30,29,49,HARD,0
1274,9858,2,44,30,50,MEDIUM,0
1274,9858,2,27,31,50,MEDIUM,0
1274,9858,4,23,35,35,MEDIUM,1
