meeting_key,session_key,driver_number,position_start,position_current,points_start,points_current
1259,10033,81,1,1,106.0,131.0
1259,10033,4,2,2,97.0,115.0
1259,10033,1,3,3,87.0,99.0
1259,10033,63,4,4,78.0,93.0
1259,10033,16,5,5,47.0,53.0
1259,10033,12,6,6,40.0,48.0
1259,10033,44,7,7,37.0,41.0
1259,10033,23,8,8,20.0,30.0
1259,10033,31,9,9,14.0,14.0
1259,10033,18,10,10,14.0,14.0
1259,10033,22,11,11,8.0,9.0
1259,10033,10,12,12,7.0,7.0
1259,10033,55,16,13,5.0,7.0
1259,10033,27,13,14,6.0,6.0
1259,10033,87,14,15,6.0,6.0
1259,10033,6,15,16,5.0,5.0
1259,10033,14,17,17,0.0,0.0
1259,10033,30,18,18,0.0,0.0
1259,10033,7,19,19,0.0,0.0
1259,10033,5,20,20,0.0,0.0
