meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1259,10033,5,1,,,35.413,26.062,,185.0,False,93.275,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",300.0
1259,10033,14,1,,,,26.092,,,False,93.165,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",317.0
1259,10033,18,1,,,35.468,25.969,,185.0,False,93.004,,"[None, None, None, None, None, None, None, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",318.0
1259,10033,44,1,,,,26.039,,,False,92.636,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",
1259,10033,23,1,,31.323,35.056,25.697,,184.0,False,92.076,"[None, None, 2048, 2049, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",336.0
1259,10033,87,1,,,,26.117,,,False,92.68,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",312.0
1259,10033,30,1,,,35.998,26.203,,185.0,False,94.337,,"[None, None, None, None, None, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",303.0
1259,10033,6,1,,,,25.978,,,False,92.032,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",312.0
1259,10033,16,1,,31.257,35.23,25.93,208.0,184.0,False,92.417,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",319.0
1259,10033,81,1,,30.49,34.991,25.911,,185.0,False,91.392,"[None, None, None, None, None, None, None, None, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",313.0
1259,10033,4,1,,30.409,35.202,25.842,207.0,184.0,False,91.453,"[None, None, None, None, None, None, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",315.0
1259,10033,10,1,,,,25.928,,,False,92.831,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",331.0
1259,10033,12,1,,31.087,35.379,30.792,208.0,183.0,False,97.258,"[None, None, None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",317.0
1259,10033,22,1,,31.146,35.305,26.077,,183.0,False,92.528,"[None, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",312.0
1259,10033,31,1,,,,25.756,,,False,106.766,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",316.0
1259,10033,63,1,,31.111,35.349,25.896,208.0,183.0,False,92.356,"[None, None, None, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",322.0
