Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 00:58:51.257000,VER,1,0 days 00:01:35.669000,1.0,,,,,0 days 00:00:34.681000,0 days 00:00:26.310000,,0 days 00:58:25.009000,0 days 00:58:51.397000,213.0,184.0,272.0,302.0,False,nan,,True,Red Bull Racing,0 days 00:57:15.384000,2025-05-04 20:03:42.225,12,1.0,False,,False,False,95.669,,34.681,26.31,Miami Grand Prix
0 days 01:00:42.385000,VER,1,0 days 00:01:51.128000,2.0,,,,0 days 00:00:31.426000,0 days 00:00:47.940000,0 days 00:00:31.762000,0 days 00:59:22.712000,0 days 01:00:10.652000,0 days 01:00:42.414000,208.0,130.0,216.0,257.0,True,nan,,True,Red Bull Racing,0 days 00:58:51.257000,2025-05-04 20:05:18.098,126,1.0,False,,False,False,111.128,31.426,47.94,31.762,Miami Grand Prix
0 days 01:02:48.331000,VER,1,0 days 00:02:05.946000,3.0,,,,0 days 00:00:43.901000,0 days 00:00:48.777000,0 days 00:00:33.268000,0 days 01:01:26.315000,0 days 01:02:15.092000,0 days 01:02:48.360000,143.0,178.0,263.0,195.0,False,nan,,True,Red Bull Racing,0 days 01:00:42.385000,2025-05-04 20:07:09.226,671,1.0,False,,False,False,125.946,43.901,48.777,33.268,Miami Grand Prix
0 days 01:04:20.900000,VER,1,0 days 00:01:32.569000,4.0,,,,0 days 00:00:31.185000,0 days 00:00:35.126000,0 days 00:00:26.258000,0 days 01:03:19.545000,0 days 01:03:54.671000,0 days 01:04:20.929000,204.0,183.0,274.0,303.0,True,nan,,True,Red Bull Racing,0 days 01:02:48.331000,2025-05-04 20:09:15.172,1,1.0,False,,False,True,92.569,31.185,35.126,26.258,Miami Grand Prix
0 days 01:05:53.033000,VER,1,0 days 00:01:32.133000,5.0,,,,0 days 00:00:31.182000,0 days 00:00:34.799000,0 days 00:00:26.152000,0 days 01:04:52.111000,0 days 01:05:26.910000,0 days 01:05:53.062000,206.0,184.0,274.0,304.0,True,nan,,True,Red Bull Racing,0 days 01:04:20.900000,2025-05-04 20:10:47.741,1,1.0,False,,False,True,92.133,31.182,34.799,26.152,Miami Grand Prix
0 days 01:07:25.129000,VER,1,0 days 00:01:32.096000,6.0,,,,0 days 00:00:31.075000,0 days 00:00:34.815000,0 days 00:00:26.206000,0 days 01:06:24.137000,0 days 01:06:58.952000,0 days 01:07:25.158000,,184.0,274.0,305.0,True,nan,,True,Red Bull Racing,0 days 01:05:53.033000,2025-05-04 20:12:19.874,1,1.0,False,,False,True,92.096,31.075,34.815,26.206,Miami Grand Prix
0 days 01:08:57.212000,VER,1,0 days 00:01:32.083000,7.0,,,,0 days 00:00:31.076000,0 days 00:00:34.867000,0 days 00:00:26.140000,0 days 01:07:56.234000,0 days 01:08:31.101000,0 days 01:08:57.241000,,184.0,274.0,306.0,True,nan,,True,Red Bull Racing,0 days 01:07:25.129000,2025-05-04 20:13:51.970,1,1.0,False,,False,True,92.083,31.076,34.867,26.14,Miami Grand Prix
0 days 01:10:29.795000,VER,1,0 days 00:01:32.583000,8.0,,,,0 days 00:00:31.420000,0 days 00:00:35.021000,0 days 00:00:26.142000,0 days 01:09:28.661000,0 days 01:10:03.682000,0 days 01:10:29.824000,208.0,184.0,274.0,307.0,False,nan,,True,Red Bull Racing,0 days 01:08:57.212000,2025-05-04 20:15:24.053,1,1.0,False,,False,True,92.583,31.42,35.021,26.142,Miami Grand Prix
0 days 01:12:02.201000,VER,1,0 days 00:01:32.406000,9.0,,,,0 days 00:00:31.176000,0 days 00:00:34.998000,0 days 00:00:26.232000,0 days 01:11:01,0 days 01:11:35.998000,0 days 01:12:02.230000,,183.0,275.0,306.0,False,nan,,True,Red Bull Racing,0 days 01:10:29.795000,2025-05-04 20:16:56.636,1,1.0,False,,False,True,92.406,31.176,34.998,26.232,Miami Grand Prix
0 days 01:13:34.593000,VER,1,0 days 00:01:32.392000,10.0,,,,0 days 00:00:30.922000,0 days 00:00:35.089000,0 days 00:00:26.381000,0 days 01:12:33.152000,0 days 01:13:08.241000,0 days 01:13:34.622000,209.0,183.0,274.0,306.0,False,nan,,True,Red Bull Racing,0 days 01:12:02.201000,2025-05-04 20:18:29.042,1,1.0,False,,False,True,92.392,30.922,35.089,26.381,Miami Grand Prix
0 days 01:15:07.188000,VER,1,0 days 00:01:32.595000,11.0,,,,0 days 00:00:31.315000,0 days 00:00:35.014000,0 days 00:00:26.266000,0 days 01:14:05.937000,0 days 01:14:40.951000,0 days 01:15:07.217000,208.0,183.0,274.0,306.0,False,nan,,True,Red Bull Racing,0 days 01:13:34.593000,2025-05-04 20:20:01.434,1,1.0,False,,False,True,92.595,31.315,35.014,26.266,Miami Grand Prix
0 days 01:16:39.424000,VER,1,0 days 00:01:32.236000,12.0,,,,0 days 00:00:30.879000,0 days 00:00:35.080000,0 days 00:00:26.277000,0 days 01:15:38.096000,0 days 01:16:13.176000,0 days 01:16:39.453000,209.0,183.0,275.0,305.0,False,nan,,True,Red Bull Racing,0 days 01:15:07.188000,2025-05-04 20:21:34.029,1,1.0,False,,False,True,92.236,30.879,35.08,26.277,Miami Grand Prix
0 days 01:18:11.696000,VER,1,0 days 00:01:32.272000,13.0,,,,0 days 00:00:30.973000,0 days 00:00:35.031000,0 days 00:00:26.268000,0 days 01:17:10.426000,0 days 01:17:45.457000,0 days 01:18:11.725000,208.0,183.0,276.0,314.0,False,nan,,True,Red Bull Racing,0 days 01:16:39.424000,2025-05-04 20:23:06.265,1,1.0,False,,False,True,92.272,30.973,35.031,26.268,Miami Grand Prix
0 days 01:19:46.423000,VER,1,0 days 00:01:34.727000,14.0,,,,0 days 00:00:33.180000,0 days 00:00:35.275000,0 days 00:00:26.272000,0 days 01:18:44.905000,0 days 01:19:20.180000,0 days 01:19:46.452000,207.0,183.0,277.0,316.0,False,nan,,True,Red Bull Racing,0 days 01:18:11.696000,2025-05-04 20:24:38.537,1,2.0,False,,False,True,94.727,33.18,35.275,26.272,Miami Grand Prix
