meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1259,10033,23,55,2025-05-04T20:03:50.503000+00:00,6
1259,10033,30,7,2025-05-04T20:03:52.021000+00:00,14
1259,10033,81,12,2025-05-04T20:03:54.650000+00:00,3
1259,10033,55,23,2025-05-04T20:03:55.374000+00:00,6
1259,10033,27,7,2025-05-04T20:03:57.337000+00:00,15
1259,10033,27,30,2025-05-04T20:03:57.337000+00:00,14
1259,10033,7,30,2025-05-04T20:03:57.366000+00:00,15
1259,10033,18,14,2025-05-04T20:03:57.636000+00:00,17
1259,10033,18,30,2025-05-04T20:03:57.636000+00:00,16
1259,10033,14,30,2025-05-04T20:03:57.854000+00:00,17
1259,10033,87,30,2025-05-04T20:03:57.889000+00:00,18
1259,10033,10,30,2025-05-04T20:03:58.671000+00:00,19
1259,10033,12,81,2025-05-04T20:03:59.033000+00:00,3
1259,10033,12,4,2025-05-04T20:03:59.033000+00:00,2
1259,10033,81,4,2025-05-04T20:03:59.276000+00:00,3
1259,10033,63,4,2025-05-04T20:03:59.590000+00:00,4
1259,10033,23,55,2025-05-04T20:04:00.023000+00:00,6
1259,10033,23,4,2025-05-04T20:04:00.023000+00:00,5
1259,10033,18,7,2025-05-04T20:04:02.711000+00:00,15
1259,10033,87,14,2025-05-04T20:04:03.349000+00:00,17
1259,10033,87,7,2025-05-04T20:04:03.349000+00:00,16
1259,10033,14,7,2025-05-04T20:04:03.707000+00:00,17
1259,10033,10,7,2025-05-04T20:04:03.917000+00:00,18
1259,10033,55,4,2025-05-04T20:04:04.336000+00:00,6
1259,10033,22,31,2025-05-04T20:04:04.554000+00:00,9
1259,10033,4,55,2025-05-04T20:04:08.075000+00:00,6
1259,10033,5,44,2025-05-04T20:04:12.035000+00:00,12
1259,10033,31,22,2025-05-04T20:04:15.234000+00:00,9
1259,10033,22,31,2025-05-04T20:04:20.559000+00:00,9
1259,10033,30,7,2025-05-04T20:04:31.438000+00:00,19
1259,10033,44,5,2025-05-04T20:04:38.460000+00:00,12
1259,10033,44,6,2025-05-04T20:09:34.196000+00:00,11
1259,10033,81,12,2025-05-04T20:10:00.293000+00:00,2
1259,10033,4,23,2025-05-04T20:10:05.863000+00:00,5
1259,10033,55,23,2025-05-04T20:11:35.951000+00:00,6
1259,10033,4,63,2025-05-04T20:14:16.590000+00:00,4
1259,10033,4,12,2025-05-04T20:17:48.920000+00:00,3
1259,10033,10,14,2025-05-04T20:18:13.916000+00:00,17
1259,10033,81,1,2025-05-04T20:24:41.345000+00:00,1
1259,10033,23,55,2025-05-04T20:25:37.859000+00:00,6
1259,10033,4,1,2025-05-04T20:26:16.070000+00:00,2
1259,10033,1,4,2025-05-04T20:26:22.844000+00:00,2
1259,10033,4,1,2025-05-04T20:30:14.119000+00:00,2
1259,10033,1,4,2025-05-04T20:30:43.411000+00:00,2
1259,10033,4,1,2025-05-04T20:31:42.639000+00:00,2
1259,10033,27,5,2025-05-04T20:34:23.510000+00:00,13
1259,10033,18,5,2025-05-04T20:34:26.322000+00:00,14
1259,10033,87,5,2025-05-04T20:34:26.974000+00:00,15
1259,10033,10,5,2025-05-04T20:34:30.470000+00:00,16
1259,10033,14,5,2025-05-04T20:34:31.943000+00:00,17
1259,10033,87,18,2025-05-04T20:36:00.585000+00:00,14
1259,10033,10,18,2025-05-04T20:36:01.146000+00:00,15
1259,10033,14,18,2025-05-04T20:36:02.330000+00:00,16
1259,10033,5,18,2025-05-04T20:36:16.487000+00:00,17
1259,10033,44,31,2025-05-04T20:38:09.774000+00:00,10
1259,10033,31,44,2025-05-04T20:38:15.848000+00:00,10
1259,10033,44,31,2025-05-04T20:38:42.751000+00:00,10
1259,10033,27,6,2025-05-04T20:39:03.292000+00:00,12
1259,10033,87,6,2025-05-04T20:39:09.490000+00:00,13
1259,10033,10,6,2025-05-04T20:39:10.088000+00:00,14
1259,10033,14,6,2025-05-04T20:39:12.113000+00:00,15
