meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1259,10033,2025-05-04T19:05:02+00:00,,1,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1259,10033,2025-05-04T19:20:00+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1259,10033,2025-05-04T19:30:00+00:00,,1,Other,,,,PIT EXIT CLOSED
1259,10033,2025-05-04T19:31:07+00:00,,1,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1259,10033,2025-05-04T19:31:47+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1259,10033,2025-05-04T19:31:50+00:00,,1,Flag,DOUBLE YELLOW,Sector,3.0,DOUBLE YELLOW IN TRACK SECTOR 3
1259,10033,2025-05-04T19:34:01+00:00,,1,Flag,DOUBLE YELLOW,Sector,20.0,DOUBLE YELLOW IN TRACK SECTOR 20
1259,10033,2025-05-04T19:34:02+00:00,,1,Other,,,,DRS DISABLED IN ZONE 3
1259,10033,2025-05-04T19:37:35+00:00,,1,Flag,CLEAR,Sector,3.0,CLEAR IN TRACK SECTOR 3
1259,10033,2025-05-04T19:40:30+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1259,10033,2025-05-04T19:41:34+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1259,10033,2025-05-04T19:41:38+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1259,10033,2025-05-04T19:42:57+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1259,10033,2025-05-04T19:43:14+00:00,,1,Flag,DOUBLE YELLOW,Sector,7.0,DOUBLE YELLOW IN TRACK SECTOR 7
1259,10033,2025-05-04T19:44:38+00:00,,1,Flag,CLEAR,Sector,7.0,CLEAR IN TRACK SECTOR 7
1259,10033,2025-05-04T19:44:52+00:00,,1,Other,,,,DRS ENABLED IN ZONE 3
1259,10033,2025-05-04T19:44:52+00:00,,1,Flag,CLEAR,Sector,20.0,CLEAR IN TRACK SECTOR 20
1259,10033,2025-05-04T19:45:22+00:00,,1,Other,,,,RISK OF RAIN FOR F1 RACE IS 30%
1259,10033,2025-05-04T19:57:01+00:00,,1,Drs,,,,DRS DISABLED
1259,10033,2025-05-04T20:03:42+00:00,,1,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1259,10033,2025-05-04T20:03:56+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1259,10033,2025-05-04T20:04:04+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1259,10033,2025-05-04T20:04:08+00:00,,1,Flag,YELLOW,Sector,4.0,YELLOW IN TRACK SECTOR 4
1259,10033,2025-05-04T20:04:10+00:00,,1,Flag,DOUBLE YELLOW,Sector,4.0,DOUBLE YELLOW IN TRACK SECTOR 4
1259,10033,2025-05-04T20:04:13+00:00,,1,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1259,10033,2025-05-04T20:04:26+00:00,,1,Flag,DOUBLE YELLOW,Sector,2.0,DOUBLE YELLOW IN TRACK SECTOR 2
1259,10033,2025-05-04T20:04:34+00:00,,1,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5
1259,10033,2025-05-04T20:05:12+00:00,,1,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1259,10033,2025-05-04T20:06:00+00:00,,2,Flag,DOUBLE YELLOW,Sector,13.0,DOUBLE YELLOW IN TRACK SECTOR 13
1259,10033,2025-05-04T20:06:00+00:00,,2,Flag,DOUBLE YELLOW,Sector,14.0,DOUBLE YELLOW IN TRACK SECTOR 14
1259,10033,2025-05-04T20:06:03+00:00,,2,SafetyCar,,,,VIRTUAL SAFETY CAR DEPLOYED
1259,10033,2025-05-04T20:06:03+00:00,,2,Flag,CLEAR,Sector,5.0,CLEAR IN TRACK SECTOR 5
1259,10033,2025-05-04T20:08:51+00:00,,3,Flag,CLEAR,Sector,13.0,CLEAR IN TRACK SECTOR 13
1259,10033,2025-05-04T20:08:51+00:00,,3,Flag,DOUBLE YELLOW,Sector,13.0,DOUBLE YELLOW IN TRACK SECTOR 13
1259,10033,2025-05-04T20:08:52+00:00,,3,Flag,CLEAR,Sector,14.0,CLEAR IN TRACK SECTOR 14
1259,10033,2025-05-04T20:08:55+00:00,,3,SafetyCar,,,,VIRTUAL SAFETY CAR ENDING
1259,10033,2025-05-04T20:09:08+00:00,,3,Flag,CLEAR,Track,,TRACK CLEAR
1259,10033,2025-05-04T20:09:09+00:00,,3,Drs,,,,DRS ENABLED
1259,10033,2025-05-04T20:10:59+00:00,,5,Other,,,,TURN 1 INCIDENT INVOLVING CARS 7 (DOO) AND 30 (LAW) NOTED - CAUSING A COLLISION
1259,10033,2025-05-04T20:12:34+00:00,,6,Other,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 7 (DOO) AND 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION
1259,10033,2025-05-04T20:12:41+00:00,,6,Other,,,,TURN 2 INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) NOTED
1259,10033,2025-05-04T20:13:41+00:00,,6,Other,,,,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) REVIEWED NO FURTHER INVESTIGATION
1259,10033,2025-05-04T20:29:40+00:00,,17,Other,,,,CAR 55 (SAI) TIME 1:32.915 DELETED - TRACK LIMITS AT TURN 15 LAP 16 16:28:57
1259,10033,2025-05-04T20:31:12+00:00,,18,Other,,,,TURN 15 INCIDENT INVOLVING CAR 55 (SAI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1259,10033,2025-05-04T20:33:21+00:00,,19,Other,,,,CAR 1 (VER) TIME 1:34.857 DELETED - TRACK LIMITS AT TURN 11 LAP 17 16:30:10
1259,10033,2025-05-04T20:34:17+00:00,,20,Other,,,,TURN 11 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1259,10033,2025-05-04T20:35:09+00:00,,20,Other,,,,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CAR 55 (SAI) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1259,10033,2025-05-04T20:35:30+00:00,,21,Other,,,,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 4 (NOR) AND 1 (VER) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1259,10033,2025-05-04T20:48:05+00:00,,29,SafetyCar,,,,VIRTUAL SAFETY CAR DEPLOYED
1259,10033,2025-05-04T20:50:12+00:00,,30,SafetyCar,,,,VIRTUAL SAFETY CAR ENDING
1259,10033,2025-05-04T20:50:25+00:00,,30,Flag,CLEAR,Track,,TRACK CLEAR
1259,10033,2025-05-04T20:50:25+00:00,,30,Drs,,,,DRS ENABLED
1259,10033,2025-05-04T20:52:10+00:00,,31,Other,,,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - SPEEDING IN THE PIT LANE
1259,10033,2025-05-04T20:52:24+00:00,,31,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE
1259,10033,2025-05-04T20:53:04+00:00,,32,Other,,,,CAR 5 (BOR) TIME 1:57.049 DELETED - TRACK LIMITS AT TURN 6 LAP 30 16:51:18
1259,10033,2025-05-04T20:53:15+00:00,,32,Other,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - SPEEDING IN THE PIT LANE
1259,10033,2025-05-04T20:53:48+00:00,5.0,32,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:53:47
1259,10033,2025-05-04T20:55:09+00:00,,33,SafetyCar,,,,VIRTUAL SAFETY CAR DEPLOYED
1259,10033,2025-05-04T20:56:31+00:00,,34,SafetyCar,,,,VIRTUAL SAFETY CAR ENDING
1259,10033,2025-05-04T20:56:44+00:00,,34,Flag,CLEAR,Track,,TRACK CLEAR
1259,10033,2025-05-04T20:56:44+00:00,,34,Drs,,,,DRS ENABLED
1259,10033,2025-05-04T20:58:39+00:00,30.0,35,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:58:38
1259,10033,2025-05-04T21:01:25+00:00,30.0,37,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 17:01:25
1259,10033,2025-05-04T21:08:31+00:00,,42,Other,,,,INCIDENT INVOLVING CAR 10 (GAS) NOTED - YELLOW FLAG INFRINGEMENT
1259,10033,2025-05-04T21:08:40+00:00,,42,Other,,,,INCIDENT INVOLVING CAR 55 (SAI) NOTED - YELLOW FLAG INFRINGEMENT
1259,10033,2025-05-04T21:14:23+00:00,,45,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - YELLOW FLAG INFRINGEMENT
1259,10033,2025-05-04T21:14:27+00:00,,45,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE RACE - YELLOW FLAG INFRINGEMENT
1259,10033,2025-05-04T21:15:03+00:00,18.0,46,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:15:02
1259,10033,2025-05-04T21:16:34+00:00,18.0,47,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 17:16:34
1259,10033,2025-05-04T21:18:03+00:00,14.0,48,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:18:03
1259,10033,2025-05-04T21:20:04+00:00,14.0,49,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:20:04
1259,10033,2025-05-04T21:20:13+00:00,14.0,49,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:20:13
1259,10033,2025-05-04T21:32:03+00:00,27.0,57,Flag,BLUE,Driver,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 17:32:03
1259,10033,2025-05-04T21:32:33+00:00,,57,Flag,CHEQUERED,Track,,CHEQUERED FLAG
