meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1259,10033,1,1,1,32,MEDIUM,24
1259,10033,1,12,1,32,MEDIUM,24
1259,10033,1,81,1,32,MEDIUM,24
1259,10033,1,63,1,32,HARD,24
1259,10033,1,23,1,32,MEDIUM,24
1259,10033,1,4,1,32,MEDIUM,24
1259,10033,1,55,1,32,MEDIUM,30
1259,10033,1,16,1,32,MEDIUM,24
1259,10033,1,22,1,32,MEDIUM,24
1259,10033,1,31,1,23,MEDIUM,23
1259,10033,1,6,1,23,MEDIUM,22
1259,10033,1,44,1,32,HARD,23
1259,10033,1,5,1,23,MEDIUM,19
1259,10033,1,27,1,36,HARD,23
1259,10033,1,18,1,23,MEDIUM,21
1259,10033,1,87,1,27,HARD,23
1259,10033,1,14,1,32,HARD,24
1259,10033,1,10,1,32,HARD,23
1259,10033,1,30,1,31,HARD,23
1259,10033,2,5,24,30,HARD,4
1259,10033,2,31,24,57,HARD,0
1259,10033,2,6,24,57,HARD,1
1259,10033,2,18,24,56,HARD,4
1259,10033,1,7,1,1,MEDIUM,0
1259,10033,2,63,33,57,MEDIUM,3
1259,10033,2,14,33,56,MEDIUM,5
1259,10033,2,10,33,57,MEDIUM,0
1259,10033,2,81,33,57,HARD,3
1259,10033,2,12,33,57,HARD,7
1259,10033,2,23,33,57,HARD,6
1259,10033,2,16,33,57,HARD,3
1259,10033,2,22,33,57,HARD,5
1259,10033,2,4,33,57,HARD,3
1259,10033,2,55,33,57,HARD,7
1259,10033,2,44,33,57,MEDIUM,4
1259,10033,2,30,32,36,MEDIUM,3
1259,10033,2,1,33,57,HARD,6
1259,10033,2,27,37,56,MEDIUM,0
